time,element,point,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,plastic_rr,plastic_zz,plastic_hoop,plastic_rz,creep_rr,creep_zz,creep_hoop,creep_rz,equiv_plastic,equiv_creep,r,z,volume
1.0,1,1,-659289.7221529305,-1334090.7894133583,-656796.7188428125,98.46015009898461,-1.508463477199026e-07,-4.5910373702935185e-06,-1.344423859393255e-07,6.478677876513187e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738941043093354e-05,0.0002817563045321049,6.440964631835922e-11
1.0,1,2,-650483.7259820552,-1307803.0995931982,-639423.5366207205,-200.23013739807683,-1.7580054469228462e-07,-4.500962023053604e-06,-1.030244986947028e-07,-1.3175143040793455e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333745560859006,0.0002817563052997063,4.5720449901849206e-10
1.0,1,3,-641607.222710974,-1281362.7865434,-621979.8458499638,-501.3740658092541,-2.0075475437335585e-07,-4.410346364390717e-06,-7.160661462790885e-08,-3.2990413530248918e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006092854708021567,0.00028175630621954384,5.070959038750038e-10
1.0,1,4,-661071.0706132893,-1323130.2194196805,-658575.4677605865,23.09537470200919,-1.7426036732162443e-07,-4.530609566467678e-06,-1.5783930055084103e-07,1.5196756553922048e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738940779468432e-05,0.0012500095300013677,1.0305543221453777e-10
1.0,1,5,-652272.7603420259,-1297290.858508654,-641201.0381330086,-866.86260158832,-1.9854660501630227e-07,-4.4427656909527154e-06,-1.2569467288096897e-07,-5.7039559184511455e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333744389271114,0.0012500095315211898,7.315271826432912e-10
1.0,1,6,-643403.9429674661,-1271298.8743637467,-623756.0999557755,-1759.274286541944,-2.228328554124848e-07,-4.354381504000013e-06,-9.355004839556132e-08,-1.1576024805445992e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006092854499753836,0.001250009533716406,8.113534261001407e-10
1.0,1,7,-677509.4245299614,-1321432.8773465615,-675011.2220408042,-886.9331531042595,-2.3316544561776957e-07,-4.470181765150997e-06,-2.1672727323911498e-07,-5.836020147426027e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738940241180334e-05,0.002218262803650901,6.440963937788104e-11
1.0,1,8,-668718.8015541967,-1296041.8460856986,-657635.5460847863,-2368.158886006686,-2.5678372814161806e-07,-4.3845693611589e-06,-1.8385590715289652e-07,-1.5582485469923992e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333741999142335,0.00221826280300173,4.57204446832284e-10
1.0,1,9,-659857.671458663,-1270498.1915760923,-640189.3615705372,-3851.838398847361,-2.804020233216397e-07,-4.298416645694325e-06,-1.5098454425777305e-07,-2.5345096664415635e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006092854075244246,0.0022182628035511114,5.070958427554352e-10
1.0,2,1,-638029.2070099942,-1255725.3283528825,-602494.454919928,-375.4229614753459,-2.541587774789301e-07,-4.318599255915136e-06,-2.0340108726294175e-08,-2.470283086507776e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007640642454009666,0.00028175630712669065,6.359150408393774e-10
