time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
0.0625,13,0.0,8.0227358883328e-07,0.0,0.0,0.0,0.0,0.0,0.0,30.217140459171787
0.0625,14,0.0,8.022660865662437e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.720082059156994
0.0625,21,0.0,8.022418185203384e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.045704221767668
0.0625,28,0.0,8.021993486741237e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.56113687514517
0.0625,35,0.0,8.021399108956414e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.037289769144994
0.0625,42,0.0,8.020762156443101e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.56115853157826
0.0625,49,0.0,8.020391993133342e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.04455482510093
0.0625,56,0.0,8.020969581119628e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.72438548795253
0.0625,63,0.0,8.023355372850518e-07,0.0,0.0,0.0,0.0,0.0,0.0,30.205977871901272
0.125,13,0.0,3.7800622124280203e-07,0.0,0.0,0.0,0.0,0.0,0.0,118.02530269051205
0.125,14,0.0,3.7804065750567106e-07,0.0,0.0,0.0,0.0,0.0,0.0,115.50121338223107
0.125,21,0.0,3.780462616053207e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.72423521798191
0.125,28,0.0,3.780278135826979e-07,0.0,0.0,0.0,0.0,0.0,0.0,114.85160468328104
0.125,35,0.0,3.779777949797246e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.68571471767063
0.125,42,0.0,3.7790097103495085e-07,0.0,0.0,0.0,0.0,0.0,0.0,114.85265752025953
0.125,49,0.0,3.778230328816212e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.70984553568995
0.125,56,0.0,3.778211791283603e-07,0.0,0.0,0.0,0.0,0.0,0.0,115.53898570309684
0.125,63,0.0,3.7801443017381975e-07,0.0,0.0,0.0,0.0,0.0,0.0,117.93850207959622
0.25,13,244360.44545977545,-2.443604454595218e-07,488.7208909195509,1.4892119102097956e-05,-1.9767867824349663,8.727761059326842e-05,-1.7455522118653685e-07,-0.003953573564869933,448.86955490710534
0.25,14,201497.2167634926,-2.014972167635742e-07,402.9944335269852,1.4855172678006475e-05,-3.2600738355877654,0.00026058801967149194,-5.21176039342984e-07,-0.0065201476711755305,434.8533317725014
0.25,21,164063.6049737889,-1.6406360497310194e-07,328.1272099475778,1.4818930593092958e-05,-2.654425461835933,2.412471955155897e-05,-4.824943910311794e-08,-0.005308850923671866,419.139694581645
0.25,28,147242.32027641515,-1.4724232027674166e-07,294.48464055283023,1.4790029556248315e-05,-2.3822705461775904,9.188191842824646e-05,-1.8376383685649287e-07,-0.00476454109235518,432.2929458312501
0.25,35,135542.3396343351,-1.3554233963411814e-07,271.08467926867024,1.4756712038924018e-05,-2.192973177508257,-8.035226964819134e-05,1.607045392963827e-07,-0.0043859463550165135,419.00742229427124
0.25,42,142098.22350383573,-1.420982235041204e-07,284.19644700767145,1.4727442630823316e-05,-2.2990429408361623,-3.0408791739763493e-05,6.081758347952698e-08,-0.004598085881672325,432.3068896078439
0.25,49,155609.89936440502,-1.5560989936421928e-07,311.21979872881,1.469591968325237e-05,-2.5176510257917193,-0.00016551934583831994,3.310386916766399e-07,-0.005035302051583438,419.0607943910436
0.25,56,193325.0651163108,-1.9332506511664344e-07,386.6501302326216,1.466999173836842e-05,-3.12785430020513,-0.00014976511185523322,2.995302237104664e-07,-0.006255708600410259,435.146154308768
0.25,63,249323.07149050065,-2.493230714911126e-07,498.6461429810012,1.4636832088508908e-05,-2.016929089533368,-0.00036273702153775115,7.254740430755023e-07,-0.004033858179066737,448.29978815687355
0.4375,13,933484.1907929998,-9.334841907937549e-07,1866.9683815859996,3.7198551787907106e-05,-7.551636051171903,0.001852702855840782,-3.7054057116815644e-06,-0.015103272102343806,1294.7308898915253
0.4375,14,745478.1816125736,-7.454781816134425e-07,1490.9563632251472,3.713571993398768e-05,-12.061353045160736,0.004776594071585765,-9.553188143171532e-06,-0.02412270609032147,1235.6264604741227
0.4375,21,603896.466708323,-6.03896466707614e-07,1207.792933416646,3.7072280070826137e-05,-9.770639098097025,0.00022844276394604987,-4.5688552789209985e-07,-0.019541278196194046,1217.5671544687248
0.4375,28,541164.0527973815,-5.411640527970751e-07,1082.3281055947632,3.7042577155245134e-05,-8.755685677682843,0.0014170230547500657,-2.834046109500132e-06,-0.017511371355365686,1228.4207563261589
