time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.0625,1,600.0094952652152,-3.480515115319755e-50,7.499525883105718e-06,2.2826169360800894e-07,0.0,0.0
0.0625,2,600.0094948542296,6.63351757986735e-11,7.4995266197170075e-06,0.0,0.0,0.0
0.0625,3,600.0094948712458,6.557964646126239e-11,7.499585201368225e-06,0.0,0.0,0.0
0.0625,4,600.0094952564648,2.3381289571016778e-42,7.4995848425866635e-06,-2.5663909007528244e-06,0.0,0.0
0.0625,5,600.0094930125,1.327563544022686e-10,7.499527893930939e-06,0.0,0.0,0.0
0.0625,6,600.0094929579179,1.3107180797481553e-10,7.499586681339335e-06,0.0,0.0,0.0
0.0625,7,600.0094843029078,1.9924668583253547e-10,7.499530629130709e-06,0.0,0.0,0.0
0.0625,8,600.0094845506222,1.9640587614280293e-10,7.499589121180243e-06,0.0,0.0,0.0
0.0625,9,600.0094444483946,2.657986463305402e-10,7.499535119969366e-06,0.0,0.0,0.0
0.0625,10,600.0094436692294,2.6108934041828066e-10,7.499593546781956e-06,0.0,0.0,0.0
0.0625,11,600.009247593185,3.3105829993792135e-10,7.499543791269468e-06,0.0,0.0,0.0
0.0625,12,600.0092516514609,3.2427966015638607e-10,7.4996003885475935e-06,0.0,0.0,0.0
0.0625,13,600.0082660063417,3.897594006365266e-10,7.499555578928998e-06,0.0,0.0,0.0
0.0625,14,600.0082836301339,3.8238380519072497e-10,7.499606314938297e-06,0.0,0.0,0.0
0.0625,15,600.0094948544398,6.49014906669237e-11,7.499644619816217e-06,0.0,0.0,0.0
0.0625,16,600.0094952664316,1.3783259372866678e-41,7.499643902303003e-06,-1.1445130609474284e-05,0.0,0.0
0.0625,17,600.0094930314552,1.2969101095161626e-10,7.4996459129618566e-06,0.0,0.0,0.0
0.0625,18,600.0094843130557,1.9424645805918295e-10,7.499648467619968e-06,0.0,0.0,0.0
0.0625,19,600.0094452555611,2.584105716258146e-10,7.499652393997735e-06,0.0,0.0,0.0
0.0625,20,600.0092479857041,3.2210014783720616e-10,7.4996570010935376e-06,0.0,0.0,0.0
0.0625,21,600.0083445014012,3.799557383053616e-10,7.499659759081139e-06,0.0,0.0,0.0
0.0625,22,600.0094948763141,6.447034539504764e-11,7.499704186734438e-06,0.0,0.0,0.0
0.0625,23,600.0094952565147,2.1694803761708707e-41,7.499703769888037e-06,-7.911544576359584e-06,0.0,0.0
0.0625,24,600.0094929597086,1.2890465177989906e-10,7.499705581439112e-06,0.0,0.0,0.0
0.0625,25,600.0094847194464,1.932505610777032e-10,7.499707804067859e-06,0.0,0.0,0.0
0.0625,26,600.0094437891187,2.5776978639549335e-10,7.499710832287491e-06,0.0,0.0,0.0
0.0625,27,600.0092596043546,3.214678253176488e-10,7.499713570193979e-06,0.0,0.0,0.0
0.0625,28,600.0082920275438,3.7907114036352683e-10,7.4997150713816e-06,0.0,0.0,0.0
0.0625,29,600.0094948546401,6.431861912493631e-11,7.499763943231961e-06,0.0,0.0,0.0
0.0625,30,600.009495267654,2.3992318323946276e-41,7.4997633443374806e-06,-2.2975149796159156e-06,0.0,0.0
0.0625,31,600.009493050471,1.2864503770739973e-10,7.499765022780393e-06,0.0,0.0,0.0
0.0625,32,600.0094843231218,1.931988602460802e-10,7.499766832902013e-06,0.0,0.0,0.0
0.0625,33,600.0094460578148,2.5777572166516056e-10,7.499768808890924e-06,0.0,0.0,0.0
0.0625,34,600.0092490140496,3.21529371755457e-10,7.4997705919291014e-06,0.0,0.0,0.0
0.0625,35,600.008346431149,3.7880811145956605e-10,7.499771213511818e-06,0.0,0.0,0.0
0.0625,36,600.0094948763348,6.431122675652987e-11,7.499823323376465e-06,0.0,0.0,0.0
0.0625,37,600.0094952564954,2.1105451437062156e-41,7.499823033291624e-06,2.88686690132237e-06,0.0,0.0
0.0625,38,600.0094929596314,1.2878452116787968e-10,7.499824225891343e-06,0.0,0.0,0.0
0.0625,39,600.0094847199713,1.933785577897524e-10,7.49982537487009e-06,0.0,0.0,0.0
0.0625,40,600.0094437877763,2.581076679570242e-10,7.499826742187123e-06,0.0,0.0,0.0
0.0625,41,600.0092596087414,3.2173993827034596e-10,7.499827735629686e-06,0.0,0.0,0.0
0.0625,42,600.0082920257778,3.788974919432194e-10,7.499828088653063e-06,0.0,0.0,0.0
0.0625,43,600.0094948543867,6.442284402791451e-11,7.4998824965805886e-06,0.0,0.0,0.0
0.0625,44,600.0094952664368,1.333749171946922e-41,7.499882177213174e-06,7.767959808139927e-06,0.0,0.0
0.0625,45,600.0094930316671,1.2894230822073385e-10,7.49988297844976e-06,0.0,0.0,0.0
0.0625,46,600.0094843124286,1.9368976621420962e-10,7.499883761612262e-06,0.0,0.0,0.0
0.0625,47,600.0094452605729,2.5836410442584955e-10,7.499884486017012e-06,0.0,0.0,0.0
0.0625,48,600.0092479717699,3.2201550969922777e-10,7.49988513203347e-06,0.0,0.0,0.0
0.0625,49,600.0083445458966,3.789648286184873e-10,7.4998852737362845e-06,0.0,0.0,0.0
0.0625,50,600.0094948712915,6.448412964418697e-11,7.49994129630545e-06,0.0,0.0,0.0
0.0625,51,600.0094952564123,3.9083198436591456e-42,7.499941217018515e-06,9.42917147062963e-06,0.0,0.0
0.0625,52,600.0094929577114,1.291178037428698e-10,7.499941576015539e-06,0.0,0.0,0.0
0.0625,53,600.0094845521027,1.9385148301333624e-10,7.499941894900311e-06,0.0,0.0,0.0
0.0625,54,600.0094436646956,2.586159920612646e-10,7.499942278867915e-06,0.0,0.0,0.0
0.0625,55,600.0092516961622,3.2210313563541446e-10,7.49994251519829e-06,0.0,0.0,0.0
0.0625,56,600.0082834842301,3.789579879306568e-10,7.499942764310325e-06,0.0,0.0,0.0
0.0625,57,600.0094948541471,6.452777930927446e-11,7.5e-06,0.0,-0.0017258082902972573,0.0
0.0625,58,600.0094952652172,-5.905044655482692e-51,7.5e-06,3.908319712504645e-06,-0.00027233250860673374,0.0
0.0625,59,600.0094930128068,1.291487774902934e-10,7.5e-06,0.0,-0.0037430968644672964,0.0
