time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
0.0625,13,0.0,8.021791104810553e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.780795621263678
0.0625,14,0.0,8.021645552238827e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.126628082849493
0.0625,21,0.0,8.021288749682591e-07,0.0,0.0,0.0,0.0,0.0,0.0,27.99176235384948
0.0625,28,0.0,8.020752193518526e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.966633592517613
0.0625,35,0.0,8.020076272246456e-07,0.0,0.0,0.0,0.0,0.0,0.0,27.977151588402197
0.0625,42,0.0,8.01945376752505e-07,0.0,0.0,0.0,0.0,0.0,0.0,28.966672318802015
0.0625,49,0.0,8.019249744094936e-07,0.0,0.0,0.0,0.0,0.0,0.0,27.991028846372505
0.0625,56,0.0,8.020140691480551e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.125725678568415
0.0625,63,0.0,8.02307241674402e-07,0.0,0.0,0.0,0.0,0.0,0.0,29.781979613289877
0.0625,168,0.0,8.021750157443531e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,181,0.0,8.021494567649419e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,194,0.0,8.021045240485418e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,207,0.0,8.020426629229462e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,220,0.0,8.019744204747951e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,233,0.0,8.019267875554812e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,246,0.0,8.019508597597872e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,259,0.0,8.021284384928339e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,13,0.0,3.7790431277762854e-07,0.0,0.0,0.0,0.0,0.0,0.0,116.29037145576149
0.125,14,0.0,3.779388360767786e-07,0.0,0.0,0.0,0.0,0.0,0.0,113.34594186200775
0.125,21,0.0,3.7793550047241663e-07,0.0,0.0,0.0,0.0,0.0,0.0,109.41505028085885
0.125,28,0.0,3.779044183147366e-07,0.0,0.0,0.0,0.0,0.0,0.0,112.69824272494589
