scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,zero_absolute_tolerance,strict_0_1_percent_passed
all_frames,temperature_corner,32340,0.0004223075156500082,0.00013771621714629787,0.011072748318896675,0.06702387987309066,t=0.300000011921 node=27,605.3048253495311,0.06702387987309066,t=0.300000011921 node=27,0,0.0,1e-10,1
final,temperature_corner,1617,0.00017808678418754898,0.00013771621714629787,0.0004302703511937403,0.002759107501105973,t=1 node=85,641.249738321759,0.002759107501105973,t=1 node=85,0,0.0,1e-10,1
all_frames,temperature_interpolated,87040,0.0003612669422857243,0.00012794042655073885,0.011072745033016716,0.0670238599878985,t=0.300000011921 node=1733,605.3048253892483,0.0670238599878985,t=0.300000011921 node=1733,0,0.0,1e-10,1
final,temperature_interpolated,4352,0.0001801068626750643,0.00012794042655073885,0.00043026124821147875,0.0027590504065528876,t=1 node=1705,641.2500354195923,0.0027590504065528876,t=1 node=1705,0,0.0,1e-10,1
all_frames,displacement,119380,1.644280013502564e-05,0.00010259763654235304,100.0,6.155886145341009e-10,t=0.0500000007451 node=802,6.862248352629374e-37,6.862248352629374e-37,t=0.300000011921 node=49,0,0.0,1e-12,0
final,displacement,5969,8.721682816023438e-06,2.223153008268729e-05,100.0,1.3338978619575892e-10,t=1 node=802,1.0990964458392704e-35,1.0990964458392704e-35,t=1 node=71,0,0.0,1e-12,0
all_frames,reaction,119380,0.02129334816172522,0.05978934061936851,12099.510082108967,0.027788204532433802,t=0.10000000149 node=1,1.3519092509029679e-13,1.635743961139684e-11,t=0.300000011921 node=1720,103980,0.00048715295017827674,1e-05,0
final,reaction,5969,0.0042259584075987015,0.006028332250557298,1384.4026785077094,0.002801779177234928,t=1 node=1,1.8113380342851306e-12,2.507621226347224e-11,t=1 node=1729,5199,2.2567693941248846e-10,1e-05,0
all_frames,heat_reaction,32340,0.07863407952617892,0.004623459435841186,6.495521449452054,0.00020559389999595147,t=0.25 node=807,0.00015324824143848765,9.954272393545037e-06,t=0.300000011921 node=969,26900,4.672855417496222e-10,1e-07,0
final,heat_reaction,1617,0.004713568025938339,0.004623459435841186,0.007043971278551561,5.239816524046925e-06,t=1 node=1103,0.0743872499878276,5.239816524046925e-06,t=1 node=1103,1345,7.278899705198683e-15,1e-07,1
all_frames,contact_gap,8320,0.0015628347098105618,0.0008075671310681785,0.4186651273711982,2.218055104914058e-10,t=0.300000011921 node=161,5.297921799317856e-08,2.218055104914058e-10,t=0.300000011921 node=161,0,0.0,1e-10,0
final,contact_gap,416,0.0012136043859626814,0.0008075671310681785,0.004198599717665768,2.027261016028235e-10,t=1 node=51,4.546268191861965e-06,1.9087960346784506e-10,t=1 node=1945,0,0.0,1e-10,1
all_frames,contact_pressure,8320,0.0014664548551000776,0.0008707708351815253,0.28231605687256506,2.021281863290824,t=0.300000011921 node=1947,288.5833469869331,0.814717126004382,t=0.300000011921 node=161,1808,0.0,0.0001,0
final,contact_pressure,416,0.0012181855794219944,0.0008707708351815253,0.004215427413150442,1.988471214310266,t=1 node=51,47171.28346480439,1.988471214310266,t=1 node=51,0,0.0,0.0001,1
all_frames,contact_normal_force,8320,0.001409650941810474,0.0018555927821122978,0.1912994472260528,1.1762365529055611e-06,t=0.300000011921 node=1947,0.00017811274434857932,3.4072869537798484e-07,t=1 node=1942,1712,0.0,1e-05,0
final,contact_normal_force,416,0.0011197069807620586,0.0018555927821122978,0.0033115444931050503,1.1762365529055611e-06,t=1 node=1945,0.018925057191308433,6.267116892357558e-07,t=1 node=1942,0,0.0,1e-05,1
all_frames,contact_tangential_force,8320,0.0014100471263550427,0.0018954817965088151,0.1912996638884546,2.4030400564347187e-09,t=0.300000011921 node=1841,3.632043915668068e-07,6.948087802954079e-10,t=1 node=1846,1712,0.0,1e-05,0
final,contact_tangential_force,416,0.0011206207647510209,0.0018954817965088151,0.003370610747552805,2.4030400564347187e-09,t=1 node=1721,3.785772151127151e-05,1.2760364300375276e-09,t=1 node=1846,0,0.0,1e-05,1
all_frames,contact_slip,8320,0.003582470176827889,0.004804657098373151,100.0,2.556624808543095e-08,t=0.0500000007451 node=25,4.8601755407295594e-21,4.8601755407295594e-21,t=1 node=114,0,0.0,1e-12,0
final,contact_slip,416,0.003704217452012793,0.004804657098373151,0.00538147211171041,2.556624808543095e-08,t=1 node=51,0.00037581079075466885,2.0224152897260868e-08,t=1 node=114,0,0.0,1e-12,1
all_frames,contact_heat_rate,20,0.06354813871538739,0.004031510820997784,3.358881491087079,0.01824219421234785,t=0.15000000596,0.5431032401933267,0.01824219421234785,t=0.15000000596,0,0.0,1e-07,0
final,contact_heat_rate,1,0.004031510820997784,0.004031510820997784,0.004031510820997784,0.0005775463334831699,t=1,14.325803876677412,0.0005775463334831699,t=1,0,0.0,1e-07,1
all_frames,fuel_stress,102400,0.014005360931960533,0.06976528655326028,2.481348194541883,134359.381308002,t=0.15000000596 element=634 point=7,244992.93631494016,6079.1278020059135,t=0.300000011921 element=60 point=4,0,0.0,0.0001,0
final,fuel_stress,5120,0.0045174041907125855,0.005447938295145395,0.011893511846957775,10492.060663738495,t=1 element=234 point=8,11168424.48820637,1328.317889623358,t=1 element=33 point=3,0,0.0,0.0001,1
all_frames,fuel_equivalent_stress,102400,0.012168631754795461,0.005959475693652116,1.7170716737701666,90814.39347704686,t=0.15000000596 element=639 point=6,858230.920769255,14736.44003606576,t=0.300000011921 element=80 point=2,0,0.0,0.0001,0
final,fuel_equivalent_stress,5120,0.0043809450619087574,0.005959475693652116,0.039806678341598754,8983.521323025227,t=1 element=234 point=7,1928851.516048381,767.8117186804302,t=1 element=59 point=3,0,0.0,0.0001,1
all_frames,cladding_stress,81920,0.0007101480552499511,0.001442477735345445,0.01883141721988109,1857.3853008922054,t=0.25 element=728 point=5,7983798.763945586,1503.4624552343025,t=0.300000011921 element=728 point=5,0,0.0,0.0001,1
final,cladding_stress,4096,0.00015727239596572724,0.00019741074342927628,0.0011396601399458021,254.19304859906939,t=1 element=659 point=2,13862224.790419674,157.98225044609853,t=1 element=733 point=6,0,0.0,0.0001,1
all_frames,cladding_equivalent_stress,81920,0.0002698567548637296,3.179645365965689e-05,0.006981929082489917,670.5546245276928,t=0.25 element=727 point=5,9604145.45328721,670.5546245276928,t=0.25 element=727 point=5,0,0.0,0.0001,1
