variable,maximum_absolute_difference,maximum_reference,maximum_difference_over_field_peak
time_whole,0.0,0.025,0.0
vals_nod_var1,1.1368683772161603e-13,400.0,2.842170943040401e-16
vals_nod_var2,5.553825628556996e-17,0.0005,1.1107651257113993e-13
vals_nod_var3,9.556564524101918e-17,0.000125,7.645251619281535e-13
vals_nod_var4,1.0997356979469642e-16,3.387494391638382e-06,3.2464576197130487e-11
vals_nod_var5,9.694292081325467e-19,4.267825918242219e-06,2.271482545688798e-13
vals_nod_var6,6.990740075707436e-08,360549.2329107736,1.9389141447535567e-13
vals_nod_var7,1.136337232310325e-06,47031.83796706707,2.416102115987936e-11
vals_nod_var8,1.0586302478078971e-16,3.9564999145064965e-06,2.6756736274059606e-11
vals_nod_var9,0.0,0.0,0.0
vals_nod_var10,0.0,1.0,0.0
vals_nod_var11,0.0,3.0,0.0
vals_nod_var12,5.551115123125783e-17,0.41666666666666685,1.3322676295501873e-16
vals_nod_var13,7.261405698955059e-09,166290.3871073601,4.3667020236515316e-14
vals_nod_var14,9.691575542092323e-08,426782.5918242219,2.270846029747149e-13
vals_nod_var15,1.1102230246251565e-16,1.0,1.1102230246251565e-16
vals_nod_var16,2.220446049250313e-16,2.0000582570663967,1.1101906863988913e-16
vals_nod_var17,5.551115123125783e-17,1.0000033874943917,5.551096318818135e-17
vals_nod_var18,7.290509529411793e-09,166290.38702030355,4.384203837664798e-14
vals_nod_var19,3.860356478924132e-12,7.552437733078993,5.111404576056444e-13
vals_nod_var20,4.261591080023663e-12,0.16996792544226266,2.5072913427253112e-11
vals_nod_var21,4.312827872610114e-12,0.16484399483718193,2.616308757179743e-11
vals_nod_var22,3.2924617698881775e-07,16325.921253227765,2.0167081041366848e-11
vals_nod_var23,1.2311791408592399e-07,147.37102280082274,8.354282391886653e-10
vals_nod_var24,4.521188282455853e-21,3.0017541836758957e-10,1.5061820541611723e-11
vals_nod_var25,1.0573427577280706e-16,3.9564927040612675e-06,2.6724243839568504e-11
vals_nod_var26,1.1548006481034763e-16,5.054522293362138e-07,2.2846880102201162e-10
vals_nod_var27,4.5212141318499956e-21,3.0017541836758947e-10,1.5061906655905438e-11
vals_nod_var28,1.0573427577280706e-16,3.9564927040612675e-06,2.6724243839568504e-11
vals_nod_var29,1.1548006481034763e-16,5.054522293362138e-07,2.2846880102201162e-10
vals_nod_var30,3.3492688089609146e-07,17336.397991597103,1.9319288877564384e-11
vals_nod_var31,3.183231456205249e-12,81.4357881775469,3.90888518112595e-14
vals_nod_var32,2.5098415790125728e-08,170647.16402684135,1.470778370871605e-13
vals_nod_var33,4.846747287956532e-07,14243.043835030483,3.402887292978804e-11
vals_nod_var34,1.3313191260522217e-07,575.7489947223092,2.3123255763465694e-10
vals_nod_var35,0.0,1.0,0.0
vals_nod_var36,0.0,1.0,0.0
vals_nod_var37,0.0,1.0,0.0
vals_nod_var38,0.0,1.0,0.0
vals_elem_var1eb1,1.1100200936198235e-07,256401.45025399484,4.329227048131834e-13
vals_elem_var2eb1,1.8189894035458565e-12,14472.71951538039,1.2568400856610173e-16
vals_elem_var3eb1,2.2737367544323206e-13,1965.7536870885144,1.1566742920879172e-16
vals_elem_var4eb1,1.6876583686098456e-08,25978.83225541114,6.496282635099284e-13
vals_elem_var5eb1,1.0158714758290444e-08,922.2432427562954,1.1015222760460934e-11
vals_elem_var6eb1,1.6611416242540145e-08,2332.534387651698,7.121616868964513e-12
vals_elem_var7eb1,1.1106021702289581e-07,250262.39883882203,4.4377508382480816e-13
vals_elem_var8eb1,1.1102110875071958e-07,6563.718326762765,1.6914362138004074e-11
vals_elem_var9eb1,1.1102395092166262e-07,482.1960510851735,2.3024649553185933e-10
vals_elem_var10eb1,2.4236214812844992e-08,28051.49299915132,8.639901916656715e-13
vals_elem_var11eb1,2.18991260680923e-08,1295.2856313633722,1.6906793017569452e-11
vals_elem_var12eb1,2.528462239581586e-08,3068.228685407309,8.240788085996045e-12
vals_elem_var13eb1,1.1106021702289581e-07,273701.3566643574,4.0577152549188864e-13
vals_elem_var14eb1,1.4097167877480388e-11,15579.610052503853,9.048472862910188e-16
vals_elem_var15eb1,1.4210854715202004e-14,1074.3962205302962,1.3226828653760405e-17
vals_elem_var16eb1,1.9215804059058428e-08,28629.912132376667,6.711792886478293e-13
vals_elem_var17eb1,9.498080544290133e-09,783.0092142316573,1.2130228318718196e-11
vals_elem_var18eb1,2.0147041368545615e-08,1451.1557654224289,1.3883445077779673e-11
vals_elem_var19eb1,1.1106021702289581e-07,253130.8170588582,4.387463301122755e-13
vals_elem_var20eb1,4.547473508864641e-12,4938.729858394377,9.207779407361762e-16
