step,frame,time,node,r,z,temperature,ur,uz
FIRST,0,0.0,1,0.004,0.0,600.0,0.0,0.0
FIRST,0,0.0,2,0.005,0.0,650.0,0.0,0.0
FIRST,0,0.0,3,0.005,0.01,700.0,0.0,0.0
FIRST,0,0.0,4,0.004,0.01,750.0,0.0,0.0
FIRST,1,0.25,1,0.004,0.0,600.0,1e-05,1.2230352540900862e-34
FIRST,1,0.25,2,0.005,0.0,650.0,1.25e-05,1.3158117424477768e-34
FIRST,1,0.25,3,0.005,0.01,700.0,1.25e-05,6.25e-05
FIRST,1,0.25,4,0.004,0.01,750.0,1e-05,6.25e-05
FIRST,2,0.5,1,0.004,0.0,600.0,2e-05,0.0
FIRST,2,0.5,2,0.005,0.0,650.0,2.5e-05,0.0
FIRST,2,0.5,3,0.005,0.01,700.0,2.5e-05,0.000125
FIRST,2,0.5,4,0.004,0.01,750.0,2e-05,0.000125
FIRST,3,0.75,1,0.004,0.0,600.0,3.0000000000000004e-05,0.0
FIRST,3,0.75,2,0.005,0.0,650.0,3.7500000000000003e-05,0.0
FIRST,3,0.75,3,0.005,0.01,700.0,3.7500000000000003e-05,0.0001875
FIRST,3,0.75,4,0.004,0.01,750.0,3.0000000000000004e-05,0.0001875
FIRST,4,1.0,1,0.004,0.0,600.0,4e-05,-4.7778713213136897e-51
FIRST,4,1.0,2,0.005,0.0,650.0,5e-05,-5.125994011408305e-51
FIRST,4,1.0,3,0.005,0.01,700.0,5e-05,0.00025
FIRST,4,1.0,4,0.004,0.01,750.0,4e-05,0.00025
SWAP,0,1.0,1,0.004,0.0,600.0,4e-05,-4.7778713213136897e-51
SWAP,0,1.0,2,0.005,0.0,650.0,5e-05,-5.125994011408305e-51
SWAP,0,1.0,3,0.005,0.01,700.0,5e-05,0.00025
SWAP,0,1.0,4,0.004,0.01,750.0,4e-05,0.00025
SWAP,1,1.25,1,0.004,0.0,750.0,6.000000000000001e-05,1.1481283707919664e-34
SWAP,1,1.25,2,0.005,0.0,700.0,7.500000000000001e-05,1.1618154421002265e-34
SWAP,1,1.25,3,0.005,0.01,650.0,7.500000000000001e-05,0.00030000000000000003
SWAP,1,1.25,4,0.004,0.01,600.0,6.000000000000001e-05,0.00030000000000000003
SWAP,2,1.5,1,0.004,0.0,750.0,8e-05,-1.885951198234607e-35
SWAP,2,1.5,2,0.005,0.0,700.0,0.0001,-1.7553437457959304e-35
SWAP,2,1.5,3,0.005,0.01,650.0,0.0001,0.00035000000000000005
SWAP,2,1.5,4,0.004,0.01,600.0,8e-05,0.00035000000000000005
SWAP,3,1.75,1,0.004,0.0,750.0,0.0001,-8.552847072295026e-50
SWAP,3,1.75,2,0.005,0.0,700.0,0.000125,-8.552847072295026e-50
SWAP,3,1.75,3,0.005,0.01,650.0,0.000125,0.0004
SWAP,3,1.75,4,0.004,0.01,600.0,0.0001,0.0004
SWAP,4,2.0,1,0.004,0.0,750.0,0.00012,-1.0691058840368783e-49
SWAP,4,2.0,2,0.005,0.0,700.0,0.00015,-1.1492888253396441e-49
SWAP,4,2.0,3,0.005,0.01,650.0,0.00015,0.00045
SWAP,4,2.0,4,0.004,0.01,600.0,0.00012,0.00045
