step,node,temperature,rfl,u1,u2,u3
REFERENCE,1,301,375000.00000000017,0,0,0
REFERENCE,2,300,-1.6666666666666559e-21,0,0,0
REFERENCE,3,300,-1.2499999999999217e-21,0,0,0
REFERENCE,4,300,8.3333333333326617e-22,0,0,0
REFERENCE,5,300,8.3333333333327558e-22,0,0,0
REFERENCE,6,300,-1.2499999999999672e-21,0,0,0
REFERENCE,7,300,-8.3333333333327953e-22,0,0,0
REFERENCE,8,300,-3.6059758579412197e-35,0,0,0
REFERENCE,9,300,-1.6666666666666663e-21,0,0,0
REFERENCE,10,301,375000.00000000006,0,0,0
REFERENCE,11,300,8.3333333333332702e-22,0,0,0
REFERENCE,12,300,-1.2499999999999853e-21,0,0,0
REFERENCE,13,300,-1.24999999999998e-21,0,0,0
REFERENCE,14,300,8.3333333333325592e-22,0,0,0
REFERENCE,15,300,3.1855896907283991e-36,0,0,0
REFERENCE,16,300,-8.3333333333330088e-22,0,0,0
REFERENCE,17,300,-1.2499999999999853e-21,0,0,0
REFERENCE,18,300,8.3333333333330417e-22,0,0,0
REFERENCE,19,301,375000.00000000041,0,0,0
REFERENCE,20,300,-1.6666666666666992e-21,0,0,0
REFERENCE,21,300,-8.3333333333327699e-22,0,0,0
REFERENCE,22,300,-1.2495504949240916e-35,0,0,0
REFERENCE,23,300,8.3333333333330812e-22,0,0,0
REFERENCE,24,300,-1.249999999999973e-21,0,0,0
REFERENCE,25,300,8.3333333333332147e-22,0,0,0
REFERENCE,26,300,-1.2499999999999894e-21,0,0,0
REFERENCE,27,300,-1.6666666666666446e-21,0,0,0
REFERENCE,28,301,375000.00000000052,0,0,0
REFERENCE,29,300,-1.1006300543542931e-35,0,0,0
REFERENCE,30,300,-8.3333333333330962e-22,0,0,0
REFERENCE,31,300,-1.2499999999999935e-21,0,0,0
REFERENCE,32,300,8.3333333333329975e-22,0,0,0
REFERENCE,33,300,8.3333333333332721e-22,0,0,0
REFERENCE,34,300,-1.2500000000000154e-21,0,0,0
REFERENCE,35,300,-8.3333333333328197e-22,0,0,0
REFERENCE,36,300,-2.5454595483087372e-35,0,0,0
