time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat,contact_pressure,contact_gap,contact_force_z,contact_heat_flux
1.0,1,700.0,6.682095028815841e-41,1.565018049276299e-40,1.1309769336834412,2.6439002211720615,1.9946603317235132,0,0,0,0
1.0,2,700.0,-1.336419005713054e-40,3.1300360985125064e-40,-2.2619538673669526,5.287800442344132,2.4933254146543966,0,0,0,0
1.0,3,652.3809503866254,-1.3364190057598273e-40,-1.8737630632346155e-06,-2.2619538673669295,0.0,0.0,2524738.735307979,-2.5247387353075773e-07,-5.287800442051455,476190.07732509996
1.0,4,652.3809503866255,6.682095029534147e-41,-1.873763063234616e-06,1.130976933683431,0.0,0.0,2524738.7353079715,-2.5247387353075773e-07,-2.64390022102572,476190.0773251114
1.0,5,700.0,-4.561685349862154e-51,9.390108295744658e-40,5.0812430913064655e-14,15.863401327031989,0.0,0,0,0,0
1.0,6,676.1904751933127,-5.345676022892307e-40,-9.368815316173086e-07,-9.047815469467526,0.0,0.0,0,0,0,0
1.0,7,652.3809503866255,-3.629122138055902e-51,-1.873763063234622e-06,4.1863436067520275e-14,0.0,0.0,2524738.735307975,-2.5247387353075773e-07,-15.863401326154102,0.0
1.0,8,676.1904751933127,2.6728380113926983e-40,-9.368815316173068e-07,4.523907734733761,0.0,0.0,0,0,0,0
1.0,9,647.6190496133744,6.682095028414927e-41,-3.126236936765383e-06,1.1309769336834308,0.0,0.0,2524738.735307971,0,2.64390022102572,0
1.0,10,647.6190496133744,-1.3364190058466922e-40,-3.1262369367653828e-06,-2.2619538673669375,0.0,0.0,2524738.735307979,0,5.287800442051455,0
1.0,11,600.0,-1.3364190057498044e-40,-5e-06,-2.2619538673669513,-5.287800442344122,-2.4933254146543895,0,0,0,0
1.0,12,600.0,6.682095028197765e-41,-5e-06,1.1309769336834425,-2.6439002211720544,-1.9946603317235034,0,0,0,0
1.0,13,647.6190496133744,4.288529431154131e-51,-3.1262369367653794e-06,4.6678060551093336e-14,0.0,0.0,2524738.7353079747,0,15.863401326154102,0
1.0,14,623.8095248066873,-5.3456760227987604e-40,-4.063118468382691e-06,-9.047815469467517,0.0,0.0,0,0,0,0
1.0,15,600.0,6.993500866015722e-51,-5e-06,5.2881189182167577e-14,-15.86340132703198,0.0,0,0,0,0
1.0,16,623.8095248066873,2.6728380114661993e-40,-4.063118468382691e-06,4.523907734733756,0.0,0.0,0,0,0,0
