step,id,x,y,z,normal_x,normal_y,normal_z,tangential_x,tangential_y,tangential_z,slip_1,slip_2,gap,pressure
1,8,0.99525,-0.0025,-0.001,100901.9999999988,-150.600000000004,0,0,0,0,0.0009920477452739713,5.910872804651829e-06,-0.003999995544672261,399999.9999999954
1,11,0.99675,1.0025,-0.001,100901.9999999988,-150.600000000004,0,0,0,0,0.0009920477452739561,5.910872804704088e-06,-0.003999995544672335,399999.9999999954
1,12,0.99525,-0.0025,1.003,100901.9999999988,-150.6000000000044,0,0,0,0,0.0009920477452739576,5.910872804642566e-06,-0.003999995544672163,399999.9999999955
1,15,0.99675,1.0025,1.003,100901.9999999988,-150.6000000000044,0,0,0,0,0.0009920477452739576,5.910872804691634e-06,-0.003999995544672248,399999.9999999955
2,8,0.9905,-0.005,-0.002,203615.101788124,-604.79733204395,0,0,0,0,0.001980174477448265,2.349773354024016e-05,-0.007999964709575881,799996.4709575835
2,11,0.9935,1.005,-0.002,203615.101788123,-604.7973320439468,0,0,0,0,0.001980174477448278,2.349773354033852e-05,-0.00799996470957577,799996.4709575792
2,12,0.9905,-0.005,1.006,203615.1017881231,-604.7973320439495,0,0,0,0,0.001980174477448195,2.349773354023244e-05,-0.007999964709575784,799996.4709575799
2,15,0.9935,1.005,1.006,203615.1017881228,-604.7973320439485,0,0,0,0,0.00198017447744817,2.349773354025242e-05,-0.007999964709575784,799996.4709575785
3,8,0.98575,-0.0075,-0.003,308150.9715224787,-1366.186573252385,0,0,0,0,0.002964411069177534,5.253066146365696e-05,-0.01199988206633614,1199988.206633613
3,11,0.99025,1.0075,-0.003,308150.9715224793,-1366.186573252387,0,0,0,0,0.002964411069177556,5.253066146378773e-05,-0.01199988206633618,1199988.206633616
3,12,0.98575,-0.0075,1.009,308150.9715224779,-1366.186573252386,0,0,0,0,0.002964411069177441,5.253066146364614e-05,-0.01199988206633608,1199988.206633611
3,15,0.99025,1.0075,1.009,308150.9715224786,-1366.186573252388,0,0,0,0,0.002964411069177465,5.253066146365224e-05,-0.01199988206633613,1199988.206633613
4,8,0.981,-0.009999999999999998,-0.004,414520.8284214079,-2438.357814243563,0,0,0,0,0.003944788029931403,9.278458227376617e-05,-0.01599972319057469,1599972.319057465
4,11,0.987,1.01,-0.004,414520.8284214067,-2438.357814243555,0,0,0,0,0.003944788029931454,9.27845822737383e-05,-0.01599972319057457,1599972.31905746
4,12,0.981,-0.009999999999999998,1.012,414520.8284214074,-2438.357814243564,0,0,0,0,0.003944788029931164,9.278458227376292e-05,-0.01599972319057463,1599972.319057462
4,15,0.987,1.01,1.012,414520.8284214064,-2438.357814243559,0,0,0,0,0.0039447880299312,9.278458227355394e-05,-0.01599972319057458,1599972.319057459
5,8,0.9762500000000001,-0.0125,-0.005,522736.0066594563,-3824.897609703362,0,0,0,0,0.004921335511669221,0.000144039153480632,-0.01999946462589981,1999946.462589982
5,11,0.98375,1.0125,-0.005,522736.0066594574,-3824.89760970337,0,0,0,0,0.004921335511669267,0.0001440391534806816,-0.0199994646258999,1999946.462589986
5,12,0.9762500000000001,-0.0125,1.015,522736.0066594557,-3824.897609703345,0,0,0,0,0.004921335511669027,0.0001440391534806133,-0.01999946462589976,1999946.462589979
5,15,0.98375,1.0125,1.015,522736.0066594563,-3824.897609703351,0,0,0,0,0.004921335511669014,0.0001440391534805338,-0.01999946462589981,1999946.462589982
6,8,0.9715,-0.015,-0.006000000000000001,632807.8429366886,-5529.388918864256,0,0,0,0,0.005894083314403555,0.0002060786527504397,-0.0239990838492373,2399908.384923729
6,11,0.9805,1.015,-0.006000000000000001,632807.842936688,-5529.38891886425,0,0,0,0,0.005894083314403659,0.0002060786527506204,-0.02399908384923728,2399908.384923727
6,12,0.9715,-0.015,1.018,632807.8429366882,-5529.388918864248,0,0,0,0,0.005894083314403304,0.000206078652750426,-0.0239990838492373,2399908.384923727
6,15,0.9805,1.015,1.018,632807.8429366869,-5529.388918864237,0,0,0,0,0.005894083314403377,0.0002060786527504728,-0.02399908384923717,2399908.384923723
7,8,0.96675,-0.0175,-0.007000000000000001,744747.6764364182,-7555.411210224573,0,0,0,0,0.006863060891656793,0.0002786918691425606,-0.02799855923744505,2799855.923744501
7,11,0.97725,1.0175,-0.007000000000000001,744747.6764364173,-7555.411210224564,0,0,0,0,0.006863060891656905,0.0002786918691428417,-0.02799855923744496,2799855.923744498
7,12,0.96675,-0.0175,1.021,744747.6764364174,-7555.411210224559,0,0,0,0,0.006863060891656503,0.0002786918691425297,-0.02799855923744495,2799855.923744498
7,15,0.97725,1.0175,1.021,744747.6764364173,-7555.411210224558,0,0,0,0,0.006863060891656539,0.0002786918691427559,-0.02799855923744498,2799855.923744497
8,8,0.962,-0.02,-0.008000000000000002,858566.8487835282,-9906.540562886868,0,0,0,0,0.007828297355811625,0.0003616719971612623,-0.03199787003516433,3199787.003516429
8,11,0.974,1.02,-0.008000000000000002,858566.8487835287,-9906.540562886874,0,0,0,0,0.00782829735581171,0.0003616719971615371,-0.03199787003516433,3199787.003516431
8,12,0.962,-0.02,1.024,858566.8487835276,-9906.540562886858,0,0,0,0,0.00782829735581129,0.0003616719971612279,-0.03199787003516424,3199787.003516429
8,15,0.974,1.02,1.024,858566.8487835287,-9906.540562886867,0,0,0,0,0.007828297355811278,0.0003616719971614888,-0.03199787003516423,3199787.003516431
9,8,0.95725,-0.0225,-0.009000000000000001,974276.7040033373,-12586.34976463648,0,0,0,0,0.008789821483358946,0.0004548165335448376,-0.03599699632385647,3599699.632385649
9,11,0.97075,1.0225,-0.009000000000000001,974276.7040033368,-12586.34976463648,0,0,0,0,0.008789821483359073,0.0004548165335450371,-0.03599699632385649,3599699.632385646
9,12,0.95725,-0.0225,1.027,974276.7040033368,-12586.34976463649,0,0,0,0,0.008789821483358587,0.0004548165335448082,-0.03599699632385642,3599699.632385646
9,15,0.97075,1.0225,1.027,974276.7040033366,-12586.34976463649,0,0,0,0,0.008789821483358625,0.0004548165335450387,-0.03599699632385647,3599699.632385645
10,8,0.9525,-0.025,-0.01,1091888.588481067,-15598.40840687236,0,0,0,0,0.009747661720045262,0.0005579271767165359,-0.03999591899198052,3999591.89919805
10,11,0.9675,1.025,-0.01,1091888.588481067,-15598.40840687236,0,0,0,0,0.009747661720045386,0.0005579271767167748,-0.03999591899198052,3999591.899198049
10,12,0.9525,-0.025,1.03,1091888.588481066,-15598.40840687237,0,0,0,0,0.009747661720044766,0.0005579271767165194,-0.03999591899198043,3999591.899198046
10,15,0.9675,1.025,1.03,1091888.588481066,-15598.40840687236,0,0,0,0,0.00974766172004489,0.0005579271767168022,-0.03999591899198049,3999591.899198045
11,8,0.94775,-0.0275,-0.011,1211413.85092188,-18946.28297650349,0,0,0,0,0.0107018461859221,0.0006708097288250294,-0.04399461970626577,4399461.970626576
11,11,0.9642500000000001,1.0275,-0.011,1211413.85092188,-18946.2829765035,0,0,0,0,0.01070184618592221,0.0006708097288252599,-0.04399461970626579,4399461.970626575
11,12,0.94775,-0.0275,1.033,1211413.850921879,-18946.28297650344,0,0,0,0,0.01070184618592166,0.0006708097288250351,-0.04399461970626568,4399461.970626571
11,15,0.9642500000000001,1.0275,1.033,1211413.850921879,-18946.28297650345,0,0,0,0,0.01070184618592172,0.0006708097288253616,-0.04399461970626569,4399461.970626572
12,8,0.9430000000000001,-0.03,-0.012,1332863.842311494,-22633.53694491227,0,0,0,0,0.0116524026802988,0.0007932740003027198,-0.04799308088403775,4799308.088403768
12,11,0.961,1.03,-0.012,1332863.842311493,-22633.53694491226,0,0,0,0,0.01165240268029893,0.0007932740003028591,-0.04799308088403771,4799308.088403765
12,12,0.9430000000000001,-0.03,1.036,1332863.842311494,-22633.53694491226,0,0,0,0,0.01165240268029826,0.0007932740003027145,-0.04799308088403768,4799308.088403767
12,15,0.961,1.03,1.036,1332863.842311494,-22633.53694491226,0,0,0,0,0.01165240268029839,0.0007932740003028651,-0.04799308088403769,4799308.088403765
13,8,0.93825,-0.03249999999999999,-0.013,1456249.9158774,-26663.73085409316,0,0,0,0,0.01259935868660234,0.0009251337168737733,-0.05199128566655599,5199128.566655599
13,11,0.95775,1.0325,-0.013,1456249.915877401,-26663.73085409319,0,0,0,0,0.01259935868660241,0.0009251337168739357,-0.05199128566655603,5199128.566655604
13,12,0.93825,-0.03249999999999999,1.039,1456249.915877399,-26663.73085409314,0,0,0,0,0.01259935868660182,0.0009251337168737656,-0.05199128566655595,5199128.566655594
13,15,0.95775,1.0325,1.039,1456249.915877401,-26663.73085409318,0,0,0,0,0.012599358686602,0.0009251337168740135,-0.05199128566655599,5199128.566655602
14,8,0.9335,-0.03499999999999999,-0.014,1581577.303318864,-31040.30221466929,0,0,0,0,0.01354274137714416,0.001066206428945236,-0.05598921789332471,5598921.789332468
14,11,0.9545,1.035,-0.014,1581582.943223322,-31040.41290438295,0,0,0,0,0.01354274137714425,0.001066206428945576,-0.05598921789332469,5598921.789332465
14,12,0.9335,-0.03499999999999999,1.042,1581577.303318863,-31040.30221466927,0,0,0,0,0.01354274137714345,0.001066206428945249,-0.05598921789332461,5598921.789332463
14,15,0.9545,1.035,1.042,1581582.943223321,-31040.41290438293,0,0,0,0,0.01354274137714371,0.001066206428945592,-0.05598921789332457,5598921.78933246
15,8,0.92875,-0.03749999999999998,-0.015,1708851.479832326,-35766.65888021164,0,0,0,0,0.01448257761779918,0.001216313423313742,-0.05998686207733745,5998686.207733741
15,11,0.95125,1.0375,-0.015,1708873.817186139,-35767.12640622169,0,0,0,0,0.01448257761779922,0.00121631342331422,-0.0599868620773374,5998686.207733741
