step,id,normal_x,normal_y,normal_z,tangent_x,tangent_y,tangent_z,slip1,slip2,gap,pressure
1,8,2499.999999999999,0,0,0,-112.4999999999999,-149.9999999999999,1.999999999999999e-06,-1.499999999999999e-06,-9.999999999999998e-05,9999.999999999998
1,11,2499.999999999999,0,0,0,-112.4999999999998,-149.9999999999998,1.999999999999999e-06,-1.499999999999999e-06,-9.999999999999998e-05,9999.999999999998
1,12,2500,0,0,0,-112.5000000000001,-149.9999999999999,1.999999999999999e-06,-1.500000000000005e-06,-9.999999999999998e-05,9999.999999999998
1,15,2499.999999999999,0,0,0,-112.4999999999998,-149.9999999999999,1.999999999999999e-06,-1.499999999999994e-06,-9.999999999999998e-05,9999.999999999996
2,8,2499.999999999999,0,0,0,-337.4999999999999,-449.9999999999999,5.999999999999999e-06,-4.499999999999998e-06,-9.999999999999998e-05,9999.999999999998
2,11,2499.999999999999,0,0,0,-337.4999999999998,-449.9999999999998,5.999999999999999e-06,-4.499999999999998e-06,-9.999999999999998e-05,9999.999999999998
2,12,2500,0,0,0,-337.5,-449.9999999999999,6e-06,-4.500000000000004e-06,-9.999999999999998e-05,9999.999999999998
2,15,2500,0,0,0,-337.4999999999997,-449.9999999999999,5.999999999999999e-06,-4.499999999999994e-06,-9.999999999999998e-05,9999.999999999998
3,8,2499.999999999999,0,0,0,-449.9999999999999,-599.9999999999998,1.2e-05,-8.999999999999999e-06,-9.999999999999998e-05,9999.999999999998
3,11,2499.999999999999,0,0,0,-449.9999999999999,-599.9999999999998,1.2e-05,-8.999999999999999e-06,-9.999999999999998e-05,9999.999999999998
3,12,2500,0,0,0,-449.9999999999999,-599.9999999999999,1.2e-05,-9.000000000000004e-06,-9.999999999999998e-05,9999.999999999998
3,15,2500,0,0,0,-449.9999999999999,-599.9999999999999,1.2e-05,-8.999999999999993e-06,-9.999999999999998e-05,9999.999999999998
