stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,99999999.99999997,-1.490116119384766e-08,-1.490116119384766e-08,3.909382833481386e-10,2.606255222320924e-10,1.563753133392555e-09,0.0005,-0.00015,-0.00015,5.082197683525802e-21,3.388131789017201e-21,2.032879073410321e-20,0.0005,-0.00015,-0.00015,5.082197683525802e-21,3.388131789017201e-21,2.032879073410321e-20,0,0,0,0,0,0,0,0.1250000000000001
1,0.1,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,99999999.99999997,-1.862645149230957e-08,-2.235174179077148e-08,6.51563805580231e-10,2.085004177856739e-09,9.121893278123234e-10,0.0005,-0.00015,-0.0001500000000000001,8.470329472543003e-21,2.710505431213761e-20,1.18584612615602e-20,0.0005,-0.00015,-0.0001500000000000001,8.470329472543003e-21,2.710505431213761e-20,1.18584612615602e-20,0,0,0,0,0,0,0,0.125
1,0.1,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,99999999.99999994,-2.60770320892334e-08,-2.235174179077148e-08,1.824378655624647e-09,0,-3.127506266785109e-09,0.0004999999999999998,-0.00015,-0.00015,2.371692252312041e-20,0,-4.065758146820642e-20,0.0004999999999999998,-0.00015,-0.00015,2.371692252312041e-20,0,-4.065758146820642e-20,0,0,0,0,0,0,0,0.1250000000000001
1,0.1,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,99999999.99999993,-3.352761268615723e-08,-2.235174179077148e-08,1.824378655624647e-09,4.170008355713478e-09,-6.906576339150448e-09,0.0004999999999999998,-0.00015,-0.00015,2.371692252312041e-20,5.421010862427522e-20,-8.978549240895584e-20,0.0004999999999999998,-0.00015,-0.00015,2.371692252312041e-20,5.421010862427522e-20,-8.978549240895584e-20,0,0,0,0,0,0,0,0.125
1,0.1,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,99999999.99999999,-1.862645149230957e-08,-7.450580596923828e-09,-1.303127611160462e-09,-7.818765666962773e-10,9.382518800355326e-09,0.0005,-0.0001500000000000001,-0.00015,-1.694065894508601e-20,-1.01643953670516e-20,1.219727444046192e-19,0.0005,-0.0001500000000000001,-0.00015,-1.694065894508601e-20,-1.01643953670516e-20,1.219727444046192e-19,0,0,0,0,0,0,0,0.125
1,0.1,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,99999999.99999999,-3.352761268615723e-08,-1.490116119384766e-08,-1.303127611160462e-09,-2.085004177856739e-09,9.382518800355326e-09,0.0005,-0.0001500000000000001,-0.00015,-1.694065894508601e-20,-2.710505431213761e-20,1.219727444046192e-19,0.0005,-0.0001500000000000001,-0.00015,-1.694065894508601e-20,-2.710505431213761e-20,1.219727444046192e-19,0,0,0,0,0,0,0,0.125
1,0.1,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,99999999.99999999,-1.862645149230957e-08,7.450580596923828e-09,-4.170008355713478e-09,0,3.127506266785109e-09,0.0005,-0.0001500000000000001,-0.00015,-5.421010862427522e-20,0,4.065758146820642e-20,0.0005,-0.0001500000000000001,-0.00015,-5.421010862427522e-20,0,4.065758146820642e-20,0,0,0,0,0,0,0,0.125
1,0.1,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,100000000,-2.235174179077148e-08,7.450580596923828e-09,-5.212510444641848e-09,8.340016711426957e-09,7.818765666962773e-10,0.0005,-0.0001500000000000001,-0.0001499999999999999,-6.776263578034403e-20,1.084202172485504e-19,1.01643953670516e-20,0.0005,-0.0001500000000000001,-0.0001499999999999999,-6.776263578034403e-20,1.084202172485504e-19,1.01643953670516e-20,0,0,0,0,0,0,0,0.125
2,0.2,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,201980198.0198023,-4.470348358154297e-08,-5.960464477539062e-08,1.834338866665367e-10,1.467471093332294e-09,4.646991795552263e-09,0.002,-0.0007980198019801976,-0.0007980198019801979,5.082197683525802e-21,4.065758146820642e-20,1.287490079826537e-19,0.001009900990099011,-0.0003029702970297035,-0.0003029702970297036,2.384640526664977e-21,1.907712421331982e-20,6.041089334217942e-20,0.0009900990099009886,-0.0004950495049504941,-0.0004950495049504943,2.697557156860825e-21,2.15804572548866e-20,6.833811464047423e-20,0.0009900990099012106,0.1250000000000001
2,0.2,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,201980198.0198025,1.341104507446289e-07,1.490116119384766e-07,3.057231444442277e-10,6.725909177773011e-09,7.948801755549923e-10,0.002,-0.0007980198019801977,-0.0007980198019801977,8.470329472543003e-21,1.863472483959461e-19,2.202285662861181e-20,0.001009900990099012,-0.0003029702970297033,-0.0003029702970297033,3.974400877774961e-21,8.743681931104915e-20,1.03334422822149e-20,0.0009900990099009884,-0.0004950495049504944,-0.0004950495049504944,4.495928594768042e-21,9.891042908489692e-20,1.168941434639691e-20,0.0009900990099012104,0.125
