stage,time_s,internal_energy_j,plastic_dissipation_j,creep_dissipation_j,external_work_j
1,0.1,150622.28125,41657.2734375,8133.5810546875,150622.28125
2,0.2,251244.0625,124943.1328125,24636.64453125,251244.0625
3,0.3,352279.1875,208368.765625,41411.890625,352279.1875
4,0.4,453726.6875,291930.53125,58462,453726.6875
5,0.5,555585.5,375624.75,75789.640625,555585.5
6,0.6000000000000001,657854.6875,459447.8125,93397.5,657854.6875
7,0.7000000000000001,760533.125,543396.0625,111288.2421875,760533.125
8,0.8,863619.875,627465.8125,129464.53125,863619.875
9,0.9,967113.8125,711653.375,147929.046875,967113.8125
10,1,1071014,795955.125,166684.453125,1071014
