stage,time_s,internal_energy_j,plastic_dissipation_j,creep_dissipation_j,external_work_j
1,0.001,136269.703125,18784.87109375,8.060168266296387,136269.703125
2,0.002,239241,117316.3828125,24.44316864013672,239241
3,0.003,343480.65625,218129.625,41.16178894042969,343480.65625
4,0.004,448592.09375,320508.90625,58.2204475402832,448592.09375
5,0.005,554390.25,424037.34375,75.62435913085938,554390.25
6,0.006,575571.125,451872.0625,92.22801208496094,575571.125
7,0.007,630263.6875,516994.6875,109.5154266357422,630263.6875
8,0.008,703909.6875,598359.5625,127.3136520385742,703909.6875
9,0.009000000000000001,787774.75,686863.375,145.5222320556641,787774.75
10,0.01,877261.875,778815.125,164.0987701416016,877261.875
11,0.011,906839.5,805123.4375,179.3315887451172,906839.5
12,0.012,1079295.25,956514,197.3597412109375,1079295.25
13,0.013,1305583.75,1170280,217.0495452880859,1305583.75
14,0.014,1547638.5,1405452.75,237.8419494628906,1547638.5
15,0.015,1795246.75,1648363.25,259.5893249511719,1795246.75
16,0.016,1856593.5,1726275.5,278.7673950195312,1856593.5
17,0.017,2010886.375,1894912.5,300.8076782226562,2010886.375
18,0.018,2197133.75,2086620.5,324.1031799316406,2197133.75
19,0.019,2395530,2286181.75,348.3333435058594,2395530
20,0.02,2599399,2489431.5,373.4231872558594,2599399
