stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.001,1,600,4.038461538461542e-28,1.730769230769232e-28,1.730769230769233e-28,7.6704380448383e-15,-402638239.128768,-173594600.8129459,-173594600.8129459
1,0.001,2,600,0.006000000000000005,1.730769230769233e-28,1.730769230769232e-28,-6.425553906078176e-15,402638239.128768,-173594600.8129459,-173594600.8129459
1,0.001,3,600,0.006000000000000005,-1.730769230769232e-28,1.730769230769233e-28,1.284755114161203e-15,402638239.1287678,173594600.812946,-173594600.812946
1,0.001,4,600,4.038461538461542e-28,-1.730769230769233e-28,1.730769230769233e-28,-1.380319078966036e-14,-402638239.1287678,173594600.8129459,-173594600.812946
1,0.001,5,600,4.038461538461542e-28,1.730769230769232e-28,-1.730769230769232e-28,-4.971347003672428e-15,-402638239.1287679,-173594600.8129459,173594600.8129459
1,0.001,6,600,0.006000000000000005,1.730769230769233e-28,-1.730769230769233e-28,3.517047046892383e-15,402638239.1287679,-173594600.8129459,173594600.812946
1,0.001,7,600,0.006000000000000005,-1.730769230769233e-28,-1.730769230769232e-28,6.050766055717405e-15,402638239.1287677,173594600.8129459,173594600.8129459
1,0.001,8,600,4.038461538461542e-28,-1.730769230769233e-28,-1.730769230769232e-28,6.677085437801677e-15,-402638239.1287677,173594600.8129459,173594600.8129459
2,0.002,1,600,4.014375286741095e-28,1.741122785489686e-28,1.741122785489686e-28,3.627797303777149e-15,-802882197.3509227,-348221478.7367717,-348221478.7367716
2,0.002,2,600,0.01200000000000001,1.741122785489686e-28,1.741122785489687e-28,-2.375488408722231e-15,802882197.3509227,-348221478.7367716,-348221478.7367716
2,0.002,3,600,0.01200000000000001,-1.741122785489686e-28,1.741122785489687e-28,-3.22945084981668e-15,802882197.3509227,348221478.7367717,-348221478.7367716
2,0.002,4,600,4.014375286741096e-28,-1.741122785489686e-28,1.741122785489686e-28,-9.363647463906132e-15,-802882197.3509227,348221478.7367716,-348221478.7367716
2,0.002,5,600,4.014375286741097e-28,1.741122785489686e-28,-1.741122785489687e-28,-4.632485945328262e-15,-802882197.3509226,-348221478.7367716,348221478.7367716
2,0.002,6,600,0.01200000000000001,1.741122785489686e-28,-1.741122785489686e-28,3.16951223135072e-15,802882197.3509226,-348221478.7367716,348221478.7367716
2,0.002,7,600,0.01200000000000001,-1.741122785489686e-28,-1.741122785489686e-28,5.890996191333992e-15,802882197.3509226,348221478.7367716,348221478.7367716
2,0.002,8,600,4.014375286741096e-28,-1.741122785489687e-28,-1.741122785489686e-28,6.912766941311448e-15,-802882197.3509226,348221478.7367716,348221478.7367716
3,0.003,1,600,3.99057464274856e-28,1.751414772986827e-28,1.751414772986828e-28,-2.042509481219117e-15,-1200760181.435804,-523874513.4435635,-523874513.4435635
3,0.003,2,600,0.01800000000000002,1.751414772986827e-28,1.751414772986828e-28,3.302243132568823e-15,1200760181.435804,-523874513.4435635,-523874513.4435634
3,0.003,3,600,0.01800000000000002,-1.751414772986827e-28,1.751414772986828e-28,2.838156389664021e-15,1200760181.435804,523874513.4435635,-523874513.4435635
3,0.003,4,600,3.990574642748558e-28,-1.751414772986828e-28,1.751414772986828e-28,-1.550591734161049e-14,-1200760181.435804,523874513.4435635,-523874513.4435635
3,0.003,5,600,3.990574642748559e-28,1.751414772986828e-28,-1.751414772986827e-28,-1.487543809044268e-14,-1200760181.435804,-523874513.4435635,523874513.4435635
3,0.003,6,600,0.01800000000000002,1.751414772986828e-28,-1.751414772986828e-28,1.340379061926765e-14,1200760181.435804,-523874513.4435635,523874513.4435635
3,0.003,7,600,0.01800000000000002,-1.751414772986827e-28,-1.751414772986827e-28,8.905274864519149e-15,1200760181.435804,523874513.4435635,523874513.4435634
3,0.003,8,600,3.990574642748559e-28,-1.751414772986827e-28,-1.751414772986827e-28,3.974399907252644e-15,-1200760181.435804,523874513.4435634,523874513.4435634
4,0.004,1,600,3.967054556445522e-28,1.76164592114901e-28,1.761645921149011e-28,2.725765582702206e-15,-1596299999.110785,-700547656.7526181,-700547656.7526181
4,0.004,2,600,0.02400000000000002,1.76164592114901e-28,1.76164592114901e-28,-1.458607175057707e-15,1596299999.110785,-700547656.7526181,-700547656.7526182
4,0.004,3,600,0.02400000000000002,-1.76164592114901e-28,1.76164592114901e-28,-7.093949514891673e-15,1596299999.110784,700547656.752618,-700547656.7526182
4,0.004,4,600,3.967054556445522e-28,-1.761645921149011e-28,1.76164592114901e-28,-5.648474075278447e-15,-1596299999.110784,700547656.7526181,-700547656.7526184
4,0.004,5,600,3.967054556445522e-28,1.76164592114901e-28,-1.76164592114901e-28,-1.116983729032985e-14,-1596299999.110784,-700547656.7526183,700547656.7526182
4,0.004,6,600,0.02400000000000002,1.76164592114901e-28,-1.761645921149011e-28,9.68951606195732e-15,1596299999.110784,-700547656.7526184,700547656.7526181
