stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,8.496479313278039e-36,-4.130998079572144e-36,-4.130998078834596e-36,3.01109453786054e-15,-75000000.00000633,3.470283722128587e-06,3.466775056789406e-06
1,0.1,2,600,0.001774282498484151,-4.130998082801507e-36,-4.130998081901643e-36,0,0,3.470920076323969e-06,3.476775166766084e-06
1,0.1,3,600,0.001774282498484151,-0.000585831551579491,-4.130998089865314e-36,0,0,0,3.478487895758261e-06
1,0.1,4,600,8.496479324488427e-36,-0.0005858315515794907,-4.130998073100348e-36,2.785186023615619e-15,-75000000.00000632,0,3.457548902074668e-06
1,0.1,5,600,8.496479324488427e-36,-4.130998077398298e-36,-0.0005858315515794907,-7.301632586472287e-15,-75000000.00000633,3.473853499029002e-06,0
1,0.1,6,600,0.001774282498484152,-4.130998094184192e-36,-0.0005858315515794912,0,0,3.476746697519787e-06,0
1,0.1,7,600,0.001774282498484152,-0.0005858315515794909,-0.0005858315515794912,0,0,0,0
1,0.1,8,600,8.496479324488427e-36,-0.0005858315515794908,-0.0005858315515794902,1.685551947219544e-15,-75000000.0000063,0,0
2,0.2,1,600,7.947092563052939e-33,-5.278704946527156e-34,-5.278704946554813e-34,5.278404859635377e-15,-74999999.74963287,-0.1216785052399292,-0.1216785004716801
2,0.2,2,600,0.002046380659267767,-5.278704946629515e-34,-5.278704946767653e-34,0,0,-0.1216784911012437,-0.1216784793202377
2,0.2,3,600,0.002046380659267772,-0.0007214509928109192,-5.27870494666512e-34,0,0,0,-0.1216784855975015
2,0.2,4,600,7.94709256304313e-33,-0.000721450992810918,-5.27870494665862e-34,-2.81426217823072e-15,-74999999.74963284,0,-0.1216784871436768
2,0.2,5,600,7.947092563044531e-33,-5.27870494668058e-34,-0.0007214509928109183,-3.517936285178835e-15,-74999999.74963285,-0.1216784893065386,0
2,0.2,6,600,0.002046380659267772,-5.278704946561172e-34,-0.0007214509928109201,0,0,-0.1216784933190582,0
2,0.2,7,600,0.00204638065926777,-0.0007214509928109188,-0.0007214509928109188,0,0,0,0
2,0.2,8,600,7.947092563052939e-33,-0.0007214509928109189,-0.0007214509928109185,-1.24116909423456e-16,-74999999.74963287,0,0
3,0.3,1,600,7.956802532804388e-33,-5.282578600846763e-34,-5.282578600727284e-34,-1.665836695405937e-14,-74999999.74896322,-0.1220525559143149,-0.1220525516216815
3,0.3,2,600,0.002318774761040972,-5.282578600794979e-34,-5.282578600778974e-34,0,0,-0.1220525462445096,-0.1220525392632968
3,0.3,3,600,0.002318774761040974,-0.000857162607628391,-5.282578600781539e-34,0,0,0,-0.1220525463713514
3,0.3,4,600,7.956802532804388e-33,-0.0008571626076283902,-5.282578600725994e-34,-5.710055351915244e-15,-74999999.74896321,0,-0.1220525524749892
3,0.3,5,600,7.956802532801585e-33,-5.282578600853051e-34,-0.0008571626076283902,1.975359948416642e-14,-74999999.74896322,-0.1220525433167726,0
3,0.3,6,600,0.002318774761040974,-5.282578600810715e-34,-0.0008571626076283915,0,0,-0.1220525423849205,0
3,0.3,7,600,0.002318774761040975,-0.000857162607628391,-0.000857162607628391,0,0,0,0
3,0.3,8,600,7.956802532800184e-33,-0.0008571626076283905,-0.0008571626076283897,3.265961149052249e-15,-74999999.74896321,0,0
4,0.4,1,600,7.96643653987567e-33,-5.285973976397038e-34,-5.285973976480748e-34,-4.836783338562795e-15,-74999999.74829969,-0.122423945311195,-0.122423945310415
4,0.4,2,600,0.002591465361128671,-5.285973976450352e-34,-5.285973976350269e-34,0,0,-0.1224239359133489,-0.1224239408035724
4,0.4,3,600,0.002591465361128672,-0.0009929665307933872,-5.285973976408886e-34,0,0,0,-0.1224239320917592
4,0.4,4,600,7.966436539881275e-33,-0.0009929665307933861,-5.285973976437418e-34,-4.401983595957461e-15,-74999999.74829966,0,-0.1224239449277328
4,0.4,5,600,7.966436539877071e-33,-5.285973976368293e-34,-0.000992966530793387,2.366968559261163e-15,-74999999.74829963,-0.1224239409725228,0
4,0.4,6,600,0.002591465361128671,-5.28597397650112e-34,-0.0009929665307933876,0,0,-0.1224239292948806,0
4,0.4,7,600,0.002591465361128675,-0.0009929665307933878,-0.0009929665307933874,0,0,0,0
4,0.4,8,600,7.96643653987567e-33,-0.0009929665307933861,-0.0009929665307933854,6.165436077453572e-15,-74999999.74829966,0,0
5,0.5,1,600,7.976089761407161e-33,-5.289366852507294e-34,-5.289366852576991e-34,-1.305249431408709e-14,-74999999.7476339,-0.1227967281918602,-0.122796710500019
5,0.5,2,600,0.002864453024866129,-5.289366852679718e-34,-5.289366852600655e-34,0,0,-0.1227967142767623,-0.1227967187873752
5,0.5,3,600,0.002864453024866131,-0.001128862900583861,-5.289366852589207e-34,0,0,0,-0.1227967206995836
5,0.5,4,600,7.976089761407161e-33,-0.001128862900583859,-5.289366852652771e-34,-1.685343310637123e-15,-74999999.74763395,0,-0.1227967185631598
5,0.5,5,600,7.976089761404358e-33,-5.289366852597659e-34,-0.00112886290058386,7.000596394145618e-15,-74999999.74763393,-0.122796726467132,0
5,0.5,6,600,0.002864453024866129,-5.289366852674434e-34,-0.001128862900583861,0,0,-0.1227967112494617,0
5,0.5,7,600,0.002864453024866132,-0.001128862900583861,-0.001128862900583861,0,0,0,0
5,0.5,8,600,7.976089761409963e-33,-0.00112886290058386,-0.001128862900583859,8.651108465284452e-15,-74999999.74763395,0,0
6,0.6000000000000001,1,600,7.985762254335019e-33,-5.292757206882873e-34,-5.292757206833459e-34,-2.606734987305749e-15,-74999999.74696594,-0.1231709344083658,-0.1231709373535565
6,0.6000000000000001,2,600,0.003137738319130157,-5.292757206796056e-34,-5.292757206871136e-34,0,0,-0.123170934628464,-0.1231709238834468
6,0.6000000000000001,3,600,0.003137738319130161,-0.00126485185559831,-5.29275720677561e-34,0,0,0,-0.1231709367055497
6,0.6000000000000001,4,600,7.985762254328012e-33,-0.001264851855598309,-5.292757206797136e-34,-6.71706202950334e-15,-74999999.74696594,0,-0.1231709370790748
6,0.6000000000000001,5,600,7.985762254325209e-33,-5.29275720688916e-34,-0.001264851855598309,4.026584104968623e-15,-74999999.74696593,-0.1231709302282758,0
6,0.6000000000000001,6,600,0.003137738319130161,-5.292757206748733e-34,-0.00126485185559831,0,0,-0.123170944720502,0
6,0.6000000000000001,7,600,0.00313773831913016,-0.001264851855598309,-0.00126485185559831,0,0,0,0
6,0.6000000000000001,8,600,7.985762254325209e-33,-0.00126485185559831,-0.001264851855598309,4.909617218911945e-15,-74999999.74696591,0,0
7,0.7000000000000001,1,600,7.995454072499933e-33,-5.296145000847936e-34,-5.296145000735464e-34,-1.75114305367291e-14,-74999999.74629568,-0.1235465657613493,-0.123546574392735
7,0.7000000000000001,2,600,0.00341132181234437,-5.296145000838191e-34,-5.296145000990342e-34,0,0,-0.123546562446374,-0.1235465513702666
7,0.7000000000000001,3,600,0.003411321812344372,-0.001400933534756679,-5.296145001055965e-34,0,0,0,-0.1235465505017374
7,0.7000000000000001,4,600,7.99545407250694e-33,-0.001400933534756678,-5.296145000748186e-34,3.90287896299927e-15,-74999999.74629562,0,-0.1235465754986727
7,0.7000000000000001,5,600,7.995454072512545e-33,-5.296145000882249e-34,-0.001400933534756678,4.510855462777631e-15,-74999999.74629565,-0.1235465595500148,0
7,0.7000000000000001,6,600,0.003411321812344373,-5.296145000938005e-34,-0.00140093353475668,0,0,-0.123546555158109,0
7,0.7000000000000001,7,600,0.003411321812344375,-0.001400933534756679,-0.001400933534756679,0,0,0,0
7,0.7000000000000001,8,600,7.995454072516749e-33,-0.001400933534756678,-0.001400933534756677,3.409895335181461e-15,-74999999.74629565,0,0
8,0.8,1,600,8.005165270122346e-33,-5.299530195733653e-34,-5.299530195775324e-34,1.885362887101965e-15,-74999999.74562316,-0.1239236109994515,-0.1239236016635735
8,0.8,2,600,0.003685204074484669,-5.299530195667856e-34,-5.299530195651851e-34,0,0,-0.1239236043034136,-0.1239236066543723
8,0.8,3,600,0.003685204074484673,-0.001537108077301366,-5.299530195584352e-34,0,0,0,-0.1239236200105375
8,0.8,4,600,8.005165270111135e-33,-0.001537108077301364,-5.299530195830085e-34,-2.024345932346951e-15,-74999999.7456231,0,-0.1239236062673351
8,0.8,5,600,8.005165270104129e-33,-5.299530195725928e-34,-0.001537108077301365,-2.40166542603817e-15,-74999999.74562313,-0.1239236129875479,0
8,0.8,6,600,0.003685204074484672,-5.299530195557475e-34,-0.001537108077301366,0,0,-0.1239236162007079,0
8,0.8,7,600,0.003685204074484671,-0.001537108077301365,-0.001537108077301365,0,0,0,0
8,0.8,8,600,8.005165270101326e-33,-0.001537108077301365,-0.001537108077301365,2.969538346882931e-15,-74999999.74562314,0,0
9,0.9,1,600,8.014895901265752e-33,-5.30291275235972e-34,-5.302912752310305e-34,-2.14044444035255e-14,-74999999.74494828,-0.1243021036275394,-0.1243021148939901
9,0.9,2,600,0.003959385677084757,-5.302912752637241e-34,-5.30291275259321e-34,0,0,-0.1243020964133367,-0.1243020938780351
9,0.9,3,600,0.003959385677084763,-0.001673375622798235,-5.302912752532716e-34,0,0,0,-0.124302108613464
9,0.9,4,600,8.014895901258746e-33,-0.001673375622798233,-5.302912752484177e-34,1.307961466238315e-15,-74999999.74494825,0,-0.1243021054164786
9,0.9,5,600,8.014895901261549e-33,-5.30291275252015e-34,-0.001673375622798233,6.05617528647132e-15,-74999999.74494825,-0.1243020969293576,0
9,0.9,6,600,0.003959385677084764,-5.302912752554885e-34,-0.001673375622798235,0,0,-0.1243021089515124,0
9,0.9,7,600,0.003959385677084762,-0.001673375622798234,-0.001673375622798234,0,0,0,0
9,0.9,8,600,8.014895901281167e-33,-0.001673375622798234,-0.001673375622798233,1.072077617131923e-14,-74999999.74494827,0,0
10,1,1,600,8.024646020610221e-33,-5.306292632344569e-34,-5.306292632470318e-34,8.275515822251869e-16,-74999999.74427114,-0.1246820082038873,-0.1246820066259807
10,1,2,600,0.004233867193241703,-5.306292632257753e-34,-5.306292632136651e-34,0,0,-0.124682030391908,-0.1246820422792614
10,1,3,600,0.004233867193241702,-0.001809736311137638,-5.306292632132209e-34,0,0,0,-0.1246820420647437
10,1,4,600,8.024646020606017e-33,-0.001809736311137638,-5.306292632370936e-34,-5.407721008033061e-15,-74999999.74427117,0,-0.1246820231286482
10,1,5,600,8.024646020603214e-33,-5.306292632238753e-34,-0.001809736311137638,4.219313947370893e-15,-74999999.74427117,-0.1246820219495742,0
10,1,6,600,0.004233867193241702,-5.306292632273488e-34,-0.001809736311137638,0,0,-0.1246820325805024,0
