node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
1,300,0,-0,-0,-0,0,0,0
2,300,-323.0523376464844,-3.227944221556465e-33,-1.450987178766208e-34,0,3227.944580078125,145.0987396240234,0
3,300,-646.1046752929688,-6.393521120962114e-33,-8.191723502227931e-34,0,6393.521484375,819.1724853515625,0
4,300,0,-0,-0,0,0,0,0
5,300,0,-0,-0,0,0,0,0
6,300,-323.0523376464844,-3.227944221556465e-33,-1.450987178766208e-34,0,3227.944580078125,145.0987396240234,0
7,300,-646.1046752929688,-6.393521120962114e-33,-8.191723502227931e-34,0,6393.521484375,819.1724853515625,0
8,300,0,-0,-0,-0,0,0,0
9,300,-646.1046752929688,-6.22752882899853e-33,-1.66866125076627e-33,0,6227.529296875,1668.661499023438,0
10,300,0,-0,-0,-0,0,0,0
11,300,-646.1046752929688,-6.22752882899853e-33,-1.66866125076627e-33,0,6227.529296875,1668.661499023438,0
12,300,0,-0,-0,0,0,0,0
13,300,-646.1046752929688,-5.956447342071433e-33,-2.467241235850061e-33,-0,5956.4482421875,2467.241455078125,0
14,300,0,-0,-0,-0,0,0,0
15,300,-646.1046752929688,-5.956447342071433e-33,-2.467241235850061e-33,-0,5956.4482421875,2467.241455078125,0
16,300,0,-0,-0,0,0,0,0
17,300,-646.1046752929688,-5.583449760244074e-33,-3.223606280059946e-33,-0,5583.4501953125,3223.6064453125,0
18,300,0,-0,-0,-0,0,0,0
19,300,-646.1046752929688,-5.583449760244074e-33,-3.223606280059946e-33,-0,5583.4501953125,3223.6064453125,0
20,300,0,-0,-0,0,0,0,0
21,300,-646.1046752929688,-5.114917548473481e-33,-3.92481400692238e-33,0,5114.91796875,3924.814453125,0
22,300,0,-0,-0,-0,0,0,0
23,300,-646.1046752929688,-5.114917548473481e-33,-3.92481400692238e-33,0,5114.91796875,3924.814453125,0
24,300,0,-0,-0,0,0,0,0
25,300,-646.1046752929688,-4.55886757823226e-33,-4.55886757823226e-33,-0,4558.8681640625,4558.8681640625,0
26,300,0,-0,-0,-0,0,0,0
27,300,-646.1046752929688,-4.55886757823226e-33,-4.55886757823226e-33,-0,4558.8681640625,4558.8681640625,0
28,300,0,-0,-0,0,0,0,0
29,300,-646.1046752929688,-3.92481400692238e-33,-5.114917548473481e-33,-0,3924.814453125,5114.91796875,0
30,300,0,-0,-0,-0,0,0,0
31,300,-646.1046752929688,-3.92481400692238e-33,-5.114917548473481e-33,-0,3924.814453125,5114.91796875,0
32,300,0,-0,-0,0,0,0,0
33,300,-646.1046752929688,-3.223606280059946e-33,-5.583449760244074e-33,-0,3223.6064453125,5583.4501953125,0
34,300,0,-0,-0,-0,0,0,0
35,300,-646.1046752929688,-3.223606280059946e-33,-5.583449760244074e-33,0,3223.6064453125,5583.4501953125,0
36,300,0,-0,-0,0,0,0,0
37,300,-646.1046752929688,-2.467241235850061e-33,-5.956447342071433e-33,-0,2467.241455078125,5956.4482421875,0
38,300,0,-0,-0,-0,0,0,0
39,300,-646.1046752929688,-2.467241235850061e-33,-5.956447342071433e-33,0,2467.241455078125,5956.4482421875,0
40,300,0,-0,-0,0,0,0,0
41,300,-646.1046752929688,-1.66866125076627e-33,-6.22752882899853e-33,-0,1668.661499023438,6227.529296875,0
42,300,0,-0,-0,-0,0,0,0
43,300,-646.1046752929688,-1.66866125076627e-33,-6.22752882899853e-33,-0,1668.661499023438,6227.529296875,0
44,300,0,-0,-0,0,0,0,0
45,300,-646.1046752929688,-8.191723502227931e-34,-6.393521120962114e-33,-0,819.1724853515625,6393.521484375,0
46,300,0,-0,-0,0,0,0,0
47,300,-646.1046752929688,-8.191723502227931e-34,-6.393521120962114e-33,0,819.1724853515625,6393.521484375,0
48,300,0,-0,-0,-0,0,0,0
49,300,-323.0523376464844,-1.450987178766208e-34,-3.227944221556465e-33,-0,145.0987396240234,3227.944580078125,0
50,300,0,-0,-0,-0,0,0,0
51,300,-323.0523376464844,-1.450987178766208e-34,-3.227944221556465e-33,0,145.0987396240234,3227.944580078125,0
52,300,0,-0,-0,0,0,0,0
53,400,323.0523376464844,-0.01499999966472387,1.444301554645906e-34,-0,-48143.26953125,685190.125,-951.2696533203125
54,400,0,-0.01499999966472387,0,0,-42465.13671875,647937.5625,950.1305541992188
55,400,0,-0.01487167272716761,-0.001957892905920744,-9.501305024280579e-34,-84203.6875,-11085.625,1900.261108398438
56,400,646.1046752929688,-0.01487167272716761,-0.001957892905920744,9.512696299224016e-34,-95475.96875,-12546.87109375,-1902.539306640625
57,400,323.0523376464844,-0.01499999966472387,1.444301554645906e-34,-0,-48143.26953125,685190.125,951.2696533203125
58,400,0,-0.01499999966472387,0,0,-42465.13671875,647937.5625,-950.1305541992188
59,400,0,-0.01487167272716761,-0.001957892905920744,9.501305024280579e-34,-84203.6875,-11085.625,-1900.261108398438
60,400,646.1046752929688,-0.01487167272716761,-0.001957892905920744,-9.512696299224016e-34,-95475.96875,-12546.87109375,1902.539306640625
61,400,0,-0.01448888704180717,-0.003882285673171282,-9.501305024280579e-34,-82036.34375,-21981.572265625,1900.261108398438
62,400,646.1046752929688,-0.01448888704180717,-0.003882285673171282,9.512696299224016e-34,-93010.4296875,-24922.068359375,-1902.539306640625
63,400,0,-0.01448888704180717,-0.003882285673171282,9.501305024280579e-34,-82036.34375,-21981.572265625,-1900.261108398438
