node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
1,300,0,-0,-0,-0,0,0,0
2,300,-612.5,-6.008718637116623e-33,-1.240337190607537e-33,-0,6008.71923828125,1240.337280273438,0
3,300,-1225,-1.027895827118386e-32,-5.798232047264492e-33,-0,10278.9599609375,5798.232421875,0
4,300,0,-0,-0,-0,0,0,0
5,300,0,-0,-0,0,0,0,0
6,300,-612.5,-6.008718637116623e-33,-1.240337190607537e-33,-0,6008.71923828125,1240.337280273438,0
7,300,-1225,-1.027895827118386e-32,-5.798232047264492e-33,-0,10278.9599609375,5798.232421875,0
8,300,0,-0,-0,0,0,0,0
9,300,-1225,-5.798232047264492e-33,-1.027895827118386e-32,0,5798.232421875,10278.9599609375,0
10,300,0,-0,-0,-0,0,0,0
11,300,-1225,-5.798232047264492e-33,-1.027895827118386e-32,-0,5798.232421875,10278.9599609375,0
12,300,0,-0,-0,0,0,0,0
13,300,-612.5,-1.240337190607537e-33,-6.008718637116623e-33,0,1240.337280273438,6008.71923828125,0
14,300,0,-0,-0,-0,0,0,0
15,300,-612.5,-1.240337190607537e-33,-6.008718637116623e-33,-0,1240.337280273438,6008.71923828125,0
16,300,0,-0,-0,0,0,0,0
17,400,612.5,-0.01499999966472387,1.233297816156035e-33,0,-352908.40625,1293199.875,-6753.12890625
18,400,0,-0.01499999966472387,0,0,-278891.4375,1041114.5625,6726.07080078125
19,400,0,-0.0129903806373477,-0.007499999832361937,-6.726070676861647e-33,-483054.125,-278891.4375,13452.1416015625
20,400,1225,-0.0129903806373477,-0.007499999832361937,6.753129087449638e-33,-611173.3125,-352721.96875,-13506.2578125
21,400,612.5,-0.01499999966472387,1.233297816156035e-33,0,-352908.40625,1293199.875,6753.12890625
22,400,0,-0.01499999966472387,0,-0,-278891.4375,1041114.5625,-6726.07080078125
23,400,0,-0.0129903806373477,-0.007499999832361937,6.726070676861647e-33,-483054.125,-278891.4375,-13452.1416015625
24,400,1225,-0.0129903806373477,-0.007499999832361937,-6.753129087449638e-33,-611173.3125,-352721.96875,13506.2578125
25,400,0,-0.007499999832361937,-0.0129903806373477,-6.726070676861647e-33,-278891.4375,-483054.125,13452.1416015625
26,400,1225,-0.007499999832361937,-0.0129903806373477,6.753129087449638e-33,-352721.96875,-611173.3125,-13506.2578125
27,400,0,-0.007499999832361937,-0.0129903806373477,6.726070676861647e-33,-278891.4375,-483054.125,-13452.1416015625
28,400,1225,-0.007499999832361937,-0.0129903806373477,-6.753129087449638e-33,-352721.96875,-611173.3125,13506.2578125
29,400,0,-9.184851187593606e-19,-0.01499999966472387,0,1041114.5625,-278891.4375,6726.07080078125
30,400,612.5,-9.184851187593606e-19,-0.01499999966472387,-0,1293199.875,-352908.40625,-6753.12890625
31,400,0,-9.184851187593606e-19,-0.01499999966472387,-0,1041114.5625,-278891.4375,-6726.07080078125
32,400,612.5,-9.184851187593606e-19,-0.01499999966472387,0,1293199.875,-352908.40625,6753.12890625
