increment,time_s,node,x_m,y_m,z_m,opening_m,pressure_pa,slip1_m,slip2_m,normal_force1_n,normal_force2_n,normal_force3_n,shear_force1_n,shear_force2_n,shear_force3_n,contact_heat_flux_w,shear_traction1_pa,shear_traction2_pa,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,state
1,0.01999999955296516,13,1.000059341190428,1.53928476154184e-07,1.539284761541829e-07,5.932459474037679e-05,0,0,3.70074341541541e-21,0,0,0,0,0,0,0.001150059065935238,0,0,0,0,0.9999999999999999,0,-0.9999999999999999,-1.283953691532227e-34,0
1,0.01999999955296516,16,1.000059341190428,0.9999998460715238,1.539284761541823e-07,5.932459474042613e-05,0,0,3.700743415412671e-21,0,0,0,0,0,0,0.001150059065935238,0,0,0,0,0.9999999999999999,0,-0.9999999999999999,-1.283953691532227e-34,0
1,0.01999999955296516,19,1.000059341190428,1.539284761541857e-07,0.9999998460715238,5.932459474030277e-05,0,0,1.387778780780436e-21,0,0,0,0,0,0,0.001150059068777409,0,0,0,0,0.9999999999999999,0,-0.9999999999999999,-1.198356778763412e-33,0
1,0.01999999955296516,22,1.000059341190428,0.9999998460715238,0.9999998460715238,5.932459474037679e-05,0,0,1.387778780781292e-21,0,0,0,0,0,0,0.001150059065935238,0,0,0,0,0.9999999999999999,0,-0.9999999999999999,-1.198356778763412e-33,0
2,0.03999999910593033,13,1.0000186568363,3.041868489781769e-07,3.041868489781852e-07,1.864023376600224e-05,0,0,3.70074341541541e-21,0,0,0,0,0,0,0.004482470637867664,0,0,0,0,1,0,-1,1.02733044342613e-33,0
2,0.03999999910593033,16,1.0000186568363,0.9999996958131511,3.041868489781787e-07,1.864023376602692e-05,0,0,3.700743415412671e-21,0,0,0,0,0,0,0.004482470637867664,0,0,0,0,1,0,-1,1.02733044342613e-33,0
2,0.03999999910593033,19,1.0000186568363,3.041868489781824e-07,0.9999996958131511,1.864023376605159e-05,0,0,1.387778780780436e-21,0,0,0,0,0,0,0.004482470637867664,0,0,0,0,0.9999999999999999,-1.850372833426757e-17,-0.9999999999999999,0,0
2,0.03999999910593033,22,1.0000186568363,0.9999996958131511,0.9999996958131511,1.864023376610093e-05,0,0,1.387778780781292e-21,0,0,0,0,0,0,0.004482470640709835,0,0,0,0,0.9999999999999999,-1.850372833426757e-17,-0.9999999999999999,0,0
3,0.05999999865889549,13,0.9999893170067791,-1.163010050571913e-06,-1.163010050586351e-06,-1.184341241337409e-06,1184.34124136097,-9.999568274070833e-08,9.999568272220838e-08,296.0866877426116,-1.077400654541994e-14,2.304944040036792e-14,-4.34690494630611e-19,0.0001480369524023231,0.0001480369523878581,0.01116236767040833,-0.0005921450548656279,0.0005921450549234873,-7.401469614867273e-17,4.625918509292045e-18,1,-3.700734807433637e-17,-1,4.625918509292044e-18,1
3,0.05999999865889549,16,0.999989317006779,1.00000116301005,-1.163010050567825e-06,-1.184341241312737e-06,1184.341241359626,-9.999568272991452e-08,-9.999568273916264e-08,296.0866877422754,-1.07740065454069e-14,9.822708940030374e-15,-2.033253372637501e-19,-0.0001480369525135067,0.0001480369523750576,0.01116236767622597,-0.0005921450548144261,-0.00059214505536822,-3.700734807433636e-17,0,1,-3.700734807433636e-17,-1,-1.369546997081523e-33,1
3,0.05999999865889549,19,0.999989317006779,-1.163010050557116e-06,1.00000116301005,-1.184341241349745e-06,1184.341241359156,9.999568282551679e-08,9.999568272529037e-08,296.0866877421579,-1.524977834904074e-14,2.304944040032626e-14,6.917562828764652e-20,0.0001480369523729141,-0.0001480369526460471,0.01116236767622577,0.000592145055898379,0.0005921450548058519,-7.401469614867273e-17,4.625918509292045e-18,1,-5.088510360221251e-17,-1,4.625918509292043e-18,1
3,0.05999999865889549,22,0.9999893170067791,1.00000116301005,1.00000116301005,-1.184341241263394e-06,1184.341241361266,9.99956828255168e-08,-9.999568282551506e-08,296.0866877426855,-1.524977834907417e-14,9.822708940037642e-15,5.68840100209138e-19,-0.0001480369526090947,-0.0001480369526509536,0.01116236767622744,0.0005921450559180048,-0.00059214505575057,-3.700734807433636e-17,0,1,-5.08851036022125e-17,-1,-2.739093994163045e-33,1
