increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.01999999955296516,1,1,0.1056624327025306,0.2113248654050814,0.2113248654050814,300,-3.159603811919709e-07,5.495603971894525e-14,1.615374500829603e-13,3.066256525440604e-05,0.0001192717125836315,0.0001192717125836315,-4.599384788185525e-05,-4.599384788185525e-05,-5.620633949699709e-21,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010799482702303e-13,6.440842899081751e-13,6.440842899081752e-13,-9.812020881462452e-13,-9.812020881462452e-13,-1.199068575935938e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006962
1,0.01999999955296516,1,2,0.3943375672971765,0.2113248654047981,0.2113248654047981,300.000000010532,-3.159602995939063e-07,2.677025268155603e-13,-5.204170427985232e-14,-3.066256525440613e-05,0.0001499342778368562,0.0001499342778368562,-4.599384788142898e-05,-4.5993847881429e-05,-2.484911851424378e-20,-9.129769287735304e-13,1.013154288932857e-12,1.013154288932856e-12,-9.811868305555085e-13,-9.811868305555091e-13,-7.048667909583987e-17,-9.552146737004304e-13,9.71151652623275e-13,9.71151652623275e-13,-9.812020881457632e-13,-9.812020881457636e-13,-5.301145283085199e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,1,3,0.1056624327025306,0.7886751345949188,0.2113248654050814,300,-3.159604577973596e-07,5.495603971894525e-14,-5.995204332975845e-14,3.066256525440614e-05,0.0001192717125836315,0.0001192717125836315,4.599384788185523e-05,-4.599384788185523e-05,-1.183291357831518e-21,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010799482702292e-13,6.440842899081745e-13,6.440842899081746e-13,9.812020881462448e-13,-9.812020881462448e-13,-2.524354896707238e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006962
1,0.01999999955296516,1,4,0.3943375672971765,0.788675134595202,0.2113248654047981,300.000000010532,-3.159603478886078e-07,2.677025268155603e-13,7.677192215363814e-13,-3.066256525440599e-05,0.0001499342778368562,0.0001499342778368562,4.599384788142901e-05,-4.599384788142901e-05,-1.419949629385359e-20,-9.129769287735304e-13,1.013154288932856e-12,1.013154288932856e-12,9.811868305555089e-13,-9.811868305555083e-13,7.048667909583987e-17,-9.552146737004292e-13,9.711516526232746e-13,9.711516526232746e-13,9.81202088145764e-13,-9.812020881457638e-13,-3.029225876048685e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006961
1,0.01999999955296516,1,5,0.1056624327025306,0.2113248654050813,0.7886751345949186,300,-3.159602079971791e-07,-5.995204332975845e-14,1.615374500829603e-13,3.066256525440605e-05,0.0001192717125836315,0.0001192717125836315,-4.599384788185529e-05,4.599384788185523e-05,-8.874685183736383e-22,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010799482702301e-13,6.440842899081751e-13,6.44084289908175e-13,-9.812020881462463e-13,9.812020881462448e-13,-1.893266172530428e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006961
1,0.01999999955296516,1,6,0.3943375672971765,0.2113248654047981,0.788675134595202,300.000000010532,-3.159600980884273e-07,2.164934898041856e-13,-2.081668171194093e-14,-3.06625652544061e-05,0.0001499342778368562,0.0001499342778368562,-4.599384788142901e-05,4.5993847881429e-05,-5.916456789105662e-21,-9.129769287735304e-13,1.013154288932856e-12,1.013154288932856e-12,-9.811868305555089e-13,9.811868305555083e-13,7.048667909583987e-17,-9.552146737004302e-13,9.71151652623275e-13,9.71151652623275e-13,-9.812020881457638e-13,9.812020881457636e-13,-1.262177448353619e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,1,7,0.1056624327025306,0.7886751345949188,0.7886751345949188,300,-3.159600048263655e-07,-1.332267629550188e-13,2.930988785010413e-13,3.066256525440613e-05,0.0001192717125836315,0.0001192717125836315,4.59938478818552e-05,4.599384788185525e-05,3.549874073494553e-21,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010799482702293e-13,6.440842899081746e-13,6.440842899081746e-13,9.812020881462442e-13,9.812020881462452e-13,7.573064690121713e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,1,8,0.3943375672971765,0.7886751345952021,0.7886751345952019,300.000000010532,-3.159599781843406e-07,2.164934898041856e-13,-4.929390229387612e-13,-3.066256525440602e-05,0.0001499342778368562,0.0001499342778368562,4.599384788142901e-05,4.599384788142901e-05,4.733165431284529e-21,-9.129769287735306e-13,1.013154288932856e-12,1.013154288932856e-12,9.811868305555079e-13,9.811868305555087e-13,-7.048667909563792e-17,-9.552146737004294e-13,9.711516526232746e-13,9.711516526232746e-13,9.812020881457638e-13,9.81202088145764e-13,1.009741958682895e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,2,1,0.6056624327027325,0.21132486540453,0.21132486540453,300.000000010532,-2.66459377418829e-05,-1.687538398071239e-13,-2.753352501722615e-13,4.863688641701669e-05,-0.0001226002613806601,-0.0001226002613806601,-7.295532965256757e-05,-7.295532965256753e-05,-2.129924444078038e-20,4.614398267017351e-12,2.787947393393742e-12,2.787947393393739e-12,-1.556343401788185e-12,-1.556343401788186e-12,-8.93320821324581e-17,9.774419399267983e-13,-8.490876365977849e-13,-8.490876365977853e-13,-1.556380365935101e-12,-1.5563803659351e-12,-4.543838814073028e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063695
1,0.01999999955296516,2,2,0.8943375672987297,0.2113248654040807,0.2113248654040807,300.0000008987299,-2.664593761233893e-05,-3.974301979006276e-13,-2.329578658157454e-15,-4.863688641708746e-05,-7.396337489086359e-05,-7.396337489086359e-05,-7.29553295985118e-05,-7.295532959851177e-05,-2.958228392363254e-22,3.576694496126008e-12,3.306688256538099e-12,3.306688256538099e-12,0,0,0,-6.014497069674375e-14,-3.302941812860151e-13,-3.302941812860151e-13,-1.55638036593389e-12,-1.556380365933889e-12,-6.310887241768094e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063692
1,0.01999999955296516,2,3,0.6056624327027323,0.78867513459547,0.21132486540453,300.000000010532,-2.664593783536015e-05,-1.687538398071239e-13,-2.592664719479569e-13,4.863688641701679e-05,-0.0001226002613806602,-0.0001226002613806602,7.295532965256757e-05,-7.295532965256754e-05,0,4.614398267017351e-12,2.787947393393742e-12,2.787947393393739e-12,1.556343401788185e-12,-1.556343401788186e-12,8.933208213205421e-17,9.774419399267999e-13,-8.490876365977861e-13,-8.490876365977861e-13,1.556380365935101e-12,-1.556380365935101e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063692
1,0.01999999955296516,2,4,0.8943375672987297,0.7886751345959193,0.2113248654040807,300.0000008987299,-2.664593718290111e-05,-1.089109891179604e-13,-7.716049018896675e-13,-4.863688641708726e-05,-7.396337489086355e-05,-7.396337489086362e-05,7.295532959851182e-05,-7.295532959851181e-05,7.987216659380787e-21,3.576694496126008e-12,3.306688256538099e-12,3.306688256538099e-12,0,0,0,-6.014497069674213e-14,-3.302941812860151e-13,-3.302941812860159e-13,1.55638036593389e-12,-1.55638036593389e-12,1.703939555277385e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063691
1,0.01999999955296516,2,5,0.6056624327027323,0.21132486540453,0.7886751345954701,300.000000010532,-2.66459378719975e-05,-2.592664719479569e-13,-4.884980709025366e-13,4.863688641701677e-05,-0.0001226002613806603,-0.0001226002613806603,-7.295532965256758e-05,7.295532965256758e-05,-3.549874073463397e-21,4.614398267017352e-12,2.78794739339374e-12,2.787947393393742e-12,-1.556343401788186e-12,1.556343401788185e-12,8.9332082132862e-17,9.774419399267999e-13,-8.490876365977861e-13,-8.490876365977865e-13,-1.556380365935101e-12,1.556380365935102e-12,-7.573064690121713e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063693
1,0.01999999955296516,2,6,0.8943375672987297,0.2113248654040807,0.7886751345959192,300.0000008987299,-2.664593764586411e-05,8.104638178875606e-14,1.438035270861744e-13,-4.863688641708721e-05,-7.396337489086349e-05,-7.396337489086349e-05,-7.295532959851182e-05,7.295532959851181e-05,4.733165427781206e-21,3.576694496126008e-12,3.306688256538099e-12,3.306688256538099e-12,0,0,0,-6.014497069674213e-14,-3.302941812860151e-13,-3.302941812860151e-13,-1.55638036593389e-12,1.55638036593389e-12,1.009741958682895e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063692
1,0.01999999955296516,2,7,0.6056624327027323,0.7886751345954701,0.7886751345954701,300.000000010532,-2.664593703149961e-05,9.37844498690219e-14,1.670591695125933e-13,4.863688641701674e-05,-0.0001226002613806602,-0.0001226002613806602,7.295532965256755e-05,7.295532965256758e-05,2.366582715642265e-20,4.614398267017352e-12,2.78794739339374e-12,2.787947393393742e-12,1.556343401788186e-12,1.556343401788185e-12,-8.9332082132862e-17,9.774419399267991e-13,-8.490876365977857e-13,-8.490876365977857e-13,1.556380365935101e-12,1.556380365935102e-12,5.048709793414476e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063691
1,0.01999999955296516,2,8,0.8943375672987296,0.7886751345959193,0.7886751345959193,300.0000008987299,-2.664593726832952e-05,-4.385370859821033e-14,-1.687537989851767e-13,-4.863688641708721e-05,-7.396337489086349e-05,-7.396337489086349e-05,7.295532959851181e-05,7.295532959851181e-05,2.011595306807013e-20,3.576694496126008e-12,3.306688256538099e-12,3.306688256538099e-12,0,0,0,-6.014497069674213e-14,-3.302941812860151e-13,-3.302941812860151e-13,1.55638036593389e-12,1.55638036593389e-12,4.291403324402304e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063691
