increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,-2.369845400466534e-53,8.939439971473282e-46,8.939439971154664e-46,-7.899005195642415e-08,0,-9.080294268416398e-06,-9.080294268416396e-06
1,0.01999999955296516,2,300.000000010532,-2.93009673835241e-13,-8.497459345808836e-13,-8.497459345808835e-13,0,0,0,0
1,0.01999999955296516,3,300.0000008987299,1.754838424953527e-12,-2.197610869436283e-12,-2.197610869436282e-12,0,0,0,0
1,0.01999999955296516,4,300,-2.36666416246644e-53,-8.939439971371324e-46,8.939439971027217e-46,-7.899007213908758e-08,0,9.0802942684164e-06,-9.0802942684164e-06
1,0.01999999955296516,5,300.000000010532,-2.930096738352396e-13,8.497459345808834e-13,-8.497459345808836e-13,0,0,0,0
1,0.01999999955296516,6,300.0000008987299,1.754838424953529e-12,2.197610869436281e-12,-2.197610869436281e-12,0,0,0,0
1,0.01999999955296516,7,300,-2.360667264982898e-53,8.939439971167409e-46,-8.939439971626219e-46,-7.899005748193922e-08,0,-9.080294268416393e-06,9.080294268416403e-06
1,0.01999999955296516,8,300.000000010532,-2.930096738352407e-13,-8.497459345808843e-13,8.497459345808832e-13,0,0,0,0
1,0.01999999955296516,9,300.0000008987299,1.754838424953528e-12,-2.197610869436283e-12,2.197610869436281e-12,0,0,0,0
1,0.01999999955296516,10,300,-2.357565519259453e-53,-8.939439971371324e-46,-8.939439971664453e-46,-7.899004036910574e-08,0,9.080294268416405e-06,9.080294268416395e-06
1,0.01999999955296516,11,300.000000010532,-2.930096738352396e-13,8.497459345808829e-13,8.497459345808837e-13,0,0,0,0
1,0.01999999955296516,12,300.0000008987299,1.754838424953528e-12,2.197610869436281e-12,2.197610869436282e-12,0,0,0,0
1,0.01999999955296516,13,300.0000238999113,-4.067540350468751e-05,1.53928476154184e-07,1.539284761541829e-07,0,0,0,0
1,0.01999999955296516,14,300.001575145998,-4.076894869663199e-05,-3.895234891498847e-07,-3.895234891498855e-07,0,0,0,0
1,0.01999999955296516,15,300.2,-4e-05,-4.635919177170727e-41,-4.635919191603657e-41,63.50475162791552,2.328400444673306e-09,13.95425556745091,13.95425556745089
1,0.01999999955296516,16,300.0000238999113,-4.067540350468751e-05,-1.539284761541848e-07,1.539284761541823e-07,0,0,0,0
1,0.01999999955296516,17,300.001575145998,-4.076894869663199e-05,3.895234891498827e-07,-3.895234891498867e-07,0,0,0,0
1,0.01999999955296516,18,300.2,-4e-05,4.635919145364827e-41,-4.63591916861788e-41,63.5047516279155,2.328390813488568e-09,-13.95425556745086,13.95425556745094
1,0.01999999955296516,19,300.0000238999113,-4.067540350468751e-05,1.539284761541857e-07,-1.539284761541863e-07,0,0,0,0
1,0.01999999955296516,20,300.001575145998,-4.076894869663199e-05,-3.895234891498825e-07,3.895234891498834e-07,0,0,0,0
1,0.01999999955296516,21,300.2,-4e-05,-4.635919192940039e-41,4.635919153917674e-41,63.50475162791554,2.328419373975876e-09,13.95425556745092,-13.95425556745086
1,0.01999999955296516,22,300.0000238999113,-4.067540350468751e-05,-1.53928476154183e-07,-1.539284761541878e-07,0,0,0,0
1,0.01999999955296516,23,300.001575145998,-4.076894869663199e-05,3.895234891498836e-07,3.895234891498802e-07,0,0,0,0
1,0.01999999955296516,24,300.2,-4e-05,4.635919169152433e-41,4.635919170488815e-41,63.50475162791552,2.328488180047827e-09,-13.95425556745085,-13.95425556745083
2,0.03999999910593033,1,300,-1.992320876324174e-52,-7.000626967740709e-48,-7.000626948623606e-48,-4.621906632056096e-07,0,-4.369872009891628e-05,-4.369872009891626e-05
2,0.03999999910593033,2,300.0000000616254,-1.401458432305843e-12,-4.167182627902536e-12,-4.167182627902541e-12,0,0,0,0
2,0.03999999910593033,3,300.0000043810362,8.600719365230946e-12,-1.073155219660964e-11,-1.073155219660965e-11,0,0,0,0
2,0.03999999910593033,4,300,-1.993030549651674e-52,7.00062693205545e-48,-7.000626859410459e-48,-4.621906847689152e-07,0,4.369872009891625e-05,-4.369872009891625e-05
2,0.03999999910593033,5,300.0000000616254,-1.401458432305844e-12,4.167182627902541e-12,-4.167182627902535e-12,0,0,0,0
2,0.03999999910593033,6,300.0000043810362,8.600719365230944e-12,1.073155219660965e-11,-1.073155219660964e-11,0,0,0,0
2,0.03999999910593033,7,300,-1.993566297669134e-52,-7.000626957544921e-48,7.000626957544921e-48,-4.621906938406379e-07,0,-4.369872009891623e-05,4.369872009891623e-05
2,0.03999999910593033,8,300.0000000616254,-1.401458432305841e-12,-4.16718262790254e-12,4.167182627902538e-12,0,0,0,0
2,0.03999999910593033,9,300.0000043810362,8.600719365230952e-12,-1.073155219660964e-11,1.073155219660964e-11,0,0,0,0
2,0.03999999910593033,10,300,-1.994177996681968e-52,7.000626891272297e-48,7.000626999602547e-48,-4.621906453638642e-07,0,4.369872009891628e-05,4.369872009891625e-05
2,0.03999999910593033,11,300.0000000616254,-1.401458432305843e-12,4.167182627902535e-12,4.167182627902538e-12,0,0,0,0
2,0.03999999910593033,12,300.0000043810362,8.600719365230946e-12,1.073155219660964e-11,1.073155219660964e-11,0,0,0,0
2,0.03999999910593033,13,300.000094030449,-8.135975763317468e-05,3.041868489781769e-07,3.041868489781852e-07,0,0,0,0
2,0.03999999910593033,14,300.0047013010773,-8.154305461878144e-05,-7.838290025057161e-07,-7.838290025057162e-07,0,0,0,0
2,0.03999999910593033,15,300.4,-8.000000000000001e-05,-1.321602879887036e-41,-1.32160288121611e-41,64.5019470281684,-7.66258168027889e-11,27.99564225855563,27.99564225855559
2,0.03999999910593033,16,300.000094030449,-8.135975763317468e-05,-3.041868489781772e-07,3.041868489781787e-07,0,0,0,0
2,0.03999999910593033,17,300.0047013010773,-8.154305461878144e-05,7.838290025057161e-07,-7.838290025057166e-07,0,0,0,0
