increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,2.646516561063581e-39,1.119082876571325e-39,-5.558049470995829e-40,-1.006494131132463e-05,3589.613080662209,459.9428281073402,460.1335587434914
1,0.01999999955296516,2,300.0000013417895,-5.467199846904801e-05,-2.028593828591924e-05,-2.030644016254453e-05,0,0,0,0
1,0.01999999955296516,3,300.0001144753906,-0.0001153254045162957,-1.531307088892482e-05,-1.536278844707705e-05,0,0,0,0
1,0.01999999955296516,4,300,1.611893610019072e-39,-6.538731642146472e-40,2.137330670617227e-40,-1.006494654464423e-05,3590.231627765282,-460.2225311514709,460.0318006336022
1,0.01999999955296516,5,300.000001341793,-5.47125335468342e-05,2.031813878031601e-05,-2.029763691524695e-05,0,0,0,0
1,0.01999999955296516,6,300.0001144771834,-0.0001153849486220734,1.540724335781719e-05,-1.53575257230504e-05,0,0,0,0
1,0.01999999955296516,7,300,2.955529633479139e-39,2.012477525232368e-39,-2.411302361419487e-39,-1.006494121898385e-05,3589.613080584129,459.9428281621081,-460.133558667838
1,0.01999999955296516,8,300.0000013417895,-5.467199845341667e-05,-2.02859382922573e-05,2.030644015836713e-05,0,0,0,0
1,0.01999999955296516,9,300.0001144753905,-0.000115325404486678,-1.531307088070102e-05,1.536278842043076e-05,0,0,0,0
1,0.01999999955296516,10,300,3.02560691737688e-39,1.643118637371696e-40,-1.551888876273206e-39,-1.006494636882941e-05,3590.231627671709,-460.222531106906,-460.0318004541264
1,0.01999999955296516,11,300.000001341793,-5.471253355720185e-05,2.031813878206707e-05,2.029763690590791e-05,0,0,0,0
1,0.01999999955296516,12,300.0001144771833,-0.0001153849486373527,1.540724335737986e-05,1.53575257033901e-05,0,0,0,0
1,0.01999999955296516,13,300.0023905743813,-0.0001296848335092618,-2.539150471991996e-07,-4.200553320747723e-06,0,0,0,0
1,0.01999999955296516,14,300.1590766737942,-0.000212039701331061,-6.12849757682932e-05,-6.526240774660682e-05,0,0,0,0
1,0.01999999955296516,15,320,-0.0002,4e-06,3.173971614761954e-40,6475.695834623628,-3590.201148909629,1885.653052768363,1885.468912311933
1,0.01999999955296516,16,300.0023905744163,-0.0001297444161286375,8.151652409552809e-06,-4.205014165223861e-06,0,0,0,0
1,0.01999999955296516,17,300.1590766726912,-0.0002120829515122777,6.924866850180107e-05,-6.527123653229336e-05,0,0,0,0
1,0.01999999955296516,18,320,-0.0002,4e-06,-9.658567463120156e-40,6475.695494514926,-3589.643557359126,-1885.373349764628,1885.557490322218
1,0.01999999955296516,19,300.0023905743817,-0.0001296848334739847,-2.539150768825263e-07,4.200553326670198e-06,0,0,0,0
1,0.01999999955296516,20,300.1590766738846,-0.0002120397013214588,-6.128497576918278e-05,6.526240773946823e-05,0,0,0,0
1,0.01999999955296516,21,320,-0.0002,4e-06,2.118998675452458e-39,6475.695834623624,-3590.201148840951,1885.653052735047,-1885.468912162329
1,0.01999999955296516,22,300.0023905744148,-0.0001297444161479864,8.151652419296936e-06,4.205014154108645e-06,0,0,0,0
1,0.01999999955296516,23,300.1590766726906,-0.000212082951526354,6.924866850295029e-05,6.52712365255313e-05,0,0,0,0
1,0.01999999955296516,24,320,-0.0002,4e-06,8.298039529288301e-40,6475.69549451482,-3589.64355727569,-1885.3733498067,-1885.55749024875
