case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
BASE,1,360,6.45497456e-27,5.474974559999999e-27,5.43987712e-27,-142.0772887786092,-6811198441.068876,-5944485610.697646,-5865310880.984423
BASE,2,410,0.04800000000000001,-0.008,0.012,-66.39501915408621,6045070284.343933,-5290890596.747858,-5677706046.011765
BASE,3,445,0.068,0.036,-0.016,21.00298676993944,6728532221.174256,5797419635.473593,-5773397224.898905
BASE,4,385,-0.016,0.04399999999999999,0.008,-98.03990339770624,-6216788445.804361,5098314837.705553,-5772191832.122587
BASE,5,470,0.012,-0.02,0.056,44.87952761045825,-6598360998.844698,-5791884817.328156,5559821800.846501
BASE,6,430,0.04,0.016,0.04,25.05443739226402,6264347322.51061,-5142731971.490073,5732498773.348142
BASE,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188174692093,6783104134.636327,5984729327.167261,5906806191.508651
BASE,8,455,-0.032,0.028,0.04399999999999999,66.75644208853072,-6194706076.947187,5289529195.917328,5889479218.314384
D00_PLUS,1,360.001,6.45497441e-27,5.474974409999998e-27,5.439876969999999e-27,-142.0758757036713,-6811198279.826847,-5944485444.90323,-5865310716.796359
D00_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39501623981363,6045070121.251758,-5290890429.682404,-5677705883.435578
D00_PLUS,3,445,0.068,0.036,-0.016,21.00263770568748,6728532058.929439,5797419469.044052,-5773397055.232988
D00_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990962563533,-6216788281.668373,5098314671.266543,-5772191665.683578
D00_PLUS,5,470,0.012,-0.02,0.056,44.87952958604141,-6598360839.90332,-5791884651.323871,5559821636.962984
D00_PLUS,6,430,0.04,0.016,0.04,25.05408947088326,6264347156.70515,-5142731803.590673,5732498607.944269
D00_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8184781643215,6783103974.651135,5984729160.53653,5906806026.376973
D00_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75606664218664,-6194705910.13894,5289529028.653049,5889479049.864279
D00_MINUS,1,359.999,6.45497471e-27,5.474974709999998e-27,5.43987727e-27,-142.078701853547,-6811198602.310905,-5944485776.492059,-5865311045.172485
D00_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39502206835863,6045070447.436109,-5290890763.813308,-5677706208.587947
D00_MINUS,3,445,0.068,0.036,-0.016,21.0033358341917,6728532383.419071,5797419801.90313,-5773397394.564815
D00_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03989716977691,-6216788609.940351,5098315004.144556,-5772191998.561595
D00_MINUS,5,470,0.012,-0.02,0.056,44.87952563487496,-6598361157.786077,-5791884983.332434,5559821964.730014
D00_MINUS,6,430,0.04,0.016,0.04,25.0547853136446,6264347488.31607,-5142732139.38947,5732498938.752017
D00_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8191567740968,6783104294.621519,5984729493.797986,5906806356.640327
D00_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.7568175348746,-6194706243.755436,5289529363.181601,5889479386.764483
D01_PLUS,1,360,6.45497441e-27,5.474974409999999e-27,5.43987697e-27,-142.0772858643367,-6811198279.898121,-5944485444.976518,-5865310716.868936
D01_PLUS,2,410.001,0.04800000000000001,-0.008,0.012,-66.39361533213732,6045070121.323849,-5290890429.756248,-5677705883.507435
D01_PLUS,3,445,0.068,0.036,-0.016,21.00297683287353,6728532059.001156,5797419469.11762,-5773397055.307983
D01_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.04024753923106,-6216788281.740925,5098314671.340112,-5772191665.757148
D01_PLUS,5,470,0.012,-0.02,0.056,44.87917916936743,-6598360839.973577,-5791884651.397249,5559821637.035418
D01_PLUS,6,430,0.04,0.016,0.04,25.05445586079214,6264347156.778439,-5142731803.664888,5732498608.017384
D01_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8184600171523,6783103974.721851,5984729160.610185,5906806026.449965
D01_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75607685551967,-6194705910.212675,5289529028.726986,5889479049.938736
