stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,8.496479268436488e-36,-4.130998064974911e-36,-4.130998091043828e-36,-3.999453764082858e-15,-75000000.00000629,3.468866592973683e-06,3.467411876243843e-06
1,0.1,2,600,0.001774282498484158,-4.130998064910989e-36,-4.130998091075898e-36,0,0,3.46473848276772e-06,3.466193199497559e-06
1,0.1,3,600,0.001774282498484149,-0.000585831551579485,-4.130998091271185e-36,0,0,0,3.466193199497559e-06
1,0.1,4,600,8.496479268436488e-36,-0.0005858315515794957,-4.130998091246295e-36,-8.871380786383367e-16,-75000000.0000063,0,3.467411876243843e-06
1,0.1,5,600,8.496479268436488e-36,-4.130998065183753e-36,-0.000585831551579493,-8.871380786383365e-16,-75000000.00000629,3.468866592973683e-06,0
1,0.1,6,600,0.001774282498484155,-4.130998065119842e-36,-0.0005858315515794886,0,0,3.46473848276772e-06,0
1,0.1,7,600,0.001774282498484143,-0.0005858315515794851,-0.0005858315515794887,0,0,0,0
1,0.1,8,600,8.496479268436488e-36,-0.0005858315515794957,-0.000585831551579493,2.225177606806185e-15,-75000000.00000629,0,0
2,0.2,1,600,7.947092563050136e-33,-5.27870494678756e-34,-5.278704946690918e-34,9.731146455192568e-15,-74999999.74963287,-0.1216784913345655,-0.1216784930569294
2,0.2,2,600,0.002046380659267767,-5.278704946793928e-34,-5.278704946684233e-34,0,0,-0.1216784930136837,-0.1216784912618762
2,0.2,3,600,0.002046380659267771,-0.0007214509928109152,-5.278704946672172e-34,0,0,0,-0.1216784916840272
2,0.2,4,600,7.947092563048735e-33,-0.0007214509928109229,-5.278704946671923e-34,2.707354716127922e-14,-74999999.74963287,0,-0.1216784934790805
2,0.2,5,600,7.947092563045932e-33,-5.278704946775636e-34,-0.0007214509928109168,-2.984510130997953e-14,-74999999.74963287,-0.1216784917272729,0
2,0.2,6,600,0.002046380659267782,-5.278704946796017e-34,-0.0007214509928109208,0,0,-0.1216784934063912,0
2,0.2,7,600,0.002046380659267763,-0.0007214509928109153,-0.0007214509928109208,0,0,0,0
2,0.2,8,600,7.94709256304313e-33,-0.0007214509928109231,-0.0007214509928109168,-1.250270060389288e-14,-74999999.74963287,0,0
3,0.3,1,600,7.956802532821203e-33,-5.282578600812895e-34,-5.282578600933454e-34,2.012260646719526e-14,-74999999.74896319,-0.1220525552828217,-0.1220525415015738
3,0.3,2,600,0.002318774761040964,-5.282578600826269e-34,-5.282578600947788e-34,0,0,-0.1220525552710917,-0.1220525392065171
3,0.3,3,600,0.002318774761040978,-0.0008571626076283906,-5.282578600935728e-34,0,0,0,-0.1220525391222372
3,0.3,4,600,7.956802532822605e-33,-0.0008571626076283917,-5.282578600949492e-34,1.478575750664352e-14,-74999999.74896319,0,-0.1220525414172939
3,0.3,5,600,7.956802532822605e-33,-5.282578600828997e-34,-0.0008571626076283873,-1.367743694963239e-14,-74999999.74896319,-0.1220525551985419,0
3,0.3,6,600,0.002318774761040987,-5.282578600828358e-34,-0.0008571626076283954,0,0,-0.1220525551868119,0
3,0.3,7,600,0.002318774761040971,-0.0008571626076283906,-0.0008571626076283954,0,0,0,0
3,0.3,8,600,7.956802532821203e-33,-0.0008571626076283918,-0.0008571626076283875,-1.901428591018412e-14,-74999999.74896319,0,0
4,0.4,1,600,7.966436539857453e-33,-5.285973976356163e-34,-5.285973976357612e-34,-2.255794254226844e-16,-74999999.74829967,-0.1224239379623323,-0.1224239389216151
4,0.4,2,600,0.002591465361128663,-5.285973976348518e-34,-5.285973976357933e-34,0,0,-0.1224239385212026,-0.1224239375619199
4,0.4,3,600,0.002591465361128679,-0.0009929665307933859,-5.285973976345873e-34,0,0,0,-0.1224239377162934
4,0.4,4,600,7.966436539858854e-33,-0.000992966530793388,-5.285973976359637e-34,8.864154325402611e-16,-74999999.74829967,0,-0.1224239390759886
4,0.4,5,600,7.966436539858854e-33,-5.285973976344239e-34,-0.0009929665307933854,8.864154325402612e-16,-74999999.74829967,-0.1224239381167059,0
4,0.4,6,600,0.002591465361128684,-5.285973976357613e-34,-0.0009929665307933887,0,0,-0.1224239386755762,0
4,0.4,7,600,0.002591465361128665,-0.0009929665307933861,-0.0009929665307933887,0,0,0,0
4,0.4,8,600,7.966436539860255e-33,-0.0009929665307933878,-0.0009929665307933857,1.998410290503207e-15,-74999999.74829967,0,0
5,0.5,1,600,7.976089761391746e-33,-5.289366852592536e-34,-5.289366852600992e-34,-8.660570255863692e-15,-74999999.74763393,-0.1227967363171657,-0.1227967478334757
5,0.5,2,600,0.002864453024866122,-5.289366852584891e-34,-5.289366852594306e-34,0,0,-0.1227967357863273,-0.1227967466800933
5,0.5,3,600,0.002864453024866137,-0.001128862900583861,-5.289366852596258e-34,0,0,0,-0.1227967472202438
5,0.5,4,600,7.976089761393148e-33,-0.00112886290058386,-5.289366852596009e-34,-3.544697152798479e-15,-74999999.74763393,0,-0.1227967483736262
5,0.5,5,600,7.976089761390345e-33,-5.289366852608638e-34,-0.001128862900583859,-3.544697152798479e-15,-74999999.74763393,-0.1227967368769292,0
5,0.5,6,600,0.002864453024866138,-5.289366852607999e-34,-0.001128862900583862,0,0,-0.1227967363460909,0
5,0.5,7,600,0.002864453024866126,-0.001128862900583861,-0.001128862900583862,0,0,0,0
5,0.5,8,600,7.976089761391746e-33,-0.001128862900583859,-0.001128862900583859,1.571175950266734e-15,-74999999.74763393,0,0
6,0.6000000000000001,1,600,7.985762254297183e-33,-5.292757206701868e-34,-5.292757206738349e-34,6.122032177521295e-15,-74999999.7469659,-0.1231709506543214,-0.1231709522402219
6,0.6000000000000001,2,600,0.003137738319130155,-5.292757206722249e-34,-5.292757206724657e-34,0,0,-0.1231709523900284,-0.1231709508237356
6,0.6000000000000001,3,600,0.00313773831913016,-0.001264851855598306,-5.292757206712597e-34,0,0,0,-0.1231709512476776
6,0.6000000000000001,4,600,7.985762254298585e-33,-0.001264851855598312,-5.292757206705341e-34,-9.966746389590472e-16,-74999999.7469659,0,-0.1231709526641639
6,0.6000000000000001,5,600,7.985762254298585e-33,-5.292757206724976e-34,-0.001264851855598307,-9.966746389590472e-16,-74999999.7469659,-0.1231709510978711,0
6,0.6000000000000001,6,600,0.00313773831913017,-5.292757206717331e-34,-0.001264851855598311,0,0,-0.1231709528335781,0
6,0.6000000000000001,7,600,0.003137738319130153,-0.001264851855598306,-0.001264851855598311,0,0,0,0
6,0.6000000000000001,8,600,7.985762254297183e-33,-0.001264851855598312,-0.001264851855598307,-8.115381455439389e-15,-74999999.7469659,0,0
7,0.7000000000000001,1,600,7.995454072533564e-33,-5.296145000842094e-34,-5.296145000857556e-34,-1.64663896099119e-14,-74999999.74629568,-0.1235465635644955,-0.1235465659360774
7,0.7000000000000001,2,600,0.003411321812344373,-5.296145000855468e-34,-5.296145000878896e-34,0,0,-0.1235465662366156,-0.1235465638454313
7,0.7000000000000001,3,600,0.003411321812344369,-0.001400933534756675,-5.296145000852822e-34,0,0,0,-0.1235465635805338
7,0.7000000000000001,4,600,7.995454072534966e-33,-0.001400933534756683,-5.296145000852574e-34,-1.379651033426901e-14,-74999999.74629568,0,-0.1235465656711798
7,0.7000000000000001,5,600,7.995454072533564e-33,-5.296145000851189e-34,-0.001400933534756677,1.468220193925521e-14,-74999999.74629568,-0.1235465632799956,0
7,0.7000000000000001,6,600,0.003411321812344381,-5.296145000857556e-34,-0.001400933534756681,0,0,-0.1235465659521156,0
7,0.7000000000000001,7,600,0.003411321812344369,-0.001400933534756675,-0.001400933534756681,0,0,0,0
7,0.7000000000000001,8,600,7.995454072533564e-33,-0.001400933534756683,-0.001400933534756677,1.73520812148981e-14,-74999999.74629568,0,0
8,0.8,1,600,8.005165270092918e-33,-5.299530195811889e-34,-5.299530195757286e-34,-1.082732656470765e-15,-74999999.74562314,-0.1239236046544201,-0.1239236066001309
8,0.8,2,600,0.003685204074484669,-5.299530195825263e-34,-5.29953019577162e-34,0,0,-0.1239236076313684,-0.1239236057444487
8,0.8,3,600,0.003685204074484669,-0.001537108077301362,-5.299530195780579e-34,0,0,0,-0.1239236052700778
8,0.8,4,600,8.005165270091517e-33,-0.001537108077301369,-5.299530195773323e-34,4.925315990758674e-15,-74999999.74562314,0,-0.12392360612576
8,0.8,5,600,8.005165270087313e-33,-5.299530195820984e-34,-0.001537108077301363,4.925315990758674e-15,-74999999.74562314,-0.1239236042388403,0
8,0.8,6,600,0.00368520407448468,-5.299530195806332e-34,-0.001537108077301367,0,0,-0.1239236072157886,0
8,0.8,7,600,0.003685204074484666,-0.001537108077301362,-0.001537108077301368,0,0,0,0
8,0.8,8,600,8.005165270091517e-33,-0.001537108077301369,-0.001537108077301364,1.093336463798811e-14,-74999999.74562314,0,0
9,0.9,1,600,8.014895901292377e-33,-5.302912752458974e-34,-5.302912752474436e-34,-1.187174094503209e-14,-74999999.74494828,-0.1243021068730463,-0.1243021075483171
9,0.9,2,600,0.003959385677084762,-5.302912752465342e-34,-5.30291275248877e-34,0,0,-0.1243021085683454,-0.1243021078930746
9,0.9,3,600,0.003959385677084762,-0.001673375622798232,-5.302912752469703e-34,0,0,0,-0.1243021079456057
9,0.9,4,600,8.014895901293778e-33,-0.001673375622798237,-5.302912752462448e-34,-1.053643656527752e-14,-74999999.74494828,0,-0.1243021076008483
9,0.9,5,600,8.014895901293778e-33,-5.302912752482083e-34,-0.001673375622798234,1.795005686948667e-14,-74999999.74494828,-0.1243021069255775,0
9,0.9,6,600,0.003959385677084769,-5.302912752474437e-34,-0.001673375622798235,0,0,-0.1243021086208765,0
9,0.9,7,600,0.003959385677084757,-0.001673375622798232,-0.001673375622798236,0,0,0,0
9,0.9,8,600,8.014895901292377e-33,-0.001673375622798238,-0.001673375622798234,1.928536124924124e-14,-74999999.74494828,0,0
10,1,1,600,8.024646020575188e-33,-5.306292632261656e-34,-5.306292632249091e-34,3.534508280649092e-15,-74999999.74427111,-0.1246820194361369,-0.1246820211055833
10,1,2,600,0.004233867193241702,-5.306292632268023e-34,-5.306292632263425e-34,0,0,-0.1246820214040666,-0.1246820197150339
10,1,3,600,0.0042338671932417,-0.001809736311137635,-5.306292632258371e-34,0,0,0,-0.1246820197355143
10,1,4,600,8.024646020573787e-33,-0.00180973631113764,-5.306292632265129e-34,-2.69776444470354e-15,-74999999.74427111,0,-0.1246820211260637
10,1,5,600,8.024646020576589e-33,-5.306292632263744e-34,-0.001809736311137637,1.154743035610248e-14,-74999999.74427111,-0.124682019437031,0
10,1,6,600,0.004233867193241708,-5.306292632270112e-34,-0.001809736311137639,0,0,-0.1246820214049607,0
10,1,7,600,0.004233867193241698,-0.001809736311137635,-0.001809736311137639,0,0,0,0
10,1,8,600,8.024646020577991e-33,-0.001809736311137641,-0.001809736311137637,5.315157630749844e-15,-74999999.74427111,0,0
