stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,-4.038159811260862e-34,-4.057584744691609e-34,-4.057584744663583e-34,1.555744486029561e-14,-50151812.85101934,-3.152508306289218e-05,-3.151795245006028e-05
1,0.1,2,600,0.0015,-4.05758474464957e-34,-4.057584744663583e-34,0,50151812.85101934,-3.152573716521423e-05,-3.151795245006028e-05
1,0.1,3,600,0.0015,-0.0005484599934465687,-4.057584744663583e-34,0,50151812.85101934,0,-3.151795245006028e-05
1,0.1,4,600,-4.038159811260862e-34,-0.0005484599934465686,-4.057584744691609e-34,1.44461663274157e-14,-50151812.85101934,0,-3.151795245006028e-05
1,0.1,5,600,-4.038159811246849e-34,-4.057584744677596e-34,-0.0005484599934465689,-1.400256411431013e-14,-50151812.85101934,-3.152508306289218e-05,0
1,0.1,6,600,0.0015,-4.057584744677596e-34,-0.0005484599934465689,0,50151812.85101934,-3.152573716521423e-05,0
1,0.1,7,600,0.0015,-0.0005484599934465686,-0.0005484599934465689,0,50151812.85101934,0,0
1,0.1,8,600,-4.038159811260862e-34,-0.0005484599934465686,-0.0005484599934465689,-1.511384264719004e-14,-50151812.85101934,0,0
2,0.2,1,600,-1.954221774499389e-34,-1.96508142621171e-34,-1.96508142621171e-34,-8.825861593912344e-15,-50333038.74167389,-3.274860103365706e-06,-3.274734348571697e-06
2,0.2,2,600,0.002,-1.965081426204703e-34,-1.965081426197697e-34,0,50333038.74167389,-3.274608593777688e-06,-3.274734348571697e-06
2,0.2,3,600,0.002,-0.0007970299290867136,-1.965081426197697e-34,0,50333038.74167389,0,-3.274734348571697e-06
2,0.2,4,600,-1.954221774492383e-34,-0.0007970299290867135,-1.965081426197697e-34,-3.935011586203349e-15,-50333038.74167389,0,-3.274734348571697e-06
2,0.2,5,600,-1.954221774485376e-34,-1.96508142621171e-34,-0.0007970299290867137,-3.935011586203349e-15,-50333038.74167389,-3.274860103365706e-06,0
2,0.2,6,600,0.002,-1.96508142621171e-34,-0.0007970299290867137,0,50333038.74167389,-3.274608593777688e-06,0
2,0.2,7,600,0.002,-0.0007970299290867135,-0.0007970299290867137,0,50333038.74167389,0,0
2,0.2,8,600,-1.95422177447837e-34,-0.0007970299290867135,-0.0007970299290867137,9.558384215056448e-16,-50333038.74167389,0,0
3,0.3,1,600,-1.9370652667011e-34,-1.949276314719652e-34,-1.94927631482475e-34,-2.449925115973303e-14,-50513462.95523899,-3.261069794648392e-06,-3.260992559070114e-06
3,0.3,2,600,0.0025,-1.949276314719652e-34,-1.949276314810737e-34,0,50513462.95523899,-3.261228750077759e-06,-3.261305985656037e-06
3,0.3,3,600,0.0025,-0.001045416160396007,-1.949276314831756e-34,0,50513462.95523899,0,-3.260304623375545e-06
3,0.3,4,600,-1.937065266694094e-34,-0.001045416160396007,-1.949276314838762e-34,-1.894007598232101e-14,-50513462.95523899,0,-3.259991196789622e-06
3,0.3,5,600,-1.9370652667011e-34,-1.949276314726659e-34,-0.001045416160396007,9.522900926028508e-15,-50513462.95523899,-3.2600684323679e-06,0
3,0.3,6,600,0.0025,-1.949276314719652e-34,-0.001045416160396007,0,50513462.95523899,-3.260227387797267e-06,0
3,0.3,7,600,0.0025,-0.001045416160396007,-0.001045416160396007,0,50513462.95523899,0,0
3,0.3,8,600,-1.9370652667011e-34,-0.001045416160396007,-0.001045416160396007,1.508207610344052e-14,-50513462.95523899,0,0
4,0.4,1,600,-1.919996592998211e-34,-1.933534406776958e-34,-1.933534406790971e-34,-1.35181260167971e-14,-50693084.26882765,-3.198260183699155e-06,-3.198044030074132e-06
4,0.4,2,600,0.003,-1.933534406776958e-34,-1.933534406790971e-34,0,50693084.26882765,-3.198021468639708e-06,-3.198237622264732e-06
4,0.4,3,600,0.003,-0.001293618927315571,-1.933534406762945e-34,0,50693084.26882765,0,-3.197910925656404e-06
4,0.4,4,600,-1.919996592977191e-34,-0.001293618927315571,-1.933534406769951e-34,-1.285085810905854e-14,-50693084.26882765,0,-3.197717333465805e-06
4,0.4,5,600,-1.919996592998211e-34,-1.933534406783964e-34,-0.001293618927315572,1.561923928778705e-14,-50693084.26882765,-3.197933487090828e-06,0
4,0.4,6,600,0.003,-1.933534406762945e-34,-0.001293618927315572,0,50693084.26882765,-3.197694772031381e-06,0
4,0.4,7,600,0.003,-0.001293618927315572,-0.001293618927315572,0,50693084.26882765,0,0
4,0.4,8,600,-1.919996592998211e-34,-0.001293618927315571,-0.001293618927315572,1.628650719552562e-14,-50693084.26882765,0,0
5,0.5,1,600,-1.903016246949059e-34,-1.917856386539576e-34,-1.917856386518557e-34,1.507206316045304e-14,-50871901.48835023,-3.191876845918396e-06,-3.191728452344042e-06
5,0.5,2,600,0.003500000000000001,-1.91785638651155e-34,-1.91785638653257e-34,0,50871901.48835023,-3.19169716244999e-06,-3.191845556024344e-06
5,0.5,3,600,0.003500000000000001,-0.001541638469268952,-1.917856386525563e-34,0,50871901.48835023,0,-3.19095883137794e-06
5,0.5,4,600,-1.90301624692804e-34,-0.001541638469268952,-1.917856386504544e-34,1.440462840912207e-14,-50871901.48835023,0,-3.190841727697638e-06
5,0.5,5,600,-1.903016246956066e-34,-1.91785638653257e-34,-0.001541638469268952,-1.407258764766588e-14,-50871901.48835023,-3.190990121271992e-06,0
5,0.5,6,600,0.003500000000000001,-1.91785638651155e-34,-0.001541638469268952,0,50871901.48835023,-3.190810437803586e-06,0
5,0.5,7,600,0.003500000000000001,-0.001541638469268952,-0.001541638469268953,0,50871901.48835023,0,0
5,0.5,8,600,-1.90301624692804e-34,-0.001541638469268952,-0.001541638469268952,-1.474002239899684e-14,-50871901.48835023,0,0
6,0.6000000000000001,1,600,-1.886124707027007e-34,-1.902242924661946e-34,-1.902242924753031e-34,6.005847526238008e-15,-51049913.44872406,-3.158349633193486e-06,-3.158388534304809e-06
6,0.6000000000000001,2,600,0.004,-1.902242924668953e-34,-1.902242924767044e-34,0,51049913.44872406,-3.158534813591649e-06,-3.158437151092084e-06
6,0.6000000000000001,3,600,0.004,-0.001789475025162268,-1.902242924767044e-34,0,51049913.44872406,0,-3.158570758713357e-06
6,0.6000000000000001,4,600,-1.886124707027007e-34,-0.001789475025162268,-1.902242924753031e-34,4.425012588218553e-16,-51049913.44872406,0,-3.158522141926082e-06
6,0.6000000000000001,5,600,-1.88612470702e-34,-1.902242924647933e-34,-0.001789475025162269,4.425012588218553e-16,-51049913.44872406,-3.158424479426517e-06,0
6,0.6000000000000001,6,600,0.004,-1.902242924661946e-34,-0.001789475025162269,0,51049913.44872406,-3.158609659824679e-06,0
6,0.6000000000000001,7,600,0.004,-0.001789475025162269,-0.001789475025162269,0,51049913.44872406,0,0
6,0.6000000000000001,8,600,-1.88612470702e-34,-0.001789475025162268,-0.001789475025162269,-5.120845008594297e-15,-51049913.44872406,0,0
7,0.7000000000000001,1,600,-1.869322434504475e-34,-1.886694676153009e-34,-1.886694676146002e-34,-1.479424326024992e-15,-51227119.01410565,-3.122353174759076e-06,-3.122294861705642e-06
7,0.7000000000000001,2,600,0.0045,-1.886694676146002e-34,-1.886694676138996e-34,0,51227119.01410565,-3.122136399430057e-06,-3.122312176952931e-06
7,0.7000000000000001,3,600,0.0045,-0.002037128833384048,-1.886694676160015e-34,0,51227119.01410565,0,-3.121673868093e-06
7,0.7000000000000001,4,600,-1.869322434504475e-34,-0.002037128833384047,-1.886694676167022e-34,4.975669337683475e-15,-51227119.01410565,0,-3.121656552845711e-06
7,0.7000000000000001,5,600,-1.869322434504475e-34,-1.886694676167022e-34,-0.002037128833384048,4.975669337683475e-15,-51227119.01410565,-3.121832330368585e-06,0
7,0.7000000000000001,6,600,0.0045,-1.886694676167022e-34,-0.002037128833384048,0,51227119.01410565,-3.121615555039566e-06,0
7,0.7000000000000001,7,600,0.0045,-0.002037128833384047,-0.002037128833384048,0,51227119.01410565,0,0
7,0.7000000000000001,8,600,-1.869322434511482e-34,-0.002037128833384047,-0.002037128833384048,1.143076300139194e-14,-51227119.01410565,0,0
8,0.8,1,600,-1.852609875940253e-34,-1.871212282302993e-34,-1.871212282302993e-34,-1.292632097364613e-14,-51403517.07811624,-3.100513695290639e-06,-3.10027084318023e-06
8,0.8,2,600,0.005,-1.871212282295987e-34,-1.871212282302993e-34,0,51403517.07811624,-3.100399264478013e-06,-3.100602981181816e-06
