increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w,allae_j
1,0.01999999955296516,0.1510327756404877,0.1407978236675262,0,0,0,0.04918361082673073,25898.99086504121,0.01023495011031628
2,0.03999999910593033,0.6096563935279846,0.5684813857078552,0,0,0,0.1971308439970016,26802.82609179821,0.04117504134774208
3,0.05999999865889549,1.384260416030884,1.291085124015808,0,0,0,0.4446336030960083,27711.49370929342,0.09317521005868912
4,0.07999999821186066,2.483360528945923,2.316767454147339,0,0,0,0.7924816012382507,28624.98160124277,0.166593074798584
5,0.1000000014901161,3.915588140487671,3.653799057006836,0,0,0,1.241461515426636,29543.27749210438,0.2617891430854797
6,0.119999997317791,4.113270282745361,3.698789358139038,0,0,0,1.467110276222229,2037.846912658041,0.4144810438156128
7,0.1400000005960464,4.542250156402588,3.681306600570679,0,0,0,2.136239051818848,2022.278016153966,0.8609436750411987
8,0.1599999964237213,5.191756725311279,3.602415323257446,0,0,0,3.246078014373779,2006.936209365548,1.589341521263123
9,0.1800000071525574,6.04019021987915,3.46535587310791,0,0,0,4.789898872375488,1991.815811976895,2.57483434677124
10,0.2000000029802322,6.701661109924316,3.291351079940796,0,0,0.6407744288444519,6.685326099395752,1976.906203620802,3.410309791564941
11,0.2199999988079071,5.675045490264893,3.698294878005981,0,0,0.6407744288444519,4.339637279510498,1962.255192919385,1.976750731468201
12,0.239999994635582,4.948656558990479,4.021070003509521,0,0,0.6407744288444519,2.750401258468628,1947.805185401635,0.9275864362716675
13,0.2599999904632568,4.604184627532959,4.240384578704834,0,0,0.6407744288444519,1.948991179466248,1933.550908706146,0.3637998104095459
14,0.2800000011920929,4.686799049377441,4.343735694885254,0,0,0.6407744288444519,1.952893018722534,1919.487296148483,0.3430632948875427
15,0.300000011920929,5.20808744430542,4.325608253479004,0,0,0.6407744288444519,2.767785549163818,1905.60945427671,0.882479190826416
16,0.3199999928474426,5.289986610412598,4.402147769927979,0,0,0.6407744288444519,2.766258478164673,1891.925719075259,0.8878388404846191
17,0.3400000035762787,5.371800422668457,4.478712558746338,0,0,0.6407744288444519,2.764728546142578,1878.425647414423,0.8930879235267639
18,0.3600000143051147,5.453523635864258,4.555294990539551,0,0,0.6407744288444519,2.763195753097534,1865.104684480867,0.8982288241386414
19,0.3799999952316284,5.53515100479126,4.631886959075928,0,0,0.6407744288444519,2.761659860610962,1851.958144237217,0.903264045715332
20,0.4000000059604645,5.616678237915039,4.708482265472412,0,0,0.6407744288444519,2.760121583938599,1838.981603742835,0.9081958532333374
