element,local_node,reaction_heat_flux_w
2,1,3.360619304667006e-14
2,2,4.587556123112967e-14
2,3,4.091034648924112e-14
2,4,3.241415117022167e-14
2,5,-14.33150243498105
2,6,-14.77842291212661
2,7,-14.81203841204353
2,8,-14.35544436154428
4,1,-2.613022695241859e-14
4,2,2.622309109157035e-14
4,3,1.929489382210529e-14
4,4,-1.892992242788821e-14
4,5,-18.33333333333333
4,6,-18.33333333333334
4,7,-16.6666666666667
4,8,-16.66666666666663
5,1,-1.049082481848598e-14
5,2,-5.252764006063766e-15
5,3,1.058782946188634e-14
5,4,-4.099681405470751e-14
5,5,-14.33150243498103
5,6,-14.77842291212656
5,7,-14.81203841204343
5,8,-14.35544436154419
6,1,-4.887194799429974e-14
6,2,-7.292042173243234e-15
6,3,1.971312529418697e-15
6,4,-8.318296165203095e-15
6,5,-10.00961920641322
6,6,-10.02625716380111
6,7,-10.04288218470726
6,8,-10.02625716380108
7,1,1.390185778255099e-14
7,2,-2.084228154005405e-14
7,3,3.920921538379937e-14
7,4,5.008921030594693e-15
7,5,-10.23853060111822
7,6,-10.63819382403488
7,7,-11.02970928789308
7,8,-10.63819382403489
8,1,-9.173966080876692e-15
8,2,-1.617470818786514e-14
8,3,-5.537183025271149e-15
8,4,1.182642195581271e-14
8,5,-10.93110789592637
8,6,-12.3643060311222
8,7,-13.69533333036371
8,8,-12.36430603112212
