increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w,allae_j
1,0.01999999955296516,0.009210045449435711,0.009210045449435711,0,0,0,4.440892098500626e-16,3219.16102218349,2.398347362722597e-14
2,0.03999999910593033,0.03696279227733612,0.03696279227733612,0,0,0,-8.881784197001252e-16,3238.295253502983,3.745465851530405e-13
3,0.05999999865889549,0.08343780040740967,0.08343780040740967,0,0,0,-1.77635683940025e-15,3257.40233558414,2.285177906277691e-12
4,0.07999999821186066,0.1488089263439178,0.1488089263439178,0,0,0,-7.105427357601002e-15,3276.481925169535,8.924335229143487e-12
5,0.1000000014901161,0.486615002155304,0.4837661385536194,0,0,1.308459401130676,3.39045524597168,3295.21008133667,0.0028488514944911
6,0.119999997317791,0.4900498390197754,0.4871808588504791,0,0,1.308459401130676,3.39045524597168,62.94637264521774,0.002869002055376768
7,0.1400000005960464,0.493407815694809,0.490519106388092,0,0,1.308459401130676,3.39045524597168,62.6812224271541,0.002888720482587814
8,0.1599999964237213,0.4966906011104584,0.4937825798988342,0,0,1.308459401130676,3.39045524597168,62.4147264133035,0.002908015623688698
9,0.1800000071525574,0.499899834394455,0.496972918510437,0,0,1.308459401130676,3.39045524597168,62.14697751582509,0.002926897257566452
10,0.2000000029802322,0.2420533895492554,0.2420533895492554,0,0,1.308459401130676,1.883421540260315,61.87715272574916,2.51631160352872e-09
11,0.2199999988079071,0.2435711175203323,0.2435711026191711,0,0,1.308459401130676,1.883421540260315,61.61086347565127,3.122649916420528e-09
12,0.239999994635582,0.2450583279132843,0.2450583130121231,0,0,1.308459401130676,1.883421540260315,61.34378925074255,3.819989213837971e-09
13,0.2599999904632568,0.246515616774559,0.2465156018733978,0,0,1.308459401130676,1.883421540260315,61.07599695133269,4.610404058524864e-09
14,0.2800000011920929,0.2479435354471207,0.2479435205459595,0,0,1.308459401130676,1.883421540260315,60.80754788408208,5.497638788654058e-09
15,0.300000011920929,0.2493425905704498,0.2493425905704498,0,0,1.308459401130676,1.883421540260315,60.53850007382916,6.488534598503293e-09
16,0.3199999928474426,0.2507133185863495,0.2507133185863495,0,0,1.308459401130676,1.883421540260315,60.26890879454133,7.594647577491287e-09
17,0.3400000035762787,0.2520561218261719,0.2520561218261719,0,0,1.308459401130676,1.883421540260315,59.99882389376495,8.834118325751206e-09
18,0.3600000143051147,0.253371387720108,0.253371387720108,0,0,1.308459401130676,1.883421540260315,59.72828996251496,1.023350026940761e-08
19,0.3799999952316284,0.2546596825122833,0.2546596527099609,0,0,1.308459401130676,1.883421540260315,59.45736072864793,1.182890940754078e-08
20,0.4000000059604645,0.2559214234352112,0.2559213936328888,0,0,1.308459401130676,1.883421540260315,59.18608417073698,1.366856938744831e-08
21,0.4199999868869781,0.2571582496166229,0.2571582198143005,0,0,1.308459401130676,1.883421540260315,58.9145830783813,1.582622033424741e-08
22,0.4399999976158142,0.2583706676959991,0.2583706378936768,0,0,1.308459401130676,1.883421540260315,58.64290535944064,1.832469109785961e-08
23,0.4600000083446503,0.2595591843128204,0.259559154510498,0,0,1.308459401130676,1.883421540260315,58.37109788908967,2.118662756345202e-08
24,0.4799999892711639,0.260724276304245,0.2607242465019226,0,0,1.308459401130676,1.883421540260315,58.09920588511204,2.44341649136004e-08
25,0.5,0.4887218177318573,0.4631350636482239,0,0,1.308459401130676,3.149499416351318,57.82396508346603,0.02558675408363342
26,0.5199999809265137,0.4906623959541321,0.4649714827537537,0,0,1.308459401130676,3.149499416351318,57.54525857031528,0.02569092996418476
27,0.5400000214576721,0.4925620853900909,0.4667690396308899,0,0,1.308459401130676,3.149499416351318,57.26662463802592,0.02579303458333015
28,0.5600000023841858,0.4944218099117279,0.468528687953949,0,0,1.308459401130676,3.149499416351318,56.98810782236923,0.02589311450719833
29,0.5799999833106995,0.4962425827980042,0.4702513515949249,0,0,1.308459401130676,3.149499416351318,56.70975114640807,0.02599122188985348
30,0.6000000238418579,0.2667340338230133,0.2667339742183685,0,0,1.308459401130676,1.873445630073547,56.43584570424724,5.774653999424118e-08
31,0.6200000047683716,0.2677609920501709,0.2677609026432037,0,0,1.308459401130676,1.873445630073547,56.16557092418927,6.421135623213559e-08
32,0.6399999856948853,0.2687675058841705,0.2687674164772034,0,0,1.308459401130676,1.873445630073547,55.89546370950239,7.094847376265534e-08
33,0.6600000262260437,0.2697539329528809,0.2697538733482361,0,0,1.308459401130676,1.873445630073547,55.62555735708239,7.792358047709058e-08
34,0.6800000071525574,0.2707204520702362,0.270720362663269,0,0,1.308459401130676,1.873445630073547,55.35586818865026,8.511720039905413e-08
35,0.699999988079071,0.2716672122478485,0.271667093038559,0,0,1.308459401130676,1.873445630073547,55.08641129537388,9.252494237443898e-08
36,0.7200000286102295,0.2725943028926849,0.2725942134857178,0,0,1.308459401130676,1.873445630073547,54.81720173486609,1.001595038019332e-07
37,0.7400000095367432,0.2735017836093903,0.2735016644001007,0,0,1.308459401130676,1.873445630073547,54.5482446840747,1.080543796661004e-07
38,0.7599999904632568,0.2743894755840302,0.2743893563747406,0,0,1.308459401130676,1.873445630073547,54.27953604756411,1.162655891562281e-07
39,0.7799999713897705,0.2752577066421509,0.2752575874328613,0,0,1.308459401130676,1.873445630073547,54.01110153351903,1.248668439757239e-07
40,0.800000011920929,0.2761065065860748,0.2761063873767853,0,0,1.308459401130676,1.873445630073547,53.7429465661165,1.339597872629383e-07
41,0.8199999928474426,0.2769395112991333,0.2769393622875214,0,0,1.308459401130676,1.873445630073547,53.47530558366642,1.437467460618791e-07
42,0.8399999737739563,0.2777569890022278,0.2777568399906158,0,0,1.308459401130676,1.873445630073547,53.20820178290268,1.542373979646072e-07
43,0.8600000143051147,0.2785593867301941,0.2785592079162598,0,0,1.308459401130676,1.873445630073547,52.94165860214141,1.654419179430988e-07
44,0.8799999952316284,0.2793469429016113,0.279346764087677,0,0,1.308459401130676,1.873445630073547,52.67569826829677,1.77369230414115e-07
45,0.8999999761581421,0.4317180812358856,0.3850862085819244,0,0,1.308459401130676,2.685199499130249,52.40597769812041,0.04663187637925148
