increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,-4.370640695812836e-44,3.274838545340467e-43,2.595254109908108e-43,-0.0002475417047863246,4.315695288585722e-05,0.0001081642259723534,2.875149927658218e-05
1,0.01999999955296516,2,300.000032194424,6.592569979564971e-11,-1.314328734918081e-10,-3.903470414985733e-10,0,0,0,0
1,0.01999999955296516,3,300,6.505941061582963e-41,-2.249159266562605e-41,-1.665246457209788e-43,-0.0003689819517252224,-8.63139058039504e-05,-4.288687286608816e-05,2.917754933356327e-05
1,0.01999999955296516,4,300.0000167742588,1.314357668874284e-10,6.469523083846093e-11,-1.980656721879564e-10,0,0,0,0
1,0.01999999955296516,5,300,-4.370848753976851e-44,5.03139807734699e-43,-2.890750723032475e-43,-0.0001264085789176156,4.315695289660967e-05,-6.527735310631049e-05,4.260500566079407e-07
1,0.01999999955296516,6,300.000000033428,-6.346476188960918e-11,1.314328734920368e-10,-5.784302847624458e-12,0,0,0,0
1,0.01999999955296516,7,300,-4.370640695863814e-44,3.27483854533435e-43,-2.595254109906018e-43,-0.0002481833770081666,4.315695288585744e-05,0.0001081642259723533,-2.875149927658229e-05
1,0.01999999955296516,8,300.0000325409987,6.592569979564975e-11,-1.314328734918081e-10,3.903470414985733e-10,0,0,0,0
1,0.01999999955296516,9,300,6.505941061582905e-41,-2.249159266562661e-41,1.66524645716513e-43,-0.0003700028876784582,-8.631390580395035e-05,-4.288687286608832e-05,-2.917754933356413e-05
1,0.01999999955296516,10,300.0000169547066,1.314357668874284e-10,6.469523083846091e-11,1.980656721879563e-10,0,0,0,0
1,0.01999999955296516,11,300,-4.37084875407422e-44,5.031398077348112e-43,2.890750723034751e-43,-0.0001268096204108382,4.315695289660951e-05,-6.527735310631046e-05,-4.260500566074006e-07
1,0.01999999955296516,12,300.0000000334946,-6.346476188960916e-11,1.314328734920368e-10,5.784302847624451e-12,0,0,0,0
1,0.01999999955296516,13,300.0078206156252,-1.864422209349395e-05,0.01,0.008,0,0,286.6928806909748,286.6928806909682
1,0.01999999955296516,14,302,-3.741448167913519e-39,0.01,0.008,804.7906275623694,-8.168378396546978e-12,286.6928806909748,286.6928806909682
1,0.01999999955296516,15,300.0078205545304,-1.864422209349395e-05,0.01,0.008,0,0,-286.6928806909949,286.6928806909882
1,0.01999999955296516,16,302,-3.741448175914124e-39,0.01,0.008,804.7906274930455,-8.168771559594784e-12,-286.6928806909948,286.6928806909882
1,0.01999999955296516,17,300.0078206159912,-1.864422209349395e-05,0.01,0.008,0,0,286.692880690995,-286.6928806909883
1,0.01999999955296516,18,302,-3.741448180575196e-39,0.01,0.008,804.7906275627739,-8.168378396546978e-12,286.6928806909949,-286.6928806909883
1,0.01999999955296516,19,300.0078205548525,-1.864422209349395e-05,0.01,0.008,0,0,-286.6928806909749,-286.6928806909681
1,0.01999999955296516,20,302,-3.741448188575802e-39,0.01,0.008,804.7906274934222,-8.168378396546978e-12,-286.692880690975,-286.6928806909681
2,0.03999999910593033,1,300,-8.500571536506698e-41,-2.117022654503231e-40,-5.574150774894677e-41,-0.0009815670764213756,0.0001713196323170153,0.0004280307259812815,0.0001132445096885799
2,0.03999999910593033,2,300.0001253100613,2.57639082901e-10,-5.217474556240179e-10,-1.537473151636958e-09,0,0,0,0
2,0.03999999910593033,3,300,2.992122165108945e-40,3.753799316854412e-41,-5.832275837613537e-41,-0.00145589899920519,-0.0003426392352592255,-0.0001675525505942891,0.0001158257608025304
2,0.03999999910593033,4,300.0000672900561,5.217589415016316e-10,2.52754505370172e-10,-7.862588543032323e-10,0,0,0,0
2,0.03999999910593033,5,300,-8.500571853668334e-41,1.299234723601637e-40,-1.729150601175585e-42,-0.0005086694567193403,0.0001713196231096538,-0.0002604781764577618,2.581251107930451e-06
