stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,-1.089565900177663e-30,-1.093887775585136e-30,-1.093887775585133e-30,-0,-50207425.85165934,-0.0002965182065963745,-0.0002965182065963745
1,0.1,2,600,0.0015,-1.093887775585134e-30,-1.093887775585134e-30,0,50207425.85165934,-0.0002965188608779181,-0.0002965188805353374
1,0.1,3,600,0.0015,-0.0005491702965909908,-1.093887775585133e-30,0,50207425.85165934,0,-0.0002965182065963745
1,0.1,4,600,-1.089565900177662e-30,-0.0005491702965909906,-1.09388777558513e-30,-0,-50207425.85165934,0,-0.0002965175326574116
1,0.1,5,600,-1.089565900177663e-30,-1.093887775585133e-30,-0.0005491702965909905,-0,-50207425.85165934,-0.000296517552314831,0
1,0.1,6,600,0.0015,-1.093887775585133e-30,-0.0005491702965909907,0,50207425.85165934,-0.0002965182065963745,0
1,0.1,7,600,0.0015,-0.0005491702965909906,-0.0005491702965909905,0,50207425.85165934,0,0
1,0.1,8,600,-1.089565900177662e-30,-0.0005491702965909907,-0.0005491702965909908,-0,-50207425.85165934,0,0
2,0.2,1,600,-9.116020322556041e-31,-9.152179237322612e-31,-9.152179237322514e-31,-0,-50414353.85840105,-0.0002083886814575158,-0.0002084001898765564
2,0.2,2,600,0.002,-9.152179237322626e-31,-9.1521792373225e-31,0,50414353.85840105,-0.0002083887725989445,-0.0002083996257504044
2,0.2,3,600,0.002,-0.0007983425845647291,-9.152179237322514e-31,0,50414353.85840105,0,-0.0002084001898765564
2,0.2,4,600,-9.116020322556034e-31,-0.0007983425845647289,-9.152179237322493e-31,-0,-50414353.85840105,0,-0.0002084007540027084
2,0.2,5,600,-9.116020322556055e-31,-9.152179237322626e-31,-0.0007983425845647289,-0,-50414353.85840105,-0.0002083892554123775,0
2,0.2,6,600,0.002,-9.152179237322619e-31,-0.0007983425845647287,0,50414353.85840105,-0.0002083893465538062,0
2,0.2,7,600,0.002,-0.0007983425845647289,-0.0007983425845647289,0,50414353.85840105,0,0
2,0.2,8,600,-9.116020322556034e-31,-0.0007983425845647291,-0.0007983425845647288,-0,-50414353.85840105,0,0
3,0.3,1,600,-9.094144710818232e-31,-9.130216139279897e-31,-9.1302161392801e-31,-0,-50620781.13661522,-0.0002082145454836336,-0.0002082032490468047
3,0.3,2,600,0.0025,-9.130216139279911e-31,-9.130216139280086e-31,0,50620781.13661522,-0.0002082146037156559,-0.000208203548410694
3,0.3,3,600,0.0025,-0.001047516875451873,-9.130216139280093e-31,0,50620781.13661522,0,-0.0002082022499346711
3,0.3,4,600,-9.094144710818239e-31,-0.001047516875451873,-9.130216139280086e-31,-0,-50620781.13661522,0,-0.0002082019505707818
3,0.3,5,600,-9.094144710818232e-31,-9.130216139279911e-31,-0.001047516875451874,-0,-50620781.13661522,-0.0002082132470076107,0
3,0.3,6,600,0.0025,-9.130216139279911e-31,-0.001047516875451874,0,50620781.13661522,-0.000208213305239633,0
3,0.3,7,600,0.0025,-0.001047516875451873,-0.001047516875451874,0,50620781.13661522,0,0
3,0.3,8,600,-9.094144710818239e-31,-0.001047516875451873,-0.001047516875451874,-0,-50620781.13661522,0,0
4,0.4,1,600,-9.072142336172068e-31,-9.108125777848354e-31,-9.10812577784846e-31,-0,-50826704.82222348,-0.0002080382329345446,-0.0002080274998611541
4,0.4,2,600,0.003,-9.108125777848361e-31,-9.108125777848446e-31,0,50826704.82222348,-0.0002080392511054967,-0.0002080276914093546
4,0.4,3,600,0.003,-0.001296693180709442,-9.108125777848432e-31,0,50826704.82222348,0,-0.0002080278218322663
4,0.4,4,600,-9.072142336172068e-31,-0.001296693180709442,-9.108125777848425e-31,-0,-50826704.82222348,0,-0.0002080276302840659
4,0.4,5,600,-9.072142336172082e-31,-9.108125777848382e-31,-0.001296693180709442,-0,-50826704.82222348,-0.0002080384223297145,0
4,0.4,6,600,0.003,-9.10812577784834e-31,-0.001296693180709442,0,50826704.82222348,-0.0002080394405006666,0
4,0.4,7,600,0.003,-0.001296693180709442,-0.001296693180709442,0,50826704.82222348,0,0
4,0.4,8,600,-9.072142336172075e-31,-0.001296693180709442,-0.001296693180709442,-0,-50826704.82222348,0,0
5,0.5,1,600,-9.050014081142261e-31,-9.085909039122421e-31,-9.085909039122407e-31,-0,-51032122.07167236,-0.0002078525389756529,-0.0002078527806270922
5,0.5,2,600,0.003500000000000001,-9.085909039122421e-31,-9.085909039122407e-31,0,51032122.07167236,-0.0002078525359808518,-0.0002078522550145738
5,0.5,3,600,0.003500000000000001,-0.001545871511711648,-9.085909039122407e-31,0,51032122.07167236,0,-0.0002078523637782728
5,0.5,4,600,-9.050014081142261e-31,-0.001545871511711648,-9.085909039122428e-31,-0,-51032122.07167236,0,-0.0002078528893907912
5,0.5,5,600,-9.050014081142268e-31,-9.085909039122428e-31,-0.001545871511711648,-0,-51032122.07167236,-0.0002078526084245132,0
5,0.5,6,600,0.003500000000000001,-9.085909039122428e-31,-0.001545871511711648,0,51032122.07167236,-0.0002078526054297121,0
5,0.5,7,600,0.003500000000000001,-0.001545871511711648,-0.001545871511711648,0,51032122.07167236,0,0
5,0.5,8,600,-9.050014081142275e-31,-0.001545871511711648,-0.001545871511711648,-0,-51032122.07167236,0,0
6,0.6000000000000001,1,600,-9.027760843550786e-31,-9.063566824554182e-31,-9.063566824554161e-31,-0,-51237030.06219,-0.0002076368452273567,-0.0002076369602419353
6,0.6000000000000001,2,600,0.004,-9.063566824554147e-31,-9.063566824554182e-31,0,51237030.06219,-0.0002076374926135563,-0.0002076372793118807
6,0.6000000000000001,3,600,0.004,-0.001795051879749579,-9.063566824554182e-31,0,51237030.06219,0,-0.0002076360504888081
6,0.6000000000000001,4,600,-9.027760843550779e-31,-0.001795051879749579,-9.063566824554168e-31,-0,-51237030.06219,0,-0.0002076357314188627
6,0.6000000000000001,5,600,-9.027760843550786e-31,-9.063566824554182e-31,-0.00179505187974958,-0,-51237030.06219,-0.0002076355181171871,0
6,0.6000000000000001,6,600,0.004,-9.063566824554182e-31,-0.00179505187974958,0,51237030.06219,-0.0002076361655033867,0
6,0.6000000000000001,7,600,0.004,-0.001795051879749579,-0.001795051879749579,0,51237030.06219,0,0
6,0.6000000000000001,8,600,-9.027760843550772e-31,-0.00179505187974958,-0.001795051879749579,-0,-51237030.06219,0,0
7,0.7000000000000001,1,600,-9.005383536346507e-31,-9.041100050782206e-31,-9.041100050782192e-31,-0,-51441425.99212673,-0.00020743439978656,-0.000207434620097175
7,0.7000000000000001,2,600,0.0045,-9.041100050782185e-31,-9.041100050782192e-31,0,51441425.99212673,-0.0002074351240725277,-0.0002074348644470738
7,0.7000000000000001,3,600,0.0045,-0.002044234296029834,-9.041100050782178e-31,0,51441425.99212673,0,-0.0002074360592813345
7,0.7000000000000001,4,600,-9.005383536346507e-31,-0.002044234296029834,-9.041100050782185e-31,-0,-51441425.99212673,0,-0.0002074358149314357
7,0.7000000000000001,5,600,-9.005383536346521e-31,-9.041100050782178e-31,-0.002044234296029834,-0,-51441425.99212673,-0.0002074355553059819,0
7,0.7000000000000001,6,600,0.0045,-9.041100050782178e-31,-0.002044234296029834,0,51441425.99212673,-0.0002074362795919496,0
7,0.7000000000000001,7,600,0.0045,-0.002044234296029834,-0.002044234296029834,0,51441425.99212673,0,0
7,0.7000000000000001,8,600,-9.005383536346521e-31,-0.002044234296029834,-0.002044234296029834,-0,-51441425.99212673,0,0
8,0.8,1,600,-8.982883087451526e-31,-9.018509649477103e-31,-9.018509649477124e-31,-0,-51645307.08129205,-0.0002072041359590978,-0.0002072114111744496
8,0.8,2,600,0.005,-9.018509649477145e-31,-9.018509649477138e-31,0,51645307.08129205,-0.0002072039171697767,-0.0002072115431156187
8,0.8,3,600,0.005,-0.002293418771673175,-9.018509649477131e-31,0,51645307.08129205,0,-0.0002072122333682445
8,0.8,4,600,-8.982883087451519e-31,-0.002293418771673174,-9.018509649477131e-31,-0,-51645307.08129205,0,-0.0002072121014270754
8,0.8,5,600,-8.98288308745154e-31,-9.018509649477103e-31,-0.002293418771673175,-0,-51645307.08129205,-0.0002072048262117236,0
8,0.8,6,600,0.005,-9.01850964947711e-31,-0.002293418771673175,0,51645307.08129205,-0.0002072046074224024,0
8,0.8,7,600,0.005,-0.002293418771673175,-0.002293418771673175,0,51645307.08129205,0,0
8,0.8,8,600,-8.982883087451526e-31,-0.002293418771673175,-0.002293418771673175,-0,-51645307.08129205,0,0
9,0.9,1,600,-8.960260439599426e-31,-8.995796567179335e-31,-8.995796567179328e-31,-0,-51848670.57128779,-0.0002069434311195854,-0.0002069434790713047
9,0.9,2,600,0.005500000000000001,-8.995796567179349e-31,-8.995796567179356e-31,0,51848670.57128779,-0.0002069439479411767,-0.0002069439393042961
9,0.9,3,600,0.005500000000000001,-0.002542605317713194,-8.995796567179321e-31,0,51848670.57128779,0,-0.0002069437236684108
9,0.9,4,600,-8.960260439599412e-31,-0.002542605317713194,-8.995796567179321e-31,-0,-51848670.57128779,0,-0.0002069432634354195
9,0.9,5,600,-8.960260439599419e-31,-8.995796567179342e-31,-0.002542605317713194,-0,-51848670.57128779,-0.0002069432547985389,0
9,0.9,6,600,0.005500000000000001,-8.995796567179328e-31,-0.002542605317713194,0,51848670.57128779,-0.0002069437716201302,0
9,0.9,7,600,0.005500000000000001,-0.002542605317713194,-0.002542605317713194,0,51848670.57128779,0,0
9,0.9,8,600,-8.960260439599419e-31,-0.002542605317713194,-0.002542605317713195,-0,-51848670.57128779,0,0
10,1,1,600,-8.937516550172752e-31,-8.972961765135753e-31,-8.97296176513583e-31,-0,-52051513.72583786,-0.0002067086763282447,-0.0002067013589248719
10,1,2,600,0.006,-8.972961765135753e-31,-8.97296176513583e-31,0,52051513.72583786,-0.0002067089958832883,-0.0002067013334957897
10,1,3,600,0.006,-0.002791793945094996,-8.972961765135844e-31,0,52051513.72583786,0,-0.0002067015560760436
10,1,4,600,-8.937516550172759e-31,-0.002791793945094995,-8.972961765135844e-31,-0,-52051513.72583786,0,-0.0002067015815051258
10,1,5,600,-8.937516550172752e-31,-8.97296176513576e-31,-0.002791793945094996,-0,-52051513.72583786,-0.0002067088202788211,0
10,1,6,600,0.006,-8.972961765135746e-31,-0.002791793945094996,0,52051513.72583786,-0.0002067091398338646,0
10,1,7,600,0.006,-0.002791793945094996,-0.002791793945094996,0,52051513.72583786,0,0
10,1,8,600,-8.937516550172759e-31,-0.002791793945094996,-0.002791793945094996,-0,-52051513.72583786,0,0
