state,copy,local_node,node,temperature_k,reaction_heat_flux_w
BASE,steady,1,1,360,-150.4015770994513
BASE,steady,2,2,410,-83.76436160411839
BASE,steady,3,3,445,3.724429047319923
BASE,steady,4,4,385,-104.9938903492231
BASE,steady,5,5,470,56.80340554749761
BASE,steady,6,6,430,38.25063214318028
BASE,steady,7,7,515,174.6857666700701
BASE,steady,8,8,455,65.69559564472485
BASE,transient,1,9,360,47382201.29448853
BASE,transient,2,10,410,83116004.23462638
BASE,transient,3,11,445,88306715.27605355
BASE,transient,4,12,385,15177309.93863879
BASE,transient,5,13,470,100498622.8620208
BASE,transient,6,14,430,25356774.98416409
BASE,transient,7,15,515,102844108.6519448
BASE,transient,8,16,455,6286967.927251357
D00_PLUS,steady,1,17,360.001,-150.4000646925992
D00_PLUS,steady,2,18,410,-83.76419791416774
D00_PLUS,steady,3,19,445,3.72403633000981
D00_PLUS,steady,4,20,385,-104.9940672309135
D00_PLUS,steady,5,21,470,56.80337910619458
D00_PLUS,steady,6,22,430,38.25031975986448
D00_PLUS,steady,7,23,515,174.6853820245178
D00_PLUS,steady,8,24,455,65.69521261709376
D00_PLUS,transient,1,25,360.001,47383207.44093524
D00_PLUS,transient,2,26,410,83116004.23479007
D00_PLUS,transient,3,27,445,88306715.27566077
D00_PLUS,transient,4,28,385,15177309.9384619
D00_PLUS,transient,5,29,470,100498622.8619943
D00_PLUS,transient,6,30,430,25356774.98385168
D00_PLUS,transient,7,31,515,102844108.6515601
D00_PLUS,transient,8,32,455,6286967.926868329
D00_MINUS,steady,1,33,359.999,-150.4030895063036
D00_MINUS,steady,2,34,410,-83.76452529406902
D00_MINUS,steady,3,35,445,3.724821764630072
D00_MINUS,steady,4,36,385,-104.9937134675325
D00_MINUS,steady,5,37,470,56.80343198880073
D00_MINUS,steady,6,38,430,38.25094452649609
D00_MINUS,steady,7,39,515,174.6861513156224
D00_MINUS,steady,8,40,455,65.69597867235575
D00_MINUS,transient,1,41,359.999,47381195.15038158
D00_MINUS,transient,2,42,410,83116004.23446254
D00_MINUS,transient,3,43,445,88306715.27644627
D00_MINUS,transient,4,44,385,15177309.93881567
D00_MINUS,transient,5,45,470,100498622.8620473
D00_MINUS,transient,6,46,430,25356774.98447648
D00_MINUS,transient,7,47,515,102844108.6523293
D00_MINUS,transient,8,48,455,6286967.927634378
D01_PLUS,steady,1,49,360,-150.4014134095008
D01_PLUS,steady,2,50,410.001,-83.76293378492713
D01_PLUS,steady,3,51,445,3.724299672721905
D01_PLUS,steady,4,52,385,-104.9942121818531
D01_PLUS,steady,5,53,470,56.80306542473604
D01_PLUS,steady,6,54,430,38.25055248929677
D01_PLUS,steady,7,55,515,174.6853554452632
D01_PLUS,steady,8,56,455,65.69528634426305
D01_PLUS,transient,1,57,360,47382201.29465224
D01_PLUS,transient,2,58,410.001,83117139.83497624
D01_PLUS,transient,3,59,445,88306715.27592419
D01_PLUS,transient,4,60,385,15177309.93831696
D01_PLUS,transient,5,61,470,100498622.8616807
D01_PLUS,transient,6,62,430,25356774.98408444
D01_PLUS,transient,7,63,515,102844108.6515336
D01_PLUS,transient,8,64,455,6286967.926942061
D01_MINUS,steady,1,65,360,-150.4017407894022
D01_MINUS,steady,2,66,409.999,-83.7657894233097
D01_MINUS,steady,3,67,445,3.724558421917919
D01_MINUS,steady,4,68,385,-104.9935685165932
D01_MINUS,steady,5,69,470,56.80374567025918
D01_MINUS,steady,6,70,430,38.25071179706408
D01_MINUS,steady,7,71,515,174.6861778948775
D01_MINUS,steady,8,72,455,65.69590494518644
D01_MINUS,transient,1,73,360,47382201.29432485
D01_MINUS,transient,2,74,409.999,83114868.63669279
D01_MINUS,transient,3,75,445,88306715.27618295
D01_MINUS,transient,4,76,385,15177309.93896063
D01_MINUS,transient,5,77,470,100498622.8623609
D01_MINUS,transient,6,78,430,25356774.98424374
D01_MINUS,transient,7,79,515,102844108.652356
D01_MINUS,transient,8,80,455,6286967.92756066
D02_PLUS,steady,1,81,360,-150.4019698167614
D02_PLUS,steady,2,82,410,-83.76449097871632
D02_PLUS,steady,3,83,445.001,3.726062478578179
D02_PLUS,steady,4,84,385,-104.9936315299683
D02_PLUS,steady,5,85,470,56.80299549853106
D02_PLUS,steady,6,86,430,38.25013576041084
D02_PLUS,steady,7,87,515,174.6855797909593
D02_PLUS,steady,8,88,455,65.69531879696662
D02_PLUS,transient,1,89,360,47382201.29409584
D02_PLUS,transient,2,90,410,83116004.2344971
D02_PLUS,transient,3,91,445.001,88307743.48977453
D02_PLUS,transient,4,92,385,15177309.93889762
D02_PLUS,transient,5,93,470,100498622.8616107
D02_PLUS,transient,6,94,430,25356774.9836677
D02_PLUS,transient,7,95,515,102844108.6517579
D02_PLUS,transient,8,96,455,6286967.926974507
D02_MINUS,steady,1,97,360,-150.4011843821413
D02_MINUS,steady,2,98,410,-83.76423222952023
D02_MINUS,steady,3,99,444.999,3.722795616061745
D02_MINUS,steady,4,100,385,-104.9941491684776
D02_MINUS,steady,5,101,470,56.8038155964641
D02_MINUS,steady,6,102,430,38.25112852594964
D02_MINUS,steady,7,103,515,174.6859535491807
D02_MINUS,steady,8,104,455,65.69587249248283
D02_MINUS,transient,1,105,360,47382201.29488125
D02_MINUS,transient,2,106,410,83116004.23475578
D02_MINUS,transient,3,107,444.999,88305687.06440985
D02_MINUS,transient,4,108,385,15177309.93837998
D02_MINUS,transient,5,109,470,100498622.8624309
D02_MINUS,transient,6,110,430,25356774.98466049
D02_MINUS,transient,7,111,515,102844108.6521316
D02_MINUS,transient,8,112,455,6286967.9275282
D03_PLUS,steady,1,113,360,-150.4017539811418
D03_PLUS,steady,2,114,410,-83.7646834367482
D03_PLUS,steady,3,115,445,3.724687866574595
D03_PLUS,steady,4,116,385.001,-104.9923056424601
