time,node,temperature,ux,uy,uz,reaction_heat
1.0,1,301.0,4.000000000000228e-33,-8.88888888888836e-34,-8.888888888888366e-34,-18.408247102754384
1.0,2,302.0,0.2,-1.7777777777777526e-33,-1.7777777777777512e-33,-12.675086230579087
1.0,3,303.0,0.2,1.777777777777753e-33,-1.7777777777777512e-33,-4.241580436087656
1.0,4,304.0,4.000000000000225e-33,8.888888888888383e-34,-8.88888888888839e-34,-1.1750862305790482
1.0,5,305.0,4.000000000000238e-33,-8.88888888888837e-34,8.888888888888373e-34,7.925086230579022
1.0,6,306.0,0.2,-1.7777777777777523e-33,1.777777777777754e-33,10.991580436087727
1.0,7,307.0,0.2,1.7777777777777526e-33,1.777777777777752e-33,19.425086230579062
1.0,8,308.0,4.000000000000225e-33,8.888888888888388e-34,8.888888888888366e-34,25.158247102754363
2.0,1,301.0,0.0,0.0,0.0,-20.867601246105977
2.0,2,302.0,0.2,0.0,0.0,-15.465732087227371
2.0,3,303.0,0.2,0.0,0.0,-7.200934579439213
2.0,4,304.0,0.0,0.0,0.0,-4.465732087227358
2.0,5,305.0,0.0,0.0,0.0,4.465732087227341
2.0,6,306.0,0.2,0.0,0.0,7.20093457943924
2.0,7,307.0,0.2,0.0,0.0,15.465732087227405
2.0,8,308.0,0.0,0.0,0.0,20.867601246105934
3.0,1,301.0,1.9153337090073308e-81,6.892961196041929e-81,8.826216156127534e-82,-22.367601246105973
3.0,2,302.0,0.2,7.703897807341031e-81,1.8324479227697046e-81,-16.965732087227373
3.0,3,303.0,0.2,-2.7405717298996556e-80,7.70389780734104e-81,-8.700934579439215
3.0,4,304.0,5.174761248897386e-81,-2.5680210673549937e-80,6.892961196041946e-81,-5.965732087227365
3.0,5,305.0,5.174761248897385e-81,2.5680210673549915e-80,-6.892961196041944e-81,2.9657320872273414
3.0,6,306.0,0.2,2.7405717298996538e-80,-7.703897807341049e-81,5.70093457943924
3.0,7,307.0,0.2,-7.703897807341057e-81,-1.8324479227697205e-81,13.965732087227405
3.0,8,308.0,1.915333709007333e-81,-6.892961196041946e-81,-8.826216156127534e-82,19.36760124610593
