time,node,temperature,ux,uy,uz,reaction_heat
1.0,1,301.0,4.000000000000228e-33,-8.88888888888836e-34,-8.888888888888366e-34,-14.083333333333403
1.0,2,302.0,0.2,-1.7777777777777526e-33,-1.7777777777777512e-33,-10.666666666666694
1.0,3,303.0,0.2,1.777777777777753e-33,-1.7777777777777512e-33,-3.583333333333297
1.0,4,304.0,4.000000000000225e-33,8.888888888888383e-34,-8.88888888888839e-34,-0.16666666666663232
1.0,5,305.0,4.000000000000238e-33,-8.88888888888837e-34,8.888888888888373e-34,6.916666666666667
1.0,6,306.0,0.2,-1.7777777777777523e-33,1.777777777777754e-33,10.33333333333336
1.0,7,307.0,0.2,1.7777777777777526e-33,1.777777777777752e-33,17.41666666666668
1.0,8,308.0,4.000000000000225e-33,8.888888888888388e-34,8.888888888888366e-34,20.83333333333332
2.0,1,301.0,0.0,0.0,0.0,-16.666666666666732
2.0,2,302.0,0.2,0.0,0.0,-13.333333333333352
2.0,3,303.0,0.2,0.0,0.0,-6.666666666666625
2.0,4,304.0,0.0,0.0,0.0,-3.3333333333332957
2.0,5,305.0,0.0,0.0,0.0,3.3333333333333326
2.0,6,306.0,0.2,0.0,0.0,6.666666666666689
2.0,7,307.0,0.2,0.0,0.0,13.333333333333336
2.0,8,308.0,0.0,0.0,0.0,16.666666666666643
3.0,1,301.0,6.08202458474311e-81,6.082024584742913e-81,-1.8726705418768797e-96,-17.916666666666732
3.0,2,302.0,0.2,6.082024584742911e-81,-1.1236023251261276e-95,-14.583333333333353
3.0,3,303.0,0.2,-2.4328098338972433e-80,6.082024584742902e-81,-7.916666666666623
3.0,4,304.0,1.2164049169486425e-80,-2.432809833897244e-80,6.082024584742915e-81,-4.583333333333295
3.0,5,305.0,1.2164049169486423e-80,2.4328098338972433e-80,-6.082024584742912e-81,2.083333333333332
3.0,6,306.0,0.2,2.4328098338972433e-80,-6.082024584742919e-81,5.416666666666691
3.0,7,307.0,0.2,-6.082024584742918e-81,-2.809005812815319e-96,12.083333333333334
3.0,8,308.0,6.082024584743111e-81,-6.082024584742919e-81,4.681676354692198e-96,15.416666666666641
