normal_displacement,normal_x,normal_y,normal_z,id,x,y,z
0,1,0,0,0,0,0,0
-2.153073305829424e-06,1,0,0,1,1,0,0
-2.15888007227674e-06,1,0,0,2,1,0.33,0
0,1,0,0,3,0,0.33,0
0,1,0,0,4,0,0,0.38
-2.458212901436304e-06,1,0,0,5,1,0,0.38
-2.480484348766044e-06,1,0,0,6,1,0.33,0.38
0,1,0,0,7,0,0.33,0.38
-1.084377988246319e-06,1,0,0,8,0.5,0,0
-2.16192794246003e-06,1,0,0,9,1,0.165,0
-1.033801986464434e-06,1,0,0,10,0.5,0.33,0
0,1,0,0,11,0,0.165,0
0,1,0,0,12,0,0,0.19
-2.299115024452275e-06,1,0,0,13,1,0,0.19
-2.313639714240651e-06,1,0,0,14,1,0.33,0.19
0,1,0,0,15,0,0.33,0.19
-1.208881248664638e-06,1,0,0,16,0.5,0,0.38
-2.474222588178099e-06,1,0,0,17,1,0.165,0.38
-1.154088064033008e-06,1,0,0,18,0.5,0.33,0.38
0,1,0,0,19,0,0.165,0.38
-2.166981561417593e-06,1,0,0,20,1,0.7,0
0,1,0,0,21,0,0.7,0
-2.484741839156309e-06,1,0,0,22,1,0.7,0.38
0,1,0,0,23,0,0.7,0.38
-2.149051233498222e-06,1,0,0,24,1,0.515,0
-1.036714779836564e-06,1,0,0,25,0.5,0.7,0
0,1,0,0,26,0,0.515,0
-2.319602770656353e-06,1,0,0,27,1,0.7,0.19
0,1,0,0,28,0,0.7,0.19
-2.471346135888395e-06,1,0,0,29,1,0.515,0.38
-1.156530201757359e-06,1,0,0,30,0.5,0.7,0.38
0,1,0,0,31,0,0.515,0.38
-2.148702242097195e-06,1,0,0,32,1,1,0
0,1,0,0,33,0,1,0
-2.453780535195916e-06,1,0,0,34,1,1,0.38
0,1,0,0,35,0,1,0.38
-2.163901604520085e-06,1,0,0,36,1,0.85,0
-1.086904315150595e-06,1,0,0,37,0.5,1,0
0,1,0,0,38,0,0.85,0
-2.294609864641341e-06,1,0,0,39,1,1,0.19
0,1,0,0,40,0,1,0.19
-2.474336224333916e-06,1,0,0,41,1,0.85,0.38
-1.211473635605215e-06,1,0,0,42,0.5,1,0.38
0,1,0,0,43,0,0.85,0.38
0,1,0,0,44,0,0,1
-3.238298504260271e-06,1,0,0,45,1,0,1
-3.304350993069796e-06,1,0,0,46,1,0.33,1
0,1,0,0,47,0,0.33,1
0,1,0,0,48,0,0,0.6899999999999999
-2.739902203136502e-06,1,0,0,49,1,0,0.6899999999999999
-2.791199191350134e-06,1,0,0,50,1,0.33,0.6899999999999999
0,1,0,0,51,0,0.33,0.6899999999999999
-1.621732529656081e-06,1,0,0,52,0.5,0,1
-3.277890287245321e-06,1,0,0,53,1,0.165,1
-1.561380491429983e-06,1,0,0,54,0.5,0.33,1
0,1,0,0,55,0,0.165,1
-3.307003185759188e-06,1,0,0,56,1,0.7,1
0,1,0,0,57,0,0.7,1
-2.795406948815562e-06,1,0,0,58,1,0.7,0.6899999999999999
0,1,0,0,59,0,0.7,0.6899999999999999
-3.301211077117018e-06,1,0,0,60,1,0.515,1
-1.56359957544593e-06,1,0,0,61,0.5,0.7,1
0,1,0,0,62,0,0.515,1
-3.235350231408154e-06,1,0,0,63,1,1,1
0,1,0,0,64,0,1,1
-2.734623263480902e-06,1,0,0,65,1,1,0.6899999999999999
0,1,0,0,66,0,1,0.6899999999999999
-3.276388715496762e-06,1,0,0,67,1,0.85,1
-1.625734456079566e-06,1,0,0,68,0.5,1,1
0,1,0,0,69,0,0.85,1
-2.200885596999973e-06,1,0,0,70,1,0,0
-1e-05,1,0,0,71,2,0,0
