step,time,id,x,y,z,cnormf_x,cnormf_y,cnormf_z,cshearf_x,cshearf_y,cshearf_z,cslip1,cslip2,copen,cpress
1,1,56,1,2.777936478323686e-32,1.551477688300735e-32,-498.0706396482029,1.054445347650996e-13,0,7.464221513827338e-15,38.71880223064611,0,0,-2.304147454793099e-06,-5.045765665067039e-08,4988.453579815728
1,1,59,1,1.200000047683716,0,-825.6938568691727,1.152993119376918e-14,0,1.074458413932637e-15,60.67358627041716,0,0,-2.674236233797125e-06,-5.020295105020516e-08,4990.672771796373
1,1,60,1,6.449304205380386e-33,1,-498.2795852967595,-4.344234687702282e-14,0,-2.902120746071379e-15,38.73174519125389,0,0,-2.304584759410951e-06,-5.039060375580404e-08,4981.420204862747
1,1,63,1,1.200000047683716,1,-825.6095429186774,7.374549634125551e-14,0,5.779250250358679e-15,60.6675276298,0,0,-2.674139925818521e-06,-5.022408963389641e-08,4992.652705184642
1,1,67,1,0.6000000238418579,0,1995.627107512308,-3.397428666384772e-14,0,-2.881776261508581e-15,-151.5795270990776,0,0,-2.534498742878621e-06,-5.01274674595054e-08,5007.092541996041
1,1,68,1,1.110010572742252e-32,0.5,1984.294987566296,-6.901363054733596e-14,0,-5.293861587534258e-15,-147.8297035532362,0,0,-2.385427841919841e-06,-4.864658517882423e-08,4984.936892339238
1,1,71,1,1.200000047683716,0.5,3320.37793038042,5.376839354993665e-14,0,4.144354750366201e-15,-254.5461376323201,0,0,-2.623589897128025e-06,-5.031842984985384e-08,4991.662738490508
1,1,75,1,0.6000000238418579,1,1995.220143971532,-1.014300419476658e-13,0,-7.337887485534019e-15,-151.5521257288081,0,0,-2.534628941870621e-06,-5.009466773992624e-08,5004.468740970883
1,1,77,1,2,4.125053004366027e-32,-327.1390812523725,-2.253310670085195e-14,0,-1.737426272392728e-15,24.88685322268671,0,0,-2.237988115288782e-06,-5.103178874225465e-08,5038.103365198762
1,1,79,1,2,1,-327.0656655739245,-1.011312324715768e-13,0,-7.072847123351963e-15,24.88191184229049,0,0,-2.237960214916783e-06,-5.106537533406368e-08,5041.522259884383
1,1,82,1,1.600000023841858,-4.123017048150403e-34,1314.552929584556,1.252054432307821e-13,0,9.340120846044789e-15,-97.27241359339538,0,0,-2.4463440451256e-06,-4.792354672467668e-08,4996.858702307576
1,1,84,1,2,0.5,1327.051575461014,3.231730427060014e-14,0,2.75849724193881e-15,-95.92514919666486,0,0,-2.30594619211842e-06,-5.114165824327946e-08,5039.812812541572
1,1,87,1,1.600000023841858,1,1314.808827362819,7.407839168713663e-14,0,5.928458591593783e-15,-97.29051360714652,0,0,-2.446292351748536e-06,-4.795271637756942e-08,4999.655196587324
2,2,56,1,2.777936478323686e-32,1.551477688300735e-32,-498.5386460050356,1.065611210747553e-13,0,1.508804210513191e-14,77.54274815693526,0,0,-4.609583871779704e-06,-5.110450760807812e-08,5000.838488496807
2,2,59,1,1.200000047683716,0,-822.6679607338185,1.287146921300265e-14,0,2.339766869812599e-15,120.9217397739264,0,0,-5.347588152762219e-06,-5.060770761225197e-08,5005.519160247966
2,2,60,1,6.449304205380386e-33,1,-498.9362966603763,-4.415873124494452e-14,0,-5.902877301722709e-15,77.59422338045457,0,0,-4.61072477262584e-06,-5.097720241178482e-08,4987.458269755796
2,2,63,1,1.200000047683716,1,-822.5056496615389,7.584578200403376e-14,0,1.187179428612931e-14,120.8975071617996,0,0,-5.347361554321563e-06,-5.064775125856729e-08,5009.308287668062
2,2,67,1,0.6000000238418579,0,2000.630582299281,-3.355584997847882e-14,0,-5.713338802238559e-15,-303.9798673751809,0,0,-5.067768555927081e-06,-5.047138799983954e-08,5036.011294380907
2,2,68,1,1.110010572742252e-32,0.5,1978.994756756511,-6.871385567341805e-14,0,-1.054689928304046e-14,-294.9830286980663,0,0,-4.772535081985565e-06,-4.763796328900995e-08,4994.148379126302
2,2,71,1,1.200000047683716,0.5,3323.920928602612,5.025625889584793e-14,0,7.77984454336291e-15,-509.8014434486968,0,0,-5.246476866528258e-06,-5.082560605501234e-08,5007.413723958014
2,2,75,1,0.6000000238418579,1,1999.849131089948,-1.019465553283183e-13,0,-1.474394928716388e-14,-303.8716499286541,0,0,-5.068133924818532e-06,-5.04082662515015e-08,5030.998517770309
