step,id,x,y,z,normal_x,normal_y,normal_z,tangential_x,tangential_y,tangential_z,gap,pressure
1,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333288,0,0,-0.9370425713316276,20.82316825181396,16.65853460145118,-0.01,999.9999999999968
1,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333297,0,0,0.1041158412590735,20.823168251814,16.6585346014512,-0.009999999999999939,999.9999999999916
1,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333296,0,0,-0.1041158412590669,20.823168251814,16.6585346014512,-0.00999999999999995,999.9999999999918
1,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333279,0,0,0.9370425713316394,20.82316825181393,16.65853460145114,-0.01000000000000004,1000.000000000002
1,43,1,0.5,0.1000000014901161,213.3333333333318,0,0,-1.665853460145118,-83.29267300725597,-66.63413840580479,-0.009999999999999907,999.9999999999942
1,44,1,0.1000000014901161,0.5,213.3333333333318,0,0,-2.082316825181396,-83.29267300725596,-66.63413840580478,-0.009999999999999913,999.9999999999943
1,47,1,0.8999999761581421,0.5,213.333333333332,0,0,2.082316825181379,-83.29267300725606,-66.63413840580486,-0.009999999999999955,999.9999999999967
1,51,1,0.5,0.8999999761581421,213.333333333332,0,0,1.665853460145101,-83.29267300725603,-66.63413840580483,-0.009999999999999924,999.9999999999968
2,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333308,0,0,-0.8596450120039212,24.93626752377774,9.449532956378933,-0.01000000000000001,1000
2,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333314,0,0,0.3871683641849748,24.93626752377778,9.449532956378944,-0.00999999999999996,999.9999999999936
2,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333324,0,0,-0.3871683641849671,24.93626752377782,9.449532956378963,-0.009999999999999917,999.9999999999895
2,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333296,0,0,0.8596450120039253,24.93626752377769,9.44953295637891,-0.01000000000000008,1000.000000000006
2,43,1,0.5,0.1000000014901161,213.3333333333326,0,0,-0.944953295637897,-99.74507009511112,-37.79813182551578,-0.00999999999999996,999.9999999999969
2,44,1,0.1000000014901161,0.5,213.3333333333324,0,0,-2.493626752377771,-99.74507009511102,-37.79813182551574,-0.009999999999999936,999.9999999999949
2,47,1,0.8999999761581421,0.5,213.3333333333328,0,0,2.493626752377764,-99.7450700951112,-37.7981318255158,-0.009999999999999952,999.9999999999995
2,51,1,0.5,0.8999999761581421,213.3333333333325,0,0,0.9449532956378792,-99.74507009511109,-37.79813182551577,-0.009999999999999946,999.9999999999975
3,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333322,0,0,0.9407208683835865,-20.06871185885004,-17.56012287649376,-0.01000000000000004,1000.000000000001
3,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333334,0,0,-0.06271472455890981,-20.06871185885009,-17.56012287649381,-0.009999999999999952,999.9999999999933
3,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333331,0,0,0.0627147245588985,-20.06871185885008,-17.5601228764938,-0.009999999999999966,999.9999999999937
3,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333324,0,0,-0.9407208683836099,-20.06871185885005,-17.56012287649378,-0.01000000000000002,1000.000000000001
3,43,1,0.5,0.1000000014901161,213.3333333333328,0,0,1.756012287649394,80.27484743540015,70.24049150597504,-0.009999999999999941,999.9999999999972
3,44,1,0.1000000014901161,0.5,213.3333333333326,0,0,2.006871185885011,80.27484743540006,70.24049150597499,-0.009999999999999945,999.9999999999974
3,47,1,0.8999999761581421,0.5,213.3333333333345,0,0,-2.006871185885003,80.27484743540077,70.2404915059756,-0.00999999999999999,999.9999999999972
3,51,1,0.5,0.8999999761581421,213.3333333333329,0,0,-1.756012287649353,80.27484743540018,70.24049150597507,-0.009999999999999948,999.9999999999974
4,32,1,0.1000000014901161,0.1000000014901161,-53.33333333333297,0,0,-0.2981423969999675,-11.92569587999879,23.85139175999759,-0.01000000000000003,999.9999999999992
4,35,1,0.8999999761581421,0.1000000014901161,-53.33333333333314,0,0,-0.8944271909998989,-11.92569587999883,23.85139175999767,-0.009999999999999927,999.9999999999877
4,36,1,0.1000000014901161,0.8999999761581421,-53.33333333333301,0,0,0.8944271909999201,-11.9256958799988,23.85139175999761,-0.009999999999999983,999.999999999995
4,39,1,0.8999999761581421,0.8999999761581421,-53.33333333333286,0,0,0.2981423969999804,-11.92569587999877,23.85139175999755,-0.01000000000000006,1000.000000000005
4,43,1,0.5,0.1000000014901161,213.333333333332,0,0,-2.385139175999767,47.70278351999521,-95.40556703999043,-0.009999999999999936,999.9999999999934
4,44,1,0.1000000014901161,0.5,213.3333333333322,0,0,1.192569587999866,47.70278351999525,-95.40556703999053,-0.00999999999999996,999.999999999997
4,47,1,0.8999999761581421,0.5,213.3333333333322,0,0,-1.192569587999899,47.70278351999526,-95.40556703999053,-0.009999999999999988,999.9999999999961
4,51,1,0.5,0.8999999761581421,213.3333333333325,0,0,2.38513917599976,47.70278351999531,-95.40556703999064,-0.009999999999999981,999.9999999999998
