time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat,contact_pressure,contact_gap,contact_force_z,contact_heat_flux
1.0,1,700.0,-1.1321054607530068e-36,-2.6415794084236549e-36,1.1321054607530052,2.6415794084236595,1.994662002279252,0,0,0,0
1.0,2,700.0,2.2642109215059868e-36,-5.2831588168473218e-36,-2.2642109215059856,5.2831588168473242,2.4933275028490627,0,0,0,0
1.0,3,652.3809523809524,2.2642109215059811e-36,-1.8738738738737331e-06,-2.2642109215059834,0.0,0.0,2522522.5225263424,-2.5225225225257095e-07,-5.283158816855682,476190.4761904816
1.0,4,652.3809523809524,-1.1321054607530053e-36,-1.8738738738737316e-06,1.132105460753003,0.0,0.0,2522522.5225263387,-2.5225225225257095e-07,-2.6415794084278379,476190.4761904816
1.0,5,700.0,1.6704779438076223e-50,-1.5849476450542095e-35,-1.5039351576761084e-14,15.849476450542095,0.0,0,0,0,0
1.0,6,676.1904761904761,9.0568436860240554e-36,-9.3693693693686675e-07,-9.0568436860240507,0.0,0.0,0,0,0,0
1.0,7,652.3809523809524,2.4556025773972047e-50,-1.8738738738737331e-06,-2.0258801712414987e-14,0.0,0.0,2522522.5225263406,-2.5225225225257095e-07,-15.849476450567252,0.0
1.0,8,676.1904761904761,-4.5284218430120304e-36,-9.3693693693686569e-07,4.5284218430120289,0.0,0.0,0,0,0,0
1.0,9,647.6190476190476,-1.1321054607530073e-36,-3.1261261261262703e-06,1.1321054607530057,0.0,0.0,2522522.5225263387,0,2.6415794084278379,0
1.0,10,647.6190476190476,2.2642109215059791e-36,-3.1261261261262711e-06,-2.2642109215059789,0.0,0.0,2522522.5225263415,0,5.283158816855682,0
1.0,11,600.0,2.2642109215059831e-36,-5.0000000000000004e-06,-2.2642109215059789,-5.2831588168473029,-2.493327502849062,0,0,0,0
1.0,12,600.0,-1.1321054607530101e-36,-5.0000000000000004e-06,1.1321054607530061,-2.6415794084236577,-1.9946620022792494,0,0,0,0
1.0,13,647.6190476190476,9.0205808965611603e-51,-3.1261261261262711e-06,-1.5625758817315666e-14,0.0,0.0,2522522.52252634,0,15.849476450567252,0
1.0,14,623.8095238095239,9.0568436860240407e-36,-4.0630630630631366e-06,-9.0568436860240347,0.0,0.0,0,0,0,0
1.0,15,600.0,3.0396974830907254e-50,-5.0000000000000004e-06,-2.8141314481579177e-14,-15.849476450542062,0.0,0,0,0,0
1.0,16,623.8095238095239,-4.5284218430120143e-36,-4.0630630630631349e-06,4.5284218430120164,0.0,0.0,0,0,0,0
