time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
1.0,13,0.0,9.678365128053604e-07,0.0,0.0,0.0,0.0,0.0,0.0,4927.137769118417
1.0,14,0.0,9.688624498386048e-07,0.0,0.0,0.0,0.0,0.0,0.0,5192.051977519441
1.0,21,0.0,9.69411547373407e-07,0.0,0.0,0.0,0.0,0.0,0.0,5170.861836586482
1.0,28,0.0,9.699787855144137e-07,0.0,0.0,0.0,0.0,0.0,0.0,5194.652265208789
1.0,35,0.0,9.591937562419828e-07,0.0,0.0,0.0,0.0,0.0,0.0,4936.913269739308
1.0,71,0.0,9.682370240371788e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,84,0.0,9.69096654535907e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,97,0.0,9.698522772444082e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,110,0.0,9.681365326702149e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,13,0.0,8.847138531437385e-07,0.0,0.0,0.0,0.0,0.0,0.0,16887.832428392358
2.0,14,0.0,8.88396135405832e-07,0.0,0.0,0.0,0.0,0.0,0.0,17754.269171564378
2.0,21,0.0,8.905073554518403e-07,0.0,0.0,0.0,0.0,0.0,0.0,17662.62722485408
2.0,28,0.0,8.926347054164299e-07,0.0,0.0,0.0,0.0,0.0,0.0,17761.214964912142
2.0,35,0.0,8.527702185321534e-07,0.0,0.0,0.0,0.0,0.0,0.0,16918.154829909327
2.0,71,0.0,8.861406425768673e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,84,0.0,8.892967442502771e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,97,0.0,8.921284375823513e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,110,0.0,8.856063950912069e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,13,0.0,7.713817945535426e-07,0.0,0.0,0.0,0.0,0.0,0.0,32118.967547148717
3.0,14,0.0,7.786864555910447e-07,0.0,0.0,0.0,0.0,0.0,0.0,33697.07597366869
3.0,21,0.0,7.831379003550576e-07,0.0,0.0,0.0,0.0,0.0,0.0,33489.22637696887
3.0,28,0.0,7.87529180402112e-07,0.0,0.0,0.0,0.0,0.0,0.0,33706.7663056132
3.0,35,0.0,7.062688250876817e-07,0.0,0.0,0.0,0.0,0.0,0.0,32170.959008590216
3.0,71,0.0,7.741925838501695e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,84,0.0,7.805864095282791e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,97,0.0,7.864306524069803e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,110,0.0,7.728045666758818e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,13,0.0,6.395362098223986e-07,0.0,0.0,0.0,0.0,0.0,0.0,49195.3815668694
4.0,14,0.0,6.510472072285278e-07,0.0,0.0,0.0,0.0,0.0,0.0,51545.79733371065
4.0,21,0.0,6.583578666206208e-07,0.0,0.0,0.0,0.0,0.0,0.0,51193.458175748674
4.0,28,0.0,6.6546958871639e-07,0.0,0.0,0.0,0.0,0.0,0.0,51557.01561643582
4.0,35,0.0,5.349388555861076e-07,0.0,0.0,0.0,0.0,0.0,0.0,49269.15269406891
4.0,71,0.0,6.439441819416566e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,84,0.0,6.541696247709324e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,97,0.0,6.636376204396596e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,110,0.0,6.413834023359308e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,13,0.0,4.960736467180676e-07,0.0,0.0,0.0,0.0,0.0,0.0,67361.49538101017
5.0,14,0.0,5.121537538987572e-07,0.0,0.0,0.0,0.0,0.0,0.0,70519.49980877907
5.0,21,0.0,5.226631302739787e-07,0.0,0.0,0.0,0.0,0.0,0.0,70005.77003204853
5.0,28,0.0,5.327895144895123e-07,0.0,0.0,0.0,0.0,0.0,0.0,70531.56340334681
5.0,35,0.0,3.4792653462803464e-07,0.0,0.0,0.0,0.0,0.0,0.0,67457.09048273056
5.0,71,0.0,5.022100808028951e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,84,0.0,5.16644834497315e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,97,0.0,5.301324236739111e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,110,0.0,4.982519354011783e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,13,0.0,3.45126532565361e-07,0.0,0.0,0.0,0.0,0.0,0.0,86181.77791699964
6.0,14,0.0,3.6600710472036585e-07,0.0,0.0,0.0,0.0,0.0,0.0,90167.9418213007
