time,element,point,stress_rr,stress_zz,stress_hoop,stress_rz,elastic_rr,elastic_zz,elastic_hoop,elastic_rz,plastic_rr,plastic_zz,plastic_hoop,plastic_rz,creep_rr,creep_zz,creep_hoop,creep_rz,equiv_plastic,equiv_creep,r,z,volume
1.0,1,1,-659270.96047258994,-1334053.7049864929,-656778.07010784908,98.459141906915605,-1.5084059771388963e-07,-4.5909110566153701e-06,-1.344373791138947e-07,6.4786115374750468e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7389410412309227e-05,0.00028175630449848695,6.440964627971846e-11
1.0,1,2,-650465.35773963982,-1307767.1890983153,-639405.66945961153,-200.22310541481187,-1.7579367217667497e-07,-4.5008397225167588e-06,-1.0302092329408845e-07,-1.3174680336294621e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333745552684024,0.00028175630526607818,4.572044987476952e-10
1.0,1,3,-641589.24693275383,-1281328.047873405,-621962.75928911089,-501.35921219607587,-2.0074675934699418e-07,-4.4102280695364791e-06,-7.1604470651822976e-08,-3.2989436162501791e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060928547065863987,0.00028175630618590761,5.070959035785319e-10
1.0,1,4,-661052.46119179309,-1323093.4435189711,-658556.97105293418,23.098823015819921,-1.742546509353554e-07,-4.5304843146481857e-06,-1.5783432582166378e-07,1.5199025544409508e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7389407776121084e-05,0.0012500095298520722,1.030554321528503e-10
1.0,1,5,-652254.55158051243,-1297255.2533827424,-641183.32942560676,-866.83126338316083,-1.9853979706537075e-07,-4.4426444149240435e-06,-1.2569115528609101e-07,-5.7037497130611982e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333744381123059,0.0012500095313718851,7.315271822110252e-10
1.0,1,6,-643386.13389220193,-1271264.4379055344,-623739.17827502091,-1759.2152769856846,-2.2282495589573206e-07,-4.3542641963034598e-06,-9.3547987934681102e-08,-1.1575636522565804e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060928544983234129,0.0012500095335671016,8.113534256269386e-10
1.0,1,7,-677490.61543590727,-1321396.1875513603,-674992.52542906732,-886.90925094183535,-2.3315891067046127e-07,-4.4700575751901408e-06,-2.1672147842545381e-07,-5.835862871197276e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7389402393367136e-05,0.0022182628033856947,6.440963933952225e-11
1.0,1,8,-668700.40034208191,-1296006.3239080526,-657617.64389961481,-2368.0872442330742,-2.5677613257429517e-07,-4.3844491096383817e-06,-1.8385159518286161e-07,-1.5582014067053628e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034333741991050452,0.0022182628027365716,4.5720444656352716e-10
1.0,1,9,-659839.67715475522,-1270463.8349089033,-640172.25283833279,-3851.7192359961214,-2.8039336713314349e-07,-4.2983003251554375e-06,-1.5098171513108319e-07,-2.5344312572854479e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060928540738237609,0.0022182628032860175,5.070958424612687e-10
1.0,2,1,-638011.41530952777,-1255691.6800206581,-602478.20061559684,-375.40879082269294,-2.5414866514235539e-07,-4.3184848069415944e-06,-2.0340112456290155e-08,-2.4701898436133195e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076406424522227018,0.00028175630709304503,6.359150404724166e-10
1.0,2,2,-618611.9297496184,-1188452.787406761,-551525.97781300428,-643.62242743196282,-3.438931997008628e-07,-4.0934460430848607e-06,9.753236404205815e-08,-4.2350355725023154e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010300121665809286,0.0002817563093963739,1.3716124753123551e-09
1.0,2,3,-601945.55666729005,-1123776.4796058275,-506660.20039209933,-925.89997581668547,-4.3363782893972542e-07,-3.867285301875302e-06,1.9333981535102869e-07,-6.0924218408737904e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012959600061043571,0.00028175631201582689,1.078600353679491e-09
1.0,2,4,-639436.87734858878,-1245880.8245732936,-604025.82237679255,-1735.275474196872,-2.7433188456180741e-07,-4.2647330573003663e-06,-4.1327142847388194e-08,-1.1418112620215417e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076406421916998854,0.0012500095356640464,1.0174640375403798e-09
1.0,2,5,-619999.78526690276,-1179654.1164624346,-552915.26450758358,-2379.8251541245813,-3.6253930440188471e-07,-4.0450648036684851e-06,7.8876842194435415e-08,-1.5659249514139746e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010300121315847946,0.0012500095411442913,2.1945798839459865e-09
1.0,2,6,-603320.30839602521,-1116014.49583146,-507944.18942883791,-3038.4388631692095,-4.5074681926885534e-07,-3.8242745725940154e-06,1.7682804353523665e-07,-1.9992927719653399e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012959599619851662,0.0012500095480270186,1.7257604913246058e-09
1.0,2,7,-654754.04088192282,-1244961.1789385048,-619818.48108648893,-5192.5874563499074,-3.2741834157012429e-07,-4.2109813099824327e-06,-9.7542358116168917e-08,-3.4167225462782386e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076406416620111337,0.0022182628035866026,6.359149631272736e-10
1.0,2,8,-635201.00578334508,-1179668.3171983107,-568380.01947002043,-6213.4735405637439,-4.14088656980762e-07,-3.9966835660912366e-06,2.5593432960914107e-08,-4.0884655896909435e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010300120609215192,0.0022182628049029823,1.3716122869936074e-09
1.0,2,9,-618462.24140856264,-1117019.1984020113,-523203.67460326932,-7248.4237765054286,-5.0075906769446982e-07,-3.7812638447113614e-06,1.2604230188436017e-07,-4.7694628449405716e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012959598734482861,0.0022182628087082019,1.0786001880189088e-09
1.0,3,1,-591229.86936395976,-1070682.0282697084,-466618.78959908109,-675.7477870430539,-5.2721405458711174e-07,-3.6820092601869366e-06,2.9272685026579e-07,-4.4464204387432942e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014507386541733481,0.00028175631411368708,1.207419057951898e-09
1.0,3,2,-559697.27634146332,-948996.11773013067,-373333.06991888606,-959.37145913185657,-7.0920626522187021e-07,-3.2707926415593009e-06,5.1707021303868817e-07,-6.3126642010876156e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017166863034887442,0.00028175631889448328,2.2860173595252953e-09
1.0,3,3,-531986.79028464179,-830802.1724571432,-288650.44864193734,-1294.5010397058413,-8.9119881008666138e-07,-2.8574040247817209e-06,7.0995431792233351e-07,-8.517816841264436e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019826337990483832,0.00028175632428725366,1.6501022678054114e-09
1.0,3,4,-592288.72991519235,-1063499.1250113943,-467577.0231664367,-2472.4894286083613,-5.4234333545498888e-07,-3.6429077351879974e-06,2.7825969495182369e-07,-1.6268980440243017e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001450738604703315,0.0012500095535778301,1.9318703973019043e-09
1.0,3,5,-560475.37806902244,-943144.05487626605,-373680.14027302136,-2740.8281480441156,-7.2179466200923767e-07,-3.239754555400901e-06,5.0731800268844897e-07,-1.8034649214130279e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017166862444456823,0.0012500095666176587,3.65762753666524e-09
1.0,3,6,-532517.04946464091,-826313.86581316288,-288457.60368750419,-3060.6727708046105,-9.0124632551215102e-07,-2.8344293770854246e-06,7.0466482770140914e-07,-2.0139226831894336e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019826337297759937,0.0012500095823725055,2.640163413810007e-09
1.0,3,7,-605693.26804111095,-1064397.7748435102,-481764.11297001014,-7885.6884073191886,-5.8553055746019251e-07,-3.6038062122199806e-06,2.2992328290765137e-07,-5.1887829720160259e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014507385060978477,0.0022182628118926871,1.207418863903426e-09
1.0,3,8,-573481.67419200786,-945256.05936884938,-387001.76002930861,-8138.7432794785618,-7.6244101631094942e-07,-3.2087164707745669e-06,4.6459681887961139e-07,-5.3552930778968934e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017166861288052415,0.0022182628205344303,2.286016921797691e-09
1.0,3,9,-545189.53946890053,-829703.66042982065,-301053.2272974067,-8443.3040461236051,-9.3935181473548355e-07,-2.8114547306583377e-06,6.6706511935294606e-07,-5.5556940623493316e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019826335964442817,0.0022182628339942364,1.6501018998434678e-09
1.0,4,1,-513079.98704176088,-739971.49322186178,-219660.11651752936,-875.07392537411977,-1.0491819918205662e-06,-2.5421281024856305e-06,8.8152075622887705e-07,-5.7579864289617075e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002137412212713981,0.00028175632838075475,1.7789201235504133e-09
1.0,4,2,-466088.04895023716,-542824.24245510204,-67409.435765583068,-1385.7020651699502,-1.3662710331625035e-06,-1.8711951864245144e-06,1.2570342415925207e-06,-9.1179195888182719e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024033593814556799,0.00028175633730277618,3.200416176961072e-09
1.0,4,3,-424172.61075788236,-350216.43845130689,73316.40107414982,-2056.5628489970095,-1.683360994733503e-06,-1.1967293809562369e-06,1.5901167031212675e-06,-1.3532183546400322e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026693062950675509,0.00028175634722021171,2.221599481187206e-09
1.0,4,4,-513967.01513732248,-736482.17528714531,-219064.27068141135,-1578.2438781158935,-1.0600716910562931e-06,-2.5242214448421267e-06,8.8038836746360222e-07,-1.0384844718002579e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021374121369290289,0.0012500095944445429,2.8462719213432605e-09
1.0,4,5,-465995.82946746139,-540290.13406725135,-64896.241152680421,-1568.9707534764809,-1.373784674489815e-06,-1.8626411987564321e-06,1.2654506166214439e-06,-1.0323827557875243e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024033592926254051,0.0012500096212732245,5.1206652344771534e-09
1.0,4,6,-423161.8438745623,-348698.23739513231,77615.562232199067,-1719.929798803598,-1.6874985926153765e-06,-1.1975280619807278e-06,1.6076167395671126e-06,-1.1317138076127674e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026693061911502417,0.0012500096525180533,3.5545586128015875e-09
1.0,4,7,-525193.10518350336,-740000.69170072523,-230306.05208955731,-7926.8023304620383,-1.0928808707288697e-06,-2.5063147900121902e-06,8.4747593862929434e-07,-5.2158359334440207e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021374119932170391,0.0022182628446121649,1.7789196826015599e-09
1.0,4,8,-476100.28427051421,-544621.4691666537,-73912.457093684934,-7397.6306941255607,-1.4032178178612361e-06,-1.8540872144778335e-06,1.2431780849623005e-06,-4.8676409967346189e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024033591300386685,0.0022182628695894178,3.2004151977667e-09
