time,node,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.0625,1,600.0094952530707,-5.8908706592139913e-50,7.4995259718724637e-06,-1.6367276015988532e-05,0.0,0.0
0.0625,2,600.0094948483581,6.6429208005444883e-11,7.4995265731100191e-06,0.0,0.0,0.0
0.0625,3,600.0094948491734,6.5547725420890493e-11,7.4995852587525708e-06,0.0,0.0,0.0
0.0625,4,600.0094952533325,1.9512013714354711e-41,7.499584693610823e-06,-3.144737820374193e-06,0.0,0.0
0.0625,5,600.0094929430038,1.3282187354717827e-10,7.4995279732324153e-06,0.0,0.0,0.0
0.0625,6,600.0094929462923,1.3103210641163092e-10,7.4995867041569825e-06,0.0,0.0,0.0
0.0625,7,600.0094842358073,1.9932843054538048e-10,7.4995307147736581e-06,0.0,0.0,0.0
0.0625,8,600.0094842641141,1.9630370885902288e-10,7.4995892509376383e-06,0.0,0.0,0.0
0.0625,9,600.0094432994214,2.6575070174585154e-10,7.4995352731836625e-06,0.0,0.0,0.0
0.0625,10,600.0094434064015,2.6092282742117873e-10,7.4995938033851669e-06,0.0,0.0,0.0
0.0625,11,600.0092446189934,3.3064707540486519e-10,7.4995442998669558e-06,0.0,0.0,0.0
0.0625,12,600.009246613809,3.2459806437445377e-10,7.4996001720077007e-06,0.0,0.0,0.0
0.0625,13,600.0082519423465,3.8895945807630287e-10,7.4995537707424921e-06,0.0,0.0,0.0
0.0625,14,600.0082752668213,3.8274109237916082e-10,7.4996060090807809e-06,0.0,0.0,0.0
0.0625,15,600.0094948509695,6.4863930933273586e-11,7.4996446240403224e-06,0.0,0.0,0.0
0.0625,16,600.0094952539984,2.3887305068426694e-41,7.4996440349234222e-06,-4.3752913940961571e-06,0.0,0.0
0.0625,17,600.0094929557833,1.2963929081945182e-10,7.4996460233016631e-06,0.0,0.0,0.0
0.0625,18,600.0094843112579,1.9420153243242755e-10,7.4996485820304513e-06,0.0,0.0,0.0
0.0625,19,600.0094438383161,2.5862755906416761e-10,7.4996523719511033e-06,0.0,0.0,0.0
0.0625,20,600.0092484545393,3.2227182690702843e-10,7.4996567366312159e-06,0.0,0.0,0.0
0.0625,21,600.0083137180636,3.8011316973350086e-10,7.4996597829848126e-06,0.0,0.0,0.0
0.0625,22,600.0094948528595,6.4461620644066924e-11,7.4997042997157648e-06,0.0,0.0,0.0
0.0625,23,600.0094952546426,2.5510781163259988e-41,7.4997037555818902e-06,-1.6234759135190203e-06,0.0,0.0
0.0625,24,600.0094929640558,1.2889508047949664e-10,7.499705631479353e-06,0.0,0.0,0.0
0.0625,25,600.0094843689576,1.9336708575760132e-10,7.4997078255185793e-06,0.0,0.0,0.0
0.0625,26,600.0094440272308,2.5785929304276431e-10,7.4997106837639562e-06,0.0,0.0,0.0
0.0625,27,600.009251488964,3.2157847010770067e-10,7.4997135023525508e-06,0.0,0.0,0.0
0.0625,28,600.0082859709964,3.7916168697891869e-10,7.4997150352433593e-06,0.0,0.0,0.0
0.0625,29,600.0094948535642,6.4319064385510478e-11,7.4997639693890963e-06,0.0,0.0,0.0
0.0625,30,600.0094952549247,2.3501800384709657e-41,7.4997634880186401e-06,2.0089805142094831e-06,0.0,0.0
0.0625,31,600.0094929682716,1.2871365164418058e-10,7.4997650670823106e-06,0.0,0.0,0.0
0.0625,32,600.009484380895,1.9324402463276628e-10,7.4997667525688049e-06,0.0,0.0,0.0
0.0625,33,600.0094442543171,2.5785551245360917e-10,7.499768750879892e-06,0.0,0.0,0.0
0.0625,34,600.0092496054741,3.2156606500523906e-10,7.4997704997241568e-06,0.0,0.0,0.0
0.0625,35,600.0083155877812,3.7891193526323402e-10,7.4997712444434032e-06,0.0,0.0,0.0
0.0625,36,600.0094948528621,6.4346899186959791e-11,7.4998233781774344e-06,0.0,0.0,0.0
0.0625,37,600.0094952546438,1.7718549258976452e-41,7.499823017235862e-06,5.7832511392339328e-06,0.0,0.0
0.0625,38,600.0094929640667,1.2880616669227522e-10,7.4998241815015851e-06,0.0,0.0,0.0
0.0625,39,600.0094843690121,1.9343892261971492e-10,7.4998253551422638e-06,0.0,0.0,0.0
0.0625,40,600.0094440275896,2.5811800841899962e-10,7.4998266576033409e-06,0.0,0.0,0.0
0.0625,41,600.0092514910106,3.2178934191372612e-10,7.4998277147051508e-06,0.0,0.0,0.0
0.0625,42,600.0082859721258,3.7894597310380335e-10,7.4998280664509821e-06,0.0,0.0,0.0
0.0625,43,600.0094948509742,6.4429515245694176e-11,7.4998824705284309e-06,0.0,0.0,0.0
0.0625,44,600.0094952540003,1.0770770955660684e-41,7.4998822360952263e-06,6.9477781732655373e-06,0.0,0.0
0.0625,45,600.0094929558014,1.2897948573849019e-10,7.4998829816905461e-06,0.0,0.0,0.0
0.0625,46,600.0094843113498,1.9369210790000974e-10,7.499883703736157e-06,0.0,0.0,0.0
0.0625,47,600.0094438387637,2.584057715329195e-10,7.4998844791721739e-06,0.0,0.0,0.0
0.0625,48,600.0092484580902,3.220153985228914e-10,7.4998850809575132e-06,0.0,0.0,0.0
0.0625,49,600.0083137454084,3.7904219563567137e-10,7.4998852774460872e-06,0.0,0.0,0.0
0.0625,50,600.0094948491792,6.4500998856680049e-11,7.4999413051652648e-06,0.0,0.0,0.0
0.0625,51,600.0094952533349,3.5839225933257642e-42,7.4999411913655362e-06,7.1868485463665849e-06,0.0,0.0
0.0625,52,600.0094929463144,1.2911736543466143e-10,7.4999415501624992e-06,0.0,0.0,0.0
0.0625,53,600.0094842642087,1.9387835878375945e-10,7.4999418917624825e-06,0.0,0.0,0.0
0.0625,54,600.0094434069155,2.5860340478888938e-10,7.4999422472933483e-06,0.0,0.0,0.0
0.0625,55,600.0092466150786,3.2216701811838449e-10,7.4999425392363411e-06,0.0,0.0,0.0
0.0625,56,600.0082752982352,3.7900679029682765e-10,7.4999426944176966e-06,0.0,0.0,0.0
0.0625,57,600.0094948483643,6.4528005966966421e-11,7.5000000000000002e-06,0.0,-0.0016901661656485486,0.0
0.0625,58,600.0094952530733,-3.7223896540817334e-50,7.5000000000000002e-06,3.5839227463113065e-06,-0.00026812030580876866,0.0
0.0625,59,600.0094929430262,1.2916788157902208e-10,7.5000000000000002e-06,0.0,-0.0036857037585788267,0.0
