time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
0.5,13,0.0,6.256594171569207e-07,0.0,0.0,0.0,0.0,0.0,0.0,1779.752639686194
0.5,14,0.0,6.258361346924909e-07,0.0,0.0,0.0,0.0,0.0,0.0,1942.7632865699707
0.5,21,0.0,6.261857294414738e-07,0.0,0.0,0.0,0.0,0.0,0.0,1934.300331504346
0.5,28,0.0,6.269482858249631e-07,0.0,0.0,0.0,0.0,0.0,0.0,1944.589722324963
0.5,35,0.0,6.233739454969064e-07,0.0,0.0,0.0,0.0,0.0,0.0,1784.920197133033
2.5,13,0.0,1.1956301911551778e-07,0.0,0.0,0.0,0.0,0.0,0.0,19531.101247730476
2.5,14,0.0,1.2131393070831384e-07,0.0,0.0,0.0,0.0,0.0,0.0,20725.947541268397
2.5,21,0.0,1.2918277185469673e-07,0.0,0.0,0.0,0.0,0.0,0.0,20711.195680087258
2.5,28,0.0,1.395167787765841e-07,0.0,0.0,0.0,0.0,0.0,0.0,20732.854713514822
2.5,35,0.0,8.122827255697268e-08,0.0,0.0,0.0,0.0,0.0,0.0,19571.04751631959
4.5,13,268464.4840041795,-2.684644839885147e-09,0.0,-1.1434454022530371e-12,-8.6886919736710428,-8.1270136174393375e-05,0.0,0.0,50761.550820607226
4.5,14,331508.1514949831,-3.3150815148875633e-09,0.0,-3.0524848836212e-07,-21.458046676942359,9.6331881065611619e-05,0.0,0.0,53651.81162360386
4.5,21,343150.2728622629,-3.431502729347772e-09,0.0,-6.111503731646348e-07,-22.21132795945497,-0.00044165848171246873,0.0,0.0,53622.77080052991
4.5,28,311697.8137621173,-3.1169781384586595e-09,0.0,-9.877634525161572e-07,-20.174815822434507,-0.00022242319303015918,0.0,0.0,53665.91045813038
4.5,35,300774.33690024127,-3.007743370165706e-09,0.0,-1.388464903577974e-06,-9.733832538338163,0.00086848574754959753,0.0,0.0,50864.004453706
6.5,13,414422.9946587185,-4.144229946861928e-09,0.0,-1.169683336185428e-12,-13.414437068378831,-0.00024126928990607805,0.0,0.0,86694.762701336
6.5,14,511195.1418987435,-5.111951419963163e-09,0.0,-5.92775651365793e-07,-33.09348716845183,0.00046469166474608108,0.0,0.0,91366.59163764307
6.5,21,542881.8077199379,-5.428818076892412e-09,0.0,-1.1785992761358268e-06,-35.143951175631962,-0.0015951948912790248,0.0,0.0,91324.22200177643
6.5,28,492479.59437516914,-4.924795944737591e-09,0.0,-1.8779429780019229e-06,-31.879229872811642,-0.00041820494796765065,0.0,0.0,91386.04639510959
6.5,35,449785.09758201387,-4.497850976610647e-09,0.0,-2.6943576619642086e-06,-14.557605001153455,0.0023129305990515839,0.0,0.0,86870.32588150032
8.5,13,481325.72172766173,-4.813257217232058e-09,0.0,-1.1820524664454976e-12,-15.582369353303054,-0.00028847522329664686,0.0,0.0,124595.83232553086
8.5,14,591504.3542471991,-5.9150435431992975e-09,0.0,-8.629785384686022e-07,-38.298245709312461,0.00052483771161817986,0.0,0.0,131072.69448960322
8.5,21,629263.9122635494,-6.2926391233971995e-09,0.0,-1.7104861667901432e-06,-40.741541535287595,-0.0027968646439139959,0.0,0.0,131012.79705397246
8.5,28,567023.7496491955,-5.670237495126956e-09,0.0,-2.7397637640864065e-06,-36.708641478468174,-0.00038520240873897123,0.0,0.0,131097.70278933865
8.5,35,526832.2820754985,-5.268322822136753e-09,0.0,-3.9595031639922615e-06,-17.053073813108266,0.0038754967332092242,0.0,0.0,124853.36924182775
10.5,13,527975.9641741088,-5.279759639847526e-09,0.0,-1.1902140890011165e-12,-17.095314776399043,-0.00029971679717450718,0.0,0.0,163347.55225511797
10.5,14,647267.5601606326,-6.472675601668043e-09,0.0,-1.1242368860093385e-06,-41.915311185577217,0.00048866971645629236,0.0,0.0,171630.88026522927
10.5,21,689419.9341282198,-6.894199340856459e-09,0.0,-2.2248522583344432e-06,-44.642671149171228,-0.0041364388399012667,0.0,0.0,171552.10973255633
10.5,28,616578.9867083527,-6.165789866656596e-09,0.0,-3.5833728084854137e-06,-39.92134051507734,-0.00026394016222523563,0.0,0.0,171662.80264309535
10.5,35,583766.2422852787,-5.837662422456218e-09,0.0,-5.202684114845778e-06,-18.898027554777009,0.0056282525272554496,0.0,0.0,163696.14846639708
