step,input_local_node,input_label,output_local_node,output_label,closure_delta_m,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,0,0,1,9,0,-9.999999999997663e-05,9999.999999997972,2499.999999999493,-5.637121175826829e-15,0
BASE,0,0,2,12,0,-9.999999999997663e-05,9999.999999997972,2499.999999999493,-5.637121175826831e-15,0
BASE,0,0,3,16,0,-9.999999999998896e-05,9999.999999998587,2499.999999999647,4.033159069535914e-14,0
BASE,0,0,4,13,0,-9.999999999998893e-05,9999.999999998587,2499.999999999647,4.033159069535913e-14,0
S1_PLUS,1,9,1,9,1e-06,-0.0001005625000000215,10039.06250000411,2509.765625001,-0.001673828124812449,-0.001673828124806777
S1_PLUS,1,9,2,12,1e-06,-0.0001001875000000795,10023.43750000576,2505.859375001432,-0.001670963541479842,-0.0008359374999876092
S1_PLUS,1,9,3,16,1e-06,-0.0001000625000000246,10014.06250000427,2503.515625001066,-0.0008348958332806278,-0.0008348958333209716
S1_PLUS,1,9,4,13,1e-06,-0.0001001875000000671,10023.43750000514,2505.859375001278,-0.0008359374999471889,-0.001670963541474071
S1_MINUS,1,9,1,9,-1e-06,-9.943749999998685e-05,9960.937500002392,2490.234375000596,0.001659505208454213,0.001659505208489724
S1_MINUS,1,9,2,12,-1e-06,-9.981250000007621e-05,9976.562500004726,2494.140625001168,0.001662369791788353,0.0008307291667668669
S1_MINUS,1,9,3,16,-1e-06,-9.993750000000711e-05,9985.937500003403,2496.484375000841,0.0008317708333189806,0.0008317708334337
S1_MINUS,1,9,4,13,-1e-06,-9.981250000008855e-05,9976.562500005342,2494.140625001322,0.0008307291666522704,0.00166236979182399
S2_PLUS,2,12,1,9,1e-06,-0.0001001875000000054,10023.43750000028,2505.859375000063,0.001670963541472356,-0.0008359374999360554
S2_PLUS,2,12,2,12,1e-06,-0.0001005624999999844,10039.06249999941,2509.765624999824,0.001673828124805177,-0.001673828124810823
S2_PLUS,2,12,3,16,1e-06,-0.0001001875000000054,10023.43750000028,2505.859375000063,0.0008359374999764501,-0.001670963541477998
S2_PLUS,2,12,4,13,1e-06,-0.0001000625000000122,10014.0625000008,2503.515625000198,0.000834895833309896,-0.0008348958332695267
S2_MINUS,2,12,1,9,-1e-06,-9.981250000005156e-05,9976.562500004033,2494.140625000995,-0.001662369791821044,0.0008307291667174302
S2_MINUS,2,12,2,12,-1e-06,-9.943750000002385e-05,9960.937500002778,2490.234375000693,-0.001659505208487229,0.001659505208481524
S2_MINUS,2,12,3,16,-1e-06,-9.981250000001456e-05,9976.562500002183,2494.140625000532,-0.0008307291666770848,0.001662369791815026
S2_MINUS,2,12,4,13,-1e-06,-9.993750000003176e-05,9985.937500003174,2496.484375000783,-0.0008317708333438872,0.0008317708333841038
S3_PLUS,3,16,1,9,1e-06,-0.0001000624999999876,10014.06249999987,2503.515624999967,0.0008348958333680035,0.0008348958332695269
S3_PLUS,3,16,2,12,1e-06,-0.0001001875000000301,10023.43750000121,2505.859375000295,0.0008359375000346896,0.00167096354147823
S3_PLUS,3,16,3,16,1e-06,-0.0001005624999999845,10039.06249999972,2509.765624999902,0.001673828124886118,0.0016738281248109
S3_PLUS,3,16,4,13,1e-06,-0.0001001875000000055,10023.43749999997,2505.859374999986,0.001670963541553144,0.0008359374999360556
S3_MINUS,3,16,1,9,-1e-06,-9.993750000003178e-05,9985.937500003791,2496.484375000937,-0.000831770833284295,-0.0008317708333842066
S3_MINUS,3,16,2,12,-1e-06,-9.981250000005157e-05,9976.562500004036,2494.140625000995,-0.0008307291666175742,-0.001662369791815386
S3_MINUS,3,16,3,16,-1e-06,-9.943750000001152e-05,9960.937500002778,2490.234375000693,-0.001659505208419834,-0.001659505208481524
S3_MINUS,3,16,4,13,-1e-06,-9.981250000005156e-05,9976.562500004031,2494.140625000995,-0.001662369791753606,-0.0008307291667174302
S4_PLUS,4,13,1,9,1e-06,-0.0001001875000000671,10023.43750000406,2505.859375001007,-0.0008359375000065135,0.001670963541473878
S4_PLUS,4,13,2,12,1e-06,-0.0001000625000000246,10014.06250000349,2503.515625000872,-0.0008348958333400091,0.0008348958333208941
S4_PLUS,4,13,3,16,1e-06,-0.0001001875000000548,10023.43750000344,2505.859375000854,-0.001670963541419643,0.0008359374999873778
S4_PLUS,4,13,4,13,1e-06,-0.0001005624999999721,10039.06250000088,2509.765625000191,-0.001673828124751916,0.001673828124806199
S4_MINUS,4,13,1,9,-1e-06,-9.981250000006391e-05,9976.562500005499,2494.140625001361,0.0008307291667150745,-0.001662369791823926
S4_MINUS,4,13,2,12,-1e-06,-9.993750000004411e-05,9985.937500005719,2496.48437500142,0.0008317708333819688,-0.000831770833433803
S4_MINUS,4,13,3,16,-1e-06,-9.981250000010092e-05,9976.562500007349,2494.140625001824,0.001662369791910646,-0.0008307291667670728
S4_MINUS,4,13,4,13,-1e-06,-9.943750000002385e-05,9960.937500004708,2490.234375001175,0.001659505208576338,-0.001659505208490097
