step,input_kind,input_index,delta_m,output_index,output_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,base,0,0,1,7,-0.01464843749999994,125579.8339843747,-7848.739624023418,0,0
BASE,base,0,0,2,11,-0.01123046874999997,110626.2207031248,-13828.2775878906,0,0
BASE,base,0,0,3,15,-0.0126953125,110931.396484375,-6933.212280273435,0,0
BASE,base,0,0,4,23,-0.008789062500000038,92620.84960937512,-11577.60620117189,0,0
BASE,base,0,0,5,25,-0.009033203124999983,89874.26757812485,-22468.56689453122,0,0
BASE,base,0,0,6,27,-0.006835937500000023,77972.41210937506,-9746.551513671882,0,0
BASE,base,0,0,7,33,-0.006835937500000012,76141.35742187503,-4758.834838867189,0,0
BASE,base,0,0,8,35,-0.00830078124999995,79498.29101562471,-9937.28637695309,0,0
BASE,base,0,0,9,37,-0.004882812499999989,61492.91992187488,-3843.30749511718,0,0
T1_PLUS,tile,1,1e-06,1,7,-0.01464743749999997,125573.2324218747,-7848.327026367168,0,0
T1_PLUS,tile,1,1e-06,2,11,-0.01123021874999994,110623.6816406248,-13827.9602050781,0,0
T1_PLUS,tile,1,1e-06,3,15,-0.0126953125,110930.888671875,-6933.180541992185,0,0
T1_PLUS,tile,1,1e-06,4,23,-0.008788812500000026,92618.31054687512,-11577.28881835939,0,0
T1_PLUS,tile,1,1e-06,5,25,-0.009033140624999981,89873.29101562485,-22468.32275390622,0,0
T1_PLUS,tile,1,1e-06,6,27,-0.006835937500000023,77972.21679687506,-9746.527099609382,0,0
T1_PLUS,tile,1,1e-06,7,33,-0.006835937500000012,76140.84960937504,-4758.80310058594,0,0
T1_PLUS,tile,1,1e-06,8,35,-0.00830078124999995,79498.09570312471,-9937.26196289059,0,0
T1_PLUS,tile,1,1e-06,9,37,-0.004882812499999989,61492.88085937488,-3843.30505371093,0,0
T1_MINUS,tile,1,-1e-06,1,7,-0.01464943750000003,125586.4355468748,-7849.152221679673,0,0
T1_MINUS,tile,1,-1e-06,2,11,-0.01123071874999996,110628.7597656246,-13828.59497070308,0,0
T1_MINUS,tile,1,-1e-06,3,15,-0.0126953125,110931.9042968749,-6933.244018554682,0,0
T1_MINUS,tile,1,-1e-06,4,23,-0.008789312500000049,92623.38867187507,-11577.92358398438,0,0
T1_MINUS,tile,1,-1e-06,5,25,-0.009033265624999983,89875.24414062485,-22468.81103515622,0,0
T1_MINUS,tile,1,-1e-06,6,27,-0.006835937500000023,77972.60742187506,-9746.575927734382,0,0
T1_MINUS,tile,1,-1e-06,7,33,-0.006835937500000012,76141.86523437501,-4758.866577148438,0,0
T1_MINUS,tile,1,-1e-06,8,35,-0.00830078124999995,79498.48632812469,-9937.310791015589,0,0
T1_MINUS,tile,1,-1e-06,9,37,-0.004882812499999989,61492.95898437488,-3843.30993652343,0,0
T2_PLUS,tile,2,1e-06,1,7,-0.01464843749999994,125578.8183593751,-7848.676147460947,0,0
T2_PLUS,tile,2,1e-06,2,11,-0.01122996874999996,110623.1738281248,-13827.8967285156,0,0
T2_PLUS,tile,2,1e-06,3,15,-0.0126953125,110930.3808593749,-6933.148803710934,0,0
T2_PLUS,tile,2,1e-06,4,23,-0.008789062500000038,92620.45898437525,-11577.55737304691,0,0
T2_PLUS,tile,2,1e-06,5,25,-0.009033078124999983,89873.09570312488,-22468.27392578123,0,0
T2_PLUS,tile,2,1e-06,6,27,-0.006835937500000023,77972.02148437506,-9746.502685546882,0,0
T2_PLUS,tile,2,1e-06,7,33,-0.006835937500000012,76141.27929687506,-4758.829956054691,0,0
T2_PLUS,tile,2,1e-06,8,35,-0.00830078124999995,79498.05664062471,-9937.25708007809,0,0
T2_PLUS,tile,2,1e-06,9,37,-0.004882812499999989,61492.84179687488,-3843.30261230468,0,0
T2_MINUS,tile,2,-1e-06,1,7,-0.01464843749999994,125580.8496093747,-7848.803100585917,0,0
T2_MINUS,tile,2,-1e-06,2,11,-0.01123096874999997,110629.2675781247,-13828.65844726559,0,0
T2_MINUS,tile,2,-1e-06,3,15,-0.0126953125,110932.4121093749,-6933.275756835933,0,0
T2_MINUS,tile,2,-1e-06,4,23,-0.008789062500000038,92621.24023437513,-11577.65502929689,0,0
T2_MINUS,tile,2,-1e-06,5,25,-0.009033328124999983,89875.43945312485,-22468.85986328122,0,0
T2_MINUS,tile,2,-1e-06,6,27,-0.006835937500000023,77972.80273437506,-9746.600341796882,0,0
T2_MINUS,tile,2,-1e-06,7,33,-0.006835937500000012,76141.43554687504,-4758.83972167969,0,0
T2_MINUS,tile,2,-1e-06,8,35,-0.00830078124999995,79498.52539062471,-9937.31567382809,0,0
T2_MINUS,tile,2,-1e-06,9,37,-0.004882812499999989,61492.99804687488,-3843.31237792968,0,0
T3_PLUS,tile,3,1e-06,1,7,-0.01464843749999994,125579.3261718747,-7848.707885742169,0,0
T3_PLUS,tile,3,1e-06,2,11,-0.01123021874999997,110623.6816406248,-13827.9602050781,0,0
T3_PLUS,tile,3,1e-06,3,15,-0.01269431249999997,110924.794921875,-6932.799682617185,0,0
T3_PLUS,tile,3,1e-06,4,23,-0.008789062500000038,92620.65429687513,-11577.58178710939,0,0
T3_PLUS,tile,3,1e-06,5,25,-0.009033140624999981,89873.29101562485,-22468.32275390622,0,0
T3_PLUS,tile,3,1e-06,6,27,-0.006835687500000007,77969.87304687506,-9746.234130859382,0,0
T3_PLUS,tile,3,1e-06,7,33,-0.006835937500000012,76141.31835937506,-4758.832397460941,0,0
T3_PLUS,tile,3,1e-06,8,35,-0.00830078124999995,79498.09570312471,-9937.26196289059,0,0
T3_PLUS,tile,3,1e-06,9,37,-0.004882812499999989,61492.41210937488,-3843.27575683593,0,0
T3_MINUS,tile,3,-1e-06,1,7,-0.01464843749999994,125580.3417968747,-7848.771362304668,0,0
T3_MINUS,tile,3,-1e-06,2,11,-0.01123071874999998,110628.7597656247,-13828.59497070309,0,0
T3_MINUS,tile,3,-1e-06,3,15,-0.0126963125,110937.9980468748,-6933.624877929672,0,0
T3_MINUS,tile,3,-1e-06,4,23,-0.008789062500000038,92621.04492187512,-11577.63061523439,0,0
T3_MINUS,tile,3,-1e-06,5,25,-0.009033265624999983,89875.24414062485,-22468.81103515622,0,0
T3_MINUS,tile,3,-1e-06,6,27,-0.00683618750000002,77974.95117187494,-9746.868896484368,0,0
T3_MINUS,tile,3,-1e-06,7,33,-0.006835937500000012,76141.39648437504,-4758.83728027344,0,0
T3_MINUS,tile,3,-1e-06,8,35,-0.00830078124999995,79498.48632812469,-9937.310791015589,0,0
T3_MINUS,tile,3,-1e-06,9,37,-0.004882812499999989,61493.42773437485,-3843.339233398428,0,0
T4_PLUS,tile,4,1e-06,1,7,-0.01464843749999994,125578.3105468747,-7848.64440917967,0,0
T4_PLUS,tile,4,1e-06,2,11,-0.01123046874999997,110625.6347656248,-13828.2043457031,0,0
T4_PLUS,tile,4,1e-06,3,15,-0.0126953125,110931.279296875,-6933.204956054687,0,0
T4_PLUS,tile,4,1e-06,4,23,-0.008788312500000001,92615.26367187513,-11576.90795898439,0,0
T4_PLUS,tile,4,1e-06,5,25,-0.009033015624999977,89872.11914062487,-22468.02978515623,0,0
T4_PLUS,tile,4,1e-06,6,27,-0.006835937500000023,77971.98242187506,-9746.497802734382,0,0
T4_PLUS,tile,4,1e-06,7,33,-0.006834937499999959,76133.74023437506,-4758.358764648441,0,0
T4_PLUS,tile,4,1e-06,8,35,-0.00830053124999996,79495.36132812471,-9936.92016601559,0,0
T4_PLUS,tile,4,1e-06,9,37,-0.004882812499999989,61492.33398437488,-3843.27087402343,0,0
T4_MINUS,tile,4,-1e-06,1,7,-0.01464843749999994,125581.3574218746,-7848.834838867164,0,0
T4_MINUS,tile,4,-1e-06,2,11,-0.01123046874999997,110626.8066406247,-13828.35083007809,0,0
T4_MINUS,tile,4,-1e-06,3,15,-0.0126953125,110931.513671875,-6933.219604492185,0,0
T4_MINUS,tile,4,-1e-06,4,23,-0.008789812500000077,92626.43554687485,-11578.30444335936,0,0
T4_MINUS,tile,4,-1e-06,5,25,-0.009033390624999988,89876.41601562481,-22469.10400390621,0,0
T4_MINUS,tile,4,-1e-06,6,27,-0.006835937500000023,77972.84179687506,-9746.605224609382,0,0
T4_MINUS,tile,4,-1e-06,7,33,-0.006836937500000053,76148.97460937468,-4759.310913085917,0,0
T4_MINUS,tile,4,-1e-06,8,35,-0.008301031249999955,79501.22070312469,-9937.652587890589,0,0
T4_MINUS,tile,4,-1e-06,9,37,-0.004882812499999989,61493.50585937489,-3843.344116210931,0,0
T5_PLUS,tile,5,1e-06,1,7,-0.01464843749999994,125579.5996093748,-7848.724975585923,0,0
T5_PLUS,tile,5,1e-06,2,11,-0.01123046874999997,110625.5175781248,-13828.1896972656,0,0
T5_PLUS,tile,5,1e-06,3,15,-0.0126953125,110931.162109375,-6933.197631835935,0,0
T5_PLUS,tile,5,1e-06,4,23,-0.008789062500000038,92619.99023437538,-11577.49877929692,0,0
T5_PLUS,tile,5,1e-06,5,25,-0.009032828124999972,89871.68945312493,-22467.92236328124,0,0
T5_PLUS,tile,5,1e-06,6,27,-0.006835937500000023,77971.55273437507,-9746.444091796884,0,0
T5_PLUS,tile,5,1e-06,7,33,-0.006835937500000012,76140.18554687535,-4758.761596679709,0,0
T5_PLUS,tile,5,1e-06,8,35,-0.008300281249999941,79494.77539062478,-9936.8469238281,0,0
