stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
1,0.1,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,99999999.99999999,3.725290298461914e-09,-1.490116119384766e-08,1.368283991718485e-09,1.303127611160462e-09,2.606255222320924e-09,0.0005,-0.00015,-0.0001500000000000001,1.778769189234031e-20,1.694065894508601e-20,3.388131789017201e-20,0.0005,-0.00015,-0.0001500000000000001,1.778769189234031e-20,1.694065894508601e-20,3.388131789017201e-20,0,0,0,0,0,0,0,0.1250000000000001
1,0.1,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,99999999.99999999,-3.725290298461914e-09,-2.235174179077148e-08,1.628909513950578e-09,2.085004177856739e-09,-1.172814850044416e-09,0.0005,-0.00015,-0.0001500000000000001,2.117582368135751e-20,2.710505431213761e-20,-1.524659305057741e-20,0.0005,-0.00015,-0.0001500000000000001,2.117582368135751e-20,2.710505431213761e-20,-1.524659305057741e-20,0,0,0,0,0,0,0,0.125
1,0.1,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,99999999.99999994,-1.862645149230957e-08,-1.490116119384766e-08,5.733761489106032e-09,0,-5.212510444641848e-09,0.0004999999999999998,-0.00015,-0.00015,7.453889935837843e-20,0,-6.776263578034403e-20,0.0004999999999999998,-0.00015,-0.00015,7.453889935837843e-20,0,-6.776263578034403e-20,0,0,0,0,0,0,0,0.1250000000000001
1,0.1,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,99999999.99999994,-1.862645149230957e-08,-1.490116119384766e-08,5.733761489106032e-09,4.170008355713478e-09,-1.628909513950578e-08,0.0004999999999999998,-0.00015,-0.00015,7.453889935837843e-20,5.421010862427522e-20,-2.117582368135751e-19,0.0004999999999999998,-0.00015,-0.00015,7.453889935837843e-20,5.421010862427522e-20,-2.117582368135751e-19,0,0,0,0,0,0,0,0.125
1,0.1,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,99999999.99999997,-1.862645149230957e-08,-2.235174179077148e-08,-1.563753133392555e-09,2.345629700088832e-09,1.146752297821206e-08,0.0005,-0.00015,-0.0001500000000000001,-2.032879073410321e-20,3.049318610115481e-20,1.490777987167569e-19,0.0005,-0.00015,-0.0001500000000000001,-2.032879073410321e-20,3.049318610115481e-20,1.490777987167569e-19,0,0,0,0,0,0,0,0.125
1,0.1,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,99999999.99999999,-2.60770320892334e-08,-7.450580596923828e-09,-1.563753133392555e-09,2.085004177856739e-09,9.382518800355326e-09,0.0005,-0.0001500000000000001,-0.00015,-2.032879073410321e-20,2.710505431213761e-20,1.219727444046192e-19,0.0005,-0.0001500000000000001,-0.00015,-2.032879073410321e-20,2.710505431213761e-20,1.219727444046192e-19,0,0,0,0,0,0,0,0.125
1,0.1,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,99999999.99999999,-1.117587089538574e-08,7.450580596923828e-09,-4.170008355713478e-09,1.04250208892837e-09,7.297514622498587e-09,0.0005,-0.0001500000000000001,-0.00015,-5.421010862427522e-20,1.355252715606881e-20,9.486769009248164e-20,0.0005,-0.0001500000000000001,-0.00015,-5.421010862427522e-20,1.355252715606881e-20,9.486769009248164e-20,0,0,0,0,0,0,0,0.125
1,0.1,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,100000000,-1.862645149230957e-08,1.490116119384766e-08,-6.255012533570218e-09,8.340016711426957e-09,-3.388131789017201e-09,0.0005,-0.0001500000000000001,-0.0001499999999999999,-8.131516293641283e-20,1.084202172485504e-19,-4.404571325722362e-20,0.0005,-0.0001500000000000001,-0.0001499999999999999,-8.131516293641283e-20,1.084202172485504e-19,-4.404571325722362e-20,0,0,0,0,0,0,0,0.125
2,0.2,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,201980198.0198025,1.490116119384766e-08,7.450580596923828e-08,-2.048345067776327e-09,-3.668677733330736e-09,-2.690363671109207e-09,0.002,-0.0007980198019801978,-0.0007980198019801975,-5.675120746603812e-20,-1.01643953670516e-19,-7.453889935837843e-20,0.001009900990099012,-0.0003029702970297037,-0.0003029702970297034,-2.662848588109226e-20,-4.769281053329957e-20,-3.497472772441968e-20,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504941,-3.012272158494586e-20,-5.395114313721647e-20,-3.956417163395875e-20,0.0009900990099012098,0.1250000000000001
2,0.2,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,201980198.0198025,4.470348358154297e-08,7.450580596923828e-08,-9.477417477771066e-10,-8.560248044438384e-10,2.140062011109596e-09,0.002,-0.0007980198019801977,-0.0007980198019801976,-2.625802136488331e-20,-2.371692252312041e-20,5.929230630780102e-20,0.001009900990099012,-0.0003029702970297036,-0.0003029702970297035,-1.232064272110239e-20,-1.11283224577699e-20,2.782080614442475e-20,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504941,-1.393737864378093e-20,-1.258860006535051e-20,3.147150016337627e-20,0.0009900990099012098,0.125
2,0.2,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,201980198.0198025,5.960464477539062e-08,7.450580596923828e-08,-6.114462888884558e-09,9.783140622215294e-10,-4.402413279996882e-09,0.002,-0.0007980198019801974,-0.0007980198019801976,-1.694065894508601e-19,2.710505431213761e-20,-1.219727444046192e-19,0.001009900990099012,-0.0003029702970297035,-0.0003029702970297033,-7.948801755549928e-20,1.271808280887988e-20,-5.723137263995948e-20,0.0009900990099009879,-0.0004950495049504939,-0.0004950495049504943,-8.991857189536079e-20,1.438697150325773e-20,-6.474137176465977e-20,0.0009900990099012102,0.1250000000000001
2,0.2,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,201980198.0198025,1.490116119384766e-08,4.470348358154297e-08,-6.114462888884559e-09,1.076145468443683e-08,4.218979393330343e-09,0.002,-0.0007980198019801977,-0.0007980198019801975,-1.694065894508601e-19,2.981555974335137e-19,1.168905467210934e-19,0.001009900990099012,-0.0003029702970297036,-0.0003029702970297036,-7.948801755549929e-20,1.398989108976787e-19,5.484673211329451e-20,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504939,-8.991857189536078e-20,1.58256686535835e-19,6.204381460779894e-20,0.0009900990099012098,0.125
2,0.2,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,201980198.0198025,1.490116119384766e-08,7.450580596923828e-08,-2.445785155553824e-10,-1.455242167554525e-08,-1.418555390221217e-08,0.002,-0.0007980198019801978,-0.0007980198019801975,-6.776263578034403e-21,-4.03187682893047e-19,-3.930232875259954e-19,0.001009900990099012,-0.0003029702970297037,-0.0003029702970297034,-3.179520702219972e-21,-1.891814817820883e-19,-1.844122007287583e-19,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504941,-3.59674287581443e-21,-2.140062011109587e-19,-2.08611086797237e-19,0.0009900990099012098,0.125
