stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.1,1,1,0.2116998154153679,0.2112010646313973,0.2112010646313974,600,300351808.0511637,-1.387298107147217e-05,-1.387298107147217e-05,-1.184366140392023e-08,-4.737175915777338e-09,6.687242889389908e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767943,-0.0004505277120767943,-1.539675982509629e-19,-6.15832869051054e-20,8.693415756206881e-20,0.000270950996092761,-0.0001354754980463805,-0.0001354754980463805,-3.205293028464916e-20,-1.282039094129044e-20,1.809792789746442e-20,0.000270950996092761,0.1250751105426907
1,0.1,1,2,0.7900744670831162,0.2112010646313973,0.2112010646313974,600,300351808.0511638,-1.384317874908447e-05,-1.384317874908447e-05,-4.955766767017275e-08,-1.122569458556216e-09,-5.339008435883878e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767941,-0.0004505277120767944,-6.44249679712246e-19,-1.45934029612309e-20,-6.940710966649042e-20,0.0002709509960927612,-0.0001354754980463806,-0.0001354754980463806,-1.341197128766345e-19,-3.038050427789907e-21,-1.444915211168531e-20,0.0002709509960927612,0.1250751105426906
1,0.1,1,3,0.2116998154153679,0.7882131038170231,0.2112010646313974,600,300351808.0511637,-1.387298107147217e-05,-1.387298107147217e-05,-6.215252466468172e-10,4.976217786248949e-09,5.177220301463156e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.00150175904025586,-0.0004505277120767941,-0.000450527712076794,-8.079828206408607e-21,6.469083122123634e-20,6.730386391902102e-20,0.000270950996092761,-0.0001354754980463805,-0.0001354754980463805,-1.682056310249276e-21,1.346731862252274e-20,1.401129901739182e-20,0.000270950996092761,0.1250751105426907
1,0.1,1,4,0.7900744670831161,0.7882131038170231,0.2112010646313974,600,300351808.0511638,-1.382827758789062e-05,-1.385807991027832e-05,-3.833553151289935e-08,6.278346601063814e-08,-2.383678513798661e-08,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.00150175904025586,-0.0004505277120767941,-0.0004505277120767943,-4.983619096676917e-19,8.161850581382958e-19,-3.09878206793826e-19,0.000270950996092761,-0.0001354754980463804,-0.0001354754980463805,-1.037488389022346e-19,1.69913170466147e-19,-6.451035589257479e-20,0.000270950996092761,0.1250751105426907
1,0.1,1,5,0.2116998154153679,0.2112010646313973,0.7882131038170231,600,300351808.0511638,-1.384317874908447e-05,-1.384317874908447e-05,-1.305236216243375e-09,-1.761904489974794e-08,1.617881344207236e-08,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767944,-0.0004505277120767943,-1.696807081116387e-20,-2.290475836967232e-19,2.103245747469407e-19,0.0002709509960927611,-0.0001354754980463805,-0.0001354754980463805,-3.532408097246035e-21,-4.768306004313798e-20,4.378530942934942e-20,0.0002709509960927611,0.1250751105426907
1,0.1,1,6,0.7900744670831161,0.2112010646313974,0.7882131038170231,600,300351808.0511638,-1.384317874908447e-05,-1.384317874908447e-05,-4.642284477681287e-10,-1.400443844252683e-08,-1.941457613048682e-09,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767943,-0.0004505277120767943,-6.034969820985686e-21,-1.820576997528488e-19,-2.523894896963288e-20,0.0002709509960927612,-0.0001354754980463806,-0.0001354754980463806,-1.256358280179942e-21,-3.790071952963752e-20,-5.254237131521933e-21,0.0002709509960927612,0.1250751105426906
1,0.1,1,7,0.2116998154153679,0.7882131038170231,0.788213103817023,600,300351808.0511637,-1.394748687744141e-05,-1.390278339385986e-05,-7.784329305990978e-09,-1.50405250329043e-08,1.208018070341403e-08,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767944,-0.0004505277120767943,-1.011962809778827e-19,-1.955268254277559e-19,1.570423491443824e-19,0.0002709509960927611,-0.0001354754980463806,-0.0001354754980463806,-2.106701264484754e-20,-4.070471823558132e-20,3.269303104058091e-20,0.0002709509960927611,0.1250751105426906
1,0.1,1,8,0.7900744670831162,0.7882131038170231,0.7882131038170231,600,300351808.0511637,-1.390278339385986e-05,-1.390278339385986e-05,-6.943321537515731e-09,3.19816884204276e-08,-2.049316369329165e-08,0.001772710318677929,-0.0005860032179312715,-0.0005860032179312715,0,0,0,0.001501759040255861,-0.0004505277120767943,-0.0004505277120767944,-9.026317998770452e-20,4.157619494655589e-19,-2.664111280127915e-19,0.0002709509960927612,-0.0001354754980463806,-0.0001354754980463806,-1.879096282778145e-20,8.655320296357253e-20,-5.546139194384262e-20,0.0002709509960927612,0.1250751105426906
2,0.2,1,1,0.2117573165225726,0.2111724048712328,0.2111724048712328,600,300433338.4861706,0.4860707819461823,0.4860706776380539,2.952577230887266e-08,1.732091983023623e-08,-5.466108075323944e-09,0.002044289674514469,-0.0007217113638159495,-0.0007217113638159495,0,0,0,0.001502166690972641,-0.0004506500060280084,-0.0004506500060280086,3.838350400153446e-19,2.25171957793071e-19,-7.105940497921128e-20,0.0005421226995431622,-0.0002710613497715811,-0.0002710613497715812,4.742342766114033e-20,3.388954386306513e-20,3.296769198867246e-21,0.0005421226995431622,0.1250751309379486
2,0.2,1,2,0.7902890641366953,0.2111724048712328,0.2111724048712328,600,300433338.4861705,0.4860707819461823,0.4860707372426987,1.525585507750405e-07,8.89855358788013e-08,1.418525675350177e-08,0.002044289674514469,-0.0007217113638159495,-0.0007217113638159495,0,0,0,0.001502166690972641,-0.0004506500060280085,-0.0004506500060280087,1.983261160075528e-18,1.156811966424417e-18,1.84408337795523e-19,0.0005421226995431625,-0.0002710613497715812,-0.0002710613497715812,2.775188665294585e-19,2.372864699908165e-19,2.396176722903483e-20,0.0005421226995431625,0.1250751309379485
