stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
1,0.1,1,600,8.496479302067652e-36,-4.130998094812973e-36,-4.130998085425368e-36,3.01109453786054e-15,-75000000.00000636,3.472291135285123e-06,3.46415785781329e-06
1,0.1,2,600,0.001774282498484152,-4.130998077751069e-36,-4.130998080964203e-36,0,0,3.461564375378441e-06,3.470163314137582e-06
1,0.1,3,600,0.00177428249848415,-0.0005858315515794904,-4.130998086153386e-36,0,0,0,3.469151966674191e-06
1,0.1,4,600,8.496479313278039e-36,-0.0005858315515794908,-4.130998078613196e-36,2.785186023615619e-15,-75000000.00000633,0,3.462491078383303e-06
1,0.1,5,600,8.496479313278039e-36,-4.130998085939907e-36,-0.0005858315515794908,-7.301632586472287e-15,-75000000.00000633,3.470868062142033e-06,0
1,0.1,6,600,0.001774282498484151,-4.130998080914938e-36,-0.0005858315515794909,0,0,3.463685365961134e-06,0
1,0.1,7,600,0.001774282498484152,-0.0005858315515794909,-0.000585831551579491,0,0,0,0
1,0.1,8,600,8.496479302067652e-36,-0.0005858315515794906,-0.0005858315515794902,1.685551947219544e-15,-75000000.0000063,0,0
2,0.2,1,600,7.947092563059945e-33,-5.278704946476376e-34,-5.27870494664174e-34,5.278404859635377e-15,-74999999.74963288,-0.1216785117954026,-0.1216784930281453
2,0.2,2,600,0.002046380659267768,-5.278704946768186e-34,-5.2787049466742e-34,0,0,-0.1216784822816216,-0.1216784889416854
2,0.2,3,600,0.002046380659267772,-0.0007214509928109193,-5.278704946578956e-34,0,0,0,-0.1216784936383289
2,0.2,4,600,7.947092563048735e-33,-0.000721450992810918,-5.278704946797826e-34,-2.81426217823072e-15,-74999999.74963284,0,-0.1216784763502554
2,0.2,5,600,7.947092563044531e-33,-5.27870494659784e-34,-0.0007214509928109188,-3.517936285178835e-15,-74999999.74963285,-0.1216784962006933,0
2,0.2,6,600,0.002046380659267771,-5.278704946659694e-34,-0.0007214509928109196,0,0,-0.1216784875248989,0
2,0.2,7,600,0.002046380659267769,-0.0007214509928109189,-0.0007214509928109184,0,0,0,0
2,0.2,8,600,7.947092563059945e-33,-0.0007214509928109187,-0.0007214509928109189,-1.24116909423456e-16,-74999999.74963287,0,0
3,0.3,1,600,7.95680253279598e-33,-5.282578600746938e-34,-5.282578600723127e-34,-1.665836695405937e-14,-74999999.74896322,-0.1220525644619255,-0.1220525523480566
3,0.3,2,600,0.002318774761040972,-5.282578600849572e-34,-5.282578600804632e-34,0,0,-0.1220525436647217,-0.1220525413430907
3,0.3,3,600,0.002318774761040974,-0.0008571626076283917,-5.282578600870537e-34,0,0,0,-0.1220525387456771
3,0.3,4,600,7.956802532809993e-33,-0.0008571626076283897,-5.282578600774116e-34,-5.710055351915244e-15,-74999999.74896322,0,-0.1220525532335522
3,0.3,5,600,7.95680253280719e-33,-5.282578600756298e-34,-0.0008571626076283903,1.975359948416642e-14,-74999999.74896322,-0.122052559312062,0
3,0.3,6,600,0.002318774761040974,-5.282578600867198e-34,-0.0008571626076283915,0,0,-0.1220525405834092,0
3,0.3,7,600,0.002318774761040975,-0.0008571626076283913,-0.0008571626076283913,0,0,0,0
3,0.3,8,600,7.956802532819802e-33,-0.0008571626076283899,-0.0008571626076283898,3.265961149052249e-15,-74999999.74896324,0,0
4,0.4,1,600,7.966436539889683e-33,-5.285973976367278e-34,-5.285973976427545e-34,-4.836783338562795e-15,-74999999.7482997,-0.122423946469154,-0.1224239487969413
4,0.4,2,600,0.002591465361128671,-5.285973976357808e-34,-5.285973976256816e-34,0,0,-0.1224239368249232,-0.1224239393865794
4,0.4,3,600,0.002591465361128672,-0.0009929665307933874,-5.28597397634374e-34,0,0,0,-0.1224239349091386
4,0.4,4,600,7.966436539895288e-33,-0.0009929665307933861,-5.285973976408468e-34,-4.401983595957461e-15,-74999999.74829966,0,-0.1224239409870058
4,0.4,5,600,7.966436539888281e-33,-5.285973976271541e-34,-0.0009929665307933867,2.366968559261163e-15,-74999999.74829966,-0.1224239514663223,0
4,0.4,6,600,0.002591465361128672,-5.285973976333395e-34,-0.0009929665307933874,0,0,-0.1224239339758785,0
4,0.4,7,600,0.002591465361128674,-0.0009929665307933874,-0.0009929665307933874,0,0,0,0
4,0.4,8,600,7.966436539882676e-33,-0.0009929665307933859,-0.0009929665307933859,6.165436077453572e-15,-74999999.74829967,0,0
5,0.5,1,600,7.976089761401555e-33,-5.28936685250556e-34,-5.289366852502768e-34,-1.305249431408709e-14,-74999999.74763392,-0.1227967232618521,-0.1227967223687583
