step,node,temperature_k,reaction_heat_flux_w,u1_m,reaction_force_x_n
BASE,1,400,-1.651606165741816e-14,0.1099999994039536,3.665902070792981e-08
BASE,2,400,1750,0.1099999994039536,250
BASE,3,400,1750,0.1099999994039536,250
BASE,4,400,2.203448850855998e-15,0.1099999994039536,5.105943046146422e-08
BASE,5,400,-1.902300897778072e-15,0.1099999994039536,-4.03249238445369e-08
BASE,6,400,1750,0.1099999994039536,250
BASE,7,400,1750,0.1099999994039536,250
BASE,8,400,3.00927021474294e-14,0.1099999994039536,-4.739352732485713e-08
BASE,9,300,-1750,2.499975034182867e-34,-250
BASE,10,300,-3.076355901791838e-15,0,-1.499984932486648e-23
BASE,11,300,1.131569356038796e-14,0,-1.499984932486648e-23
BASE,12,300,-1750,2.499975034182867e-34,-250
BASE,13,300,-1750,2.499975034182867e-34,-250
BASE,14,300,8.441626067059397e-15,0,-1.499984932486648e-23
BASE,15,300,-1.765240887220253e-14,0,-1.499984932486648e-23
BASE,16,300,-1750,2.499975034182867e-34,-250
GAP_PLUS,1,400,-1.651606165741816e-14,0.1099900007247925,3.666728787266038e-08
GAP_PLUS,2,400,1749.5,0.1099900007247925,249.75
GAP_PLUS,3,400,1749.5,0.1099900007247925,249.75
GAP_PLUS,4,400,2.203448850855998e-15,0.1099900007247925,5.10623152649714e-08
GAP_PLUS,5,400,-1.902300897778072e-15,0.1099900007247925,-4.033386247215276e-08
GAP_PLUS,6,400,1749.5,0.1099900007247925,249.75
GAP_PLUS,7,400,1749.5,0.1099900007247925,249.75
GAP_PLUS,8,400,3.00927021474294e-14,0.1099900007247925,-4.739574066547902e-08
GAP_PLUS,9,300,-1749.5,2.497500067561409e-34,-249.75
GAP_PLUS,10,300,-3.076355901791838e-15,-0,-1.49849998071866e-23
GAP_PLUS,11,300,1.131569356038796e-14,-0,-1.49849998071866e-23
GAP_PLUS,12,300,-1749.5,2.497500067561409e-34,-249.75
GAP_PLUS,13,300,-1749.5,2.497500067561409e-34,-249.75
GAP_PLUS,14,300,8.441626067059397e-15,-0,-1.49849998071866e-23
GAP_PLUS,15,300,-1.765240887220253e-14,-0,-1.49849998071866e-23
GAP_PLUS,16,300,-1749.5,2.497500067561409e-34,-249.75
GAP_MINUS,1,400,-1.651606165741816e-14,0.1100099980831146,3.665075354319924e-08
GAP_MINUS,2,400,1750.5,0.1100099980831146,250.25
GAP_MINUS,3,400,1750.5,0.1100099980831146,250.25
GAP_MINUS,4,400,2.203448850855998e-15,0.1100099980831146,5.105654210524335e-08
GAP_MINUS,5,400,-1.902300897778072e-15,0.1100099980831146,-4.031598166420736e-08
GAP_MINUS,6,400,1750.5,0.1100099980831146,250.25
GAP_MINUS,7,400,1750.5,0.1100099980831146,250.25
GAP_MINUS,8,400,3.00927021474294e-14,0.1100099980831146,-4.739131043152156e-08
GAP_MINUS,9,300,-1750.5,2.502500051149731e-34,-250.25
GAP_MINUS,10,300,-3.076355901791838e-15,0,-1.501500018741216e-23
GAP_MINUS,11,300,1.131569356038796e-14,0,-1.501500018741216e-23
GAP_MINUS,12,300,-1750.5,2.502500051149731e-34,-250.25
GAP_MINUS,13,300,-1750.5,2.502500051149731e-34,-250.25
GAP_MINUS,14,300,8.441626067059397e-15,0,-1.501500018741216e-23
GAP_MINUS,15,300,-1.765240887220253e-14,0,-1.501500018741216e-23
GAP_MINUS,16,300,-1750.5,2.502500051149731e-34,-250.25
SECONDARY_PLUS,1,401,1.895390379477897e-14,0.1099999994039536,3.665826397991623e-08
SECONDARY_PLUS,2,401,1768.762451171875,0.1099999994039536,250
SECONDARY_PLUS,3,401,1768.762451171875,0.1099999994039536,250
SECONDARY_PLUS,4,401,-3.833695736167993e-16,0.1099999994039536,5.105660605408957e-08
SECONDARY_PLUS,5,401,-2.990122865563667e-14,0.1099999994039536,-4.032416711652331e-08
SECONDARY_PLUS,6,401,1768.762451171875,0.1099999994039536,250
SECONDARY_PLUS,7,401,1768.762451171875,0.1099999994039536,250
SECONDARY_PLUS,8,401,3.741805102187314e-16,0.1099999994039536,-4.739070291748249e-08
SECONDARY_PLUS,9,300,-1768.762451171875,2.50000005935557e-34,-250
SECONDARY_PLUS,10,300,-3.076355901791838e-15,-0,-1.500000078616029e-23
SECONDARY_PLUS,11,300,1.131569356038796e-14,-0,-1.500000078616029e-23
SECONDARY_PLUS,12,300,-1768.762451171875,2.50000005935557e-34,-250
SECONDARY_PLUS,13,300,-1768.762451171875,2.50000005935557e-34,-250
SECONDARY_PLUS,14,300,8.441626067059397e-15,-0,-1.500000078616029e-23
SECONDARY_PLUS,15,300,-1.765240887220253e-14,-0,-1.500000078616029e-23
SECONDARY_PLUS,16,300,-1768.762451171875,2.50000005935557e-34,-250
SECONDARY_MINUS,1,399,-3.625083496187551e-14,0.1099999994039536,3.665826397991623e-08
SECONDARY_MINUS,2,399,1731.262451171875,0.1099999994039536,250
SECONDARY_MINUS,3,399,1731.262451171875,0.1099999994039536,250
SECONDARY_MINUS,4,399,5.496171822782364e-14,0.1099999994039536,5.105660605408957e-08
SECONDARY_MINUS,5,399,1.561687350346962e-14,0.1099999994039536,-4.032416711652331e-08
SECONDARY_MINUS,6,399,1731.262451171875,0.1099999994039536,250
SECONDARY_MINUS,7,399,1731.262451171875,0.1099999994039536,250
SECONDARY_MINUS,8,399,-9.826522394721336e-15,0.1099999994039536,-4.739070291748249e-08
SECONDARY_MINUS,9,300,-1731.262451171875,2.50000005935557e-34,-250
SECONDARY_MINUS,10,300,-3.076355901791838e-15,0,-1.500000078616029e-23
SECONDARY_MINUS,11,300,1.131569356038796e-14,0,-1.500000078616029e-23
SECONDARY_MINUS,12,300,-1731.262451171875,2.50000005935557e-34,-250
