increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.810272455215454,2.810260772705078,0,1.172626798506826e-05,0,2.577973365783691,12824.73473447173
2,0.03999999910593033,11.25293064117432,11.25263690948486,0,0.0002935522061306983,0,10.34780597686768,13149.97946304763
3,0.05999999865889549,25.35530090332031,25.35341835021973,0,0.001881819218397141,0,23.38540649414062,13475.74277002059
4,0.07999999821186066,45.15584182739258,45.14867782592773,0,0.007164590526372194,0,41.76560592651367,13802.03293417476
5,0.1000000014901161,70.70233917236328,70.68187713623047,0,0.02046539820730686,0.001457885140553117,65.56240844726562,14128.85791677439
6,0.119999997317791,101.9146575927734,101.8660659790039,0,0.04858814552426338,0.9326315522193909,94.72031402587891,14456.21618689001
7,0.1400000005960464,138.8691864013672,138.7677764892578,0,0.1014142856001854,2.02727484703064,129.1921997070312,14784.11361784195
8,0.1599999964237213,181.5959777832031,181.4035034179688,0,0.1924854069948196,3.2785325050354,168.9919128417969,15112.5560878116
9,0.1800000071525574,230.2359313964844,229.7703704833984,0.1261216998100281,0.3394467234611511,4.679012775421143,214.2417602539062,15441.55578603456
10,0.2000000029802322,295.4470520019531,282.4412231445312,12.45168018341064,0.5541699528694153,6.029439926147461,275.4690551757812,15771.67776593835
