increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.01999999955296516,1,1,0.1056489511285753,0.2113222405288007,0.2113219966240277,300,-2.090985748381957e-05,-2.162515166936885e-09,-1.092454460227543e-09,-16259.62482231164,-3306.71372143274,-3296.515156778297,-1229.864687971055,-1305.405740880463,15.27728183235851,-0.0001200896748502269,1.807520218690712e-05,1.818401726456165e-05,-2.623549048192454e-05,-2.784682560214804e-05,3.262521160886328e-07,-0.0001200893394701046,1.807504560593703e-05,1.818383029558442e-05,-2.623711334338251e-05,-2.784865580544988e-05,3.259153457569815e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614225
1,0.01999999955296516,1,2,0.3942872533782093,0.2113150692331549,0.2113141589681501,300.0000006966923,-2.090985688887487e-05,-8.070957657829419e-09,-4.07394743224432e-09,-18072.92795627293,-2413.993094069609,-2375.932636906507,-1408.31078570443,-1394.599482615896,57.01393778935412,-0.000139431567208553,2.759754913890133e-05,2.800356267018803e-05,-3.004231256694762e-05,-2.974939733989339e-05,1.216627748123638e-06,-0.000139431239677614,2.759739894952769e-05,2.800337715950314e-05,-3.004396344580401e-05,-2.975145564641212e-05,1.216297340212376e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614222
1,0.01999999955296516,1,3,0.1056481466008785,0.7886786095999789,0.2113221221173284,300,-2.092167485256979e-05,-2.163171308744438e-09,-1.092006485237107e-09,-16721.97250161164,-3055.142769135869,-3085.738429775175,1476.388155638939,-1249.763664502807,5.080583766917689,-0.0001250214838069977,2.075874181598527e-05,2.04322865917801e-05,3.149378463741597e-05,-2.665978564028007e-05,1.079583929355194e-07,-0.0001250210480493046,2.075846909710368e-05,2.043211538361774e-05,3.14962806536307e-05,-2.666162484272655e-05,1.083857870275774e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614225
1,0.01999999955296516,1,4,0.3942842508399688,0.7886881034906429,0.2113146273155241,300.0000006973653,-2.092167474725575e-05,-8.070315255036778e-09,-4.073857920515639e-09,-18498.12640219545,-2125.272985028944,-2239.454300011822,1297.901949839823,-1339.03788537508,18.96045789715883,-0.0001439671176630295,3.067734642845269e-05,2.945931583529572e-05,2.768525992151818e-05,-2.856411124209888e-05,4.04056800301172e-07,-0.0001439666897701981,3.067708011440337e-05,2.945914608721156e-05,2.768857494600711e-05,-2.856614157126924e-05,4.044897687077861e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614223
1,0.01999999955296516,1,5,0.1056485489497281,0.211322303220729,0.7886784284982089,300,-2.091582332663933e-05,-2.16272999509215e-09,-1.092219648057835e-09,-16490.7478719215,-3201.350812538541,-3170.755016062639,-1202.082039639015,1428.706849015255,-5.116046426686897,-0.0001225550387767561,1.919906593759441e-05,1.952551744013423e-05,-2.564279355324793e-05,3.047681673558596e-05,-1.095207478576958e-07,-0.0001225546519992764,1.919891663414183e-05,1.952527179655144e-05,-2.564441684563231e-05,3.047907944565878e-05,-1.091423237693205e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614223
1,0.01999999955296516,1,6,0.3942857524263177,0.2113153032026168,0.7886874276096364,300.0000006970321,-2.09158229348767e-05,-8.070672469292513e-09,-4.073643508692502e-09,-18285.47625551729,-2345.779609857171,-2231.597821868113,-1380.607422488589,1339.472386631671,-19.09279691065692,-0.0001416988004535838,2.832515235237536e-05,2.954319270258388e-05,-2.945132704832994e-05,2.857252613533768e-05,-4.076970035635977e-07,-0.000141698421537592,2.832500944820903e-05,2.954294852079977e-05,-2.945295836353129e-05,2.85754109314073e-05,-4.073130009972729e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614222
1,0.01999999955296516,1,7,0.1056477440721275,0.7886785466877173,0.7886783027845983,300,-2.092764127326063e-05,-2.162803269811775e-09,-1.09155351424306e-09,-16953.30440973522,-2949.675430984795,-2959.873859802667,1448.451306632443,1372.910582232753,-15.31284711388125,-0.000127489070717951,2.188371705846846e-05,2.177489826060849e-05,3.089778180741535e-05,2.928647109175287e-05,-3.261903990251221e-07,-0.0001274885884026228,2.18834540373818e-05,2.177467079665783e-05,3.090029454149212e-05,2.928875908763205e-05,-3.266740717628e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614222
1,0.01999999955296516,1,8,0.3942827485822185,0.7886878686988867,0.7886869584400547,300.0000006977051,-2.092764130118463e-05,-8.070554230545739e-09,-4.073379969504589e-09,-18710.88366020068,-2056.955021436031,-2095.015005593039,1269.888202729942,1283.600415766207,-57.14671631885999,-0.0001462365749628685,3.140606166924036e-05,3.100005789440574e-05,2.708763054587974e-05,2.738059639944702e-05,-1.21865266126687e-06,-0.0001462361005236292,3.140580505981175e-05,3.099983189523428e-05,2.709094834065668e-05,2.738347555226709e-05,-1.219129948844508e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249476081614222
1,0.01999999955296516,2,1,0.60558352165602,0.2113142482214088,0.2113125645839954,300.0000006966923,-0.001759226309851445,-1.094041644631059e-06,-5.520645445666161e-07,-17462.40712453244,397.4133505029222,444.4190598614723,436.2528562204167,383.4263825178368,70.6287846024257,-0.000147484185018918,4.302071505048286e-05,4.352208447789654e-05,9.304354627054631e-06,8.178232008072739e-06,1.506835156907927e-06,-0.0001474843350809132,4.302041676339993e-05,4.35218109968489e-05,9.30672760477216e-06,8.179762831796166e-06,1.506747405726531e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249619127946243
1,0.01999999955296516,2,2,0.8942173597910791,0.2113191764712504,0.2113160463013559,300.0000592218419,-0.001759226343607781,-4.023776007725813e-06,-2.030580752443377e-06,-17025.01200734657,180.4177457350729,224.0203580447997,286.2004005874154,308.4645995235222,66.06478554898779,-0.0001428186272154153,4.070608038899481e-05,4.117116133654227e-05,6.103028884079495e-06,6.578955453118335e-06,1.409454944156071e-06,-0.0001428187960183679,4.070579707172328e-05,4.117089162598017e-05,6.10560884718603e-06,6.58057844793012e-06,1.409382161266912e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624961912794624
1,0.01999999955296516,2,3,0.6055790381417592,0.7886919072165366,0.2113131444897916,300.0000006973653,-0.001765086892918845,-1.094086728689465e-06,-5.532291850477398e-07,-17799.82943142933,660.264121899957,518.9905953706475,-218.1965906117019,377.0174832713897,23.55630418188273,-0.0001510832850759262,4.582438618142542e-05,4.431751340432952e-05,-4.655936534270666e-06,8.041491263987148e-06,5.0253908481384e-07,-0.0001510835063566761,4.582415832660005e-05,4.431724070941168e-05,-4.654860602421424e-06,8.043039647797094e-06,5.025344895055401e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624961912794624
1,0.01999999955296516,2,4,0.8942110281856295,0.7886928052982731,0.2113165881363559,300.0000595600436,-0.001765086970495627,-4.023840313919439e-06,-2.034859495794521e-06,-17366.743340032,438.9594579140557,307.2099832355061,-368.2517979688422,301.7985239499891,22.22333181548611,-0.0001464636904263064,4.346378835613723e-05,4.205851658008474e-05,-7.857380025553577e-06,6.436722271645608e-06,4.740871929189337e-07,-0.0001464639304657807,4.346357547238599e-05,4.205824767273031e-05,-7.85603874659031e-06,6.438368830491043e-06,4.740977689281069e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249619127946239
1,0.01999999955296516,2,5,0.6055812805887978,0.2113145382319501,0.788690513097783,300.0000006970321,-0.001762183897018347,-1.09520610784641e-06,-5.520761378937929e-07,-17630.94767753605,434.6136485053307,575.7593148673759,433.0746833843639,-274.4241873870283,-23.51586485481804,-0.0001492819149814197,4.341751767961822e-05,4.492301181148199e-05,9.236537009201022e-06,-5.854568441883023e-06,-5.017025106842186e-07,-0.0001492821009807154,4.341721994232399e-05,4.492277371772699e-05,9.238926584232954e-06,-5.854382667657182e-06,-5.016717838608527e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249619127946242
1,0.01999999955296516,2,6,0.8942141954642148,0.2113194483113348,0.7886899436967382,300.0000593924572,-0.001762183953891453,-4.028056236243951e-06,-2.03059636296931e-06,-17195.7072746142,221.9274925872178,353.2058808233933,282.7650854552316,-349.3884210678965,-21.618396627396,-0.0001446393408743921,4.114885045909783e-05,4.254910492440941e-05,6.029720045200611e-06,-7.453947292203406e-06,-4.612383654718559e-07,-0.0001446395456518248,4.114856772700083e-05,4.254887060415955e-05,6.032322121606968e-06,-7.453620018355798e-06,-4.61192484210577e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624961912794624
