increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.788336753845215,2.788326263427734,0,1.029464510793332e-05,0,2.785778284072876,6702.480095511722
2,0.03999999910593033,11.25433540344238,11.25407409667969,0,0.0002606131020002067,0,11.28341293334961,7147.565777310105
3,0.05999999865889549,25.60783576965332,25.60614204406738,0,0.001694351085461676,0,25.75262451171875,7585.796686352283
4,0.07999999821186066,46.07684707641602,46.0703010559082,0,0.00654864776879549,0,46.38904190063477,8017.672633356576
5,0.1000000014901161,72.87525177001953,72.85626220703125,0,0.01899177394807339,0,73.34368133544922,8443.656806266898
6,0.119999997317791,106.1939010620117,106.1480941772461,0,0.04581008851528168,0,106.7363204956055,8864.178713330466
7,0.1400000005960464,146.2006225585938,146.1035003662109,0,0.09713610261678696,0,146.6649780273438,9279.63688205566
8,0.1599999964237213,193.0433654785156,192.8561553955078,0,0.1872106343507767,0,193.2126922607422,9690.401333576396
9,0.1800000071525574,248.4355163574219,246.3099670410156,1.790858387947083,0.3346964418888092,0,247.8091888427734,10096.8175359346
10,0.2000000029802322,332.5569763183594,304.4324951171875,27.56549453735352,0.5589891076087952,0,328.5687255859375,10499.43459445134
