increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.818844318389893,2.818832635879517,0,1.178719503514003e-05,0,2.57962703704834,12824.7347957591
2,0.03999999910593033,11.3675594329834,11.36726188659668,0,0.0002981563447974622,0,10.48171615600586,13149.97995621929
3,0.05999999865889549,25.84667778015137,25.84473991394043,0,0.001936560263857245,0,24.00261497497559,13475.74441982438
4,0.07999999821186066,46.48556518554688,46.47808456420898,0,0.007478445768356323,0,43.37728118896484,13802.03679366826
5,0.1000000014901161,73.50913238525391,73.48746490478516,0,0.0216739010065794,0,68.79579925537109,14128.86535465641
6,0.119999997317791,107.1256866455078,107.0734329223633,0,0.05225437507033348,0,100.4153518676758,14456.23805867555
7,0.1400000005960464,147.5240478515625,147.4132843017578,0,0.1107637733221054,0,138.3690490722656,14784.1625571054
8,0.1599999964237213,195.2166900634766,194.5507659912109,0.4530108571052551,0.2129214107990265,0.04108099266886711,183.0919342041016,15112.66827678693
9,0.1800000071525574,259.1940307617188,245.6298065185547,13.19333076477051,0.3708717823028564,2.311481952667236,243.3773498535156,15442.16767265229
10,0.2000000029802322,357.4109191894531,301.3097534179688,55.50495147705078,0.5962285995483398,2.311481952667236,334.6269226074219,15773.12734992399
