increment,time_s,node,x_m,y_m,z_m,opening_m,pressure_pa,slip1_m,slip2_m,normal_force1_n,normal_force2_n,normal_force3_n,shear_force1_n,shear_force2_n,shear_force3_n,contact_heat_flux_w,shear_traction1_pa,shear_traction2_pa,tangent1_x,tangent1_y,tangent1_z,tangent2_x,tangent2_y,tangent2_z,state
1,0.01999999955296516,13,0.9998776557800332,0.0009200807904977109,0.0004505383156845002,-1.65380551945262e-05,17020.29104790546,0.0004564336230057402,-0.0009112309645582883,4255.239537775459,0.2031847425118708,0.1015337216839791,0.0002787649861145479,-38.74118221899761,-19.38601124849199,0.09148020652932208,77.54109213768592,-154.9586117124676,-2.384794586423443e-05,8.98646903416563e-07,0.9999999997152339,4.773677335043801e-05,-0.9999999988601953,8.997853266351026e-07,1
1,0.01999999955296516,16,0.9998299534426763,1.000954224593205,0.0004542980361015446,-1.782491586043732e-05,17663.30859936585,0.0004559221952603945,-0.0009083680376500564,4414.951601981711,0.2108108054065886,0.105557363652229,0.00303540357191219,-40.13472589968978,-20.1076764311114,0.09421344802607574,80.44654200535032,-160.5707982168994,-2.392019973508568e-05,-1.008337217638198e-06,0.9999999997134037,4.773681876527343e-05,-0.9999999988600908,-1.007195342537861e-06,1
1,0.01999999955296516,19,0.9998538431046022,0.0009219330836787257,1.000486646626831,-1.718093380925663e-05,17341.36913341148,0.0004533955542492447,-0.0009109526947937135,4335.148230625457,0.207209383085868,0.1034403351953778,0.001598990340277169,-39.465348142629,-19.68952245295189,0.09284624550678931,78.76170337157886,-157.8684147934189,-2.384794586200453e-05,8.986469622701139e-07,0.999999999715234,4.780912275380255e-05,-0.9999999988567393,8.997871108700975e-07,1
1,0.01999999955296516,22,0.9998059964229926,1.000952262424215,1.000482777022305,-1.846499314099441e-05,17983.68636979311,0.0004538097843336215,-0.0009085525681528575,4494.651122635936,0.2148331518787532,0.1074628302202356,0.004593822331244974,-40.86096228044742,-20.41828559745552,0.09557028920412232,81.6961121836223,-163.4901072208812,-2.392019972577933e-05,-1.008336972017388e-06,0.9999999997134036,4.780916843442169e-05,-0.9999999988566344,-1.007193366295472e-06,1
2,0.03999999910593033,13,0.9998148126099626,0.001733469431955765,0.0008452507013768817,-3.145613173811294e-05,33235.17101206236,0.0008379271134168048,-0.001672084060021016,8309.365692376279,1.456312950455271,0.7274543959712604,0.01578568334391709,-138.7812533126807,-69.45361284567818,0.4593378182324755,277.7962952666772,-555.086224529117,-8.745376559741078e-05,3.13386825610864e-06,0.9999999961710088,0.0001751740519484539,-0.999999984652067,3.149187850546106e-06,1
2,0.03999999910593033,16,0.9996398690733218,1.001805006764637,0.0008589137266698658,-3.620507074187493e-05,35606.87866278037,0.0008358950046415099,-0.00166586949446615,8897.068077743759,1.559310993732759,0.781798058061054,0.03686592347588274,-148.340944722499,-74.31645584365128,0.4959644163087807,297.4195467233175,-593.6748559773662,-8.794142940583139e-05,-3.881633610319978e-06,0.9999999961256191,0.0001751746640644021,-0.9999999846494447,-3.86622845536054e-06,1
2,0.03999999910593033,19,0.9997275958446249,0.001740112347861141,1.000924198136325,-3.382861942517603e-05,34419.12428239622,0.0008312431770710284,-0.001670906629830955,8603.571957214681,1.510678732563654,0.753207444274441,0.02555682202459539,-143.6649889839594,-71.6657594282489,0.4776719691548606,286.7043654537634,-574.7401931497778,-8.745376552568934e-05,3.13386928788868e-06,0.9999999961710089,0.0001756630196560041,-0.9999999845662927,3.14923164411244e-06,1
2,0.03999999910593033,22,0.9995516791439344,1.001797614391651,1.00090978540902,-3.856004591882514e-05,36786.45392767173,0.0008326009393972828,-0.001666386726474452,9189.866206837785,1.613621125839162,0.8075232733601176,0.04985739616957987,-153.2293847496492,-76.57586678185157,0.5140016928326294,306.5266145684424,-613.3684346362985,-8.794142910894906e-05,-3.881629339389074e-06,0.999999996125619,0.0001756636382995891,-0.9999999845636692,-3.866181183055274e-06,1
3,0.05999999865889549,13,0.999797635294453,0.002464480485901995,0.001196826711080271,-4.510919919147589e-05,48822.78972782123,0.001161608430491345,-0.00231694788491116,12206.91087382202,4.447173627413667,2.220808122762949,0.08376536108650899,-282.4168451566124,-141.3498104730689,1.30132146631049,565.3467683158628,-1129.553138483476,-0.0001816498636832139,6.21768321593345e-06,0.9999999834823335,0.0003640559036387413,-0.9999999337119042,6.283813612834767e-06,1
3,0.05999999865889549,16,0.9994342383522219,1.002575794255051,0.001224989841336208,-5.502472243516039e-05,53772.66145374535,0.001157111882542348,-0.00230685072232108,13431.5131290025,4.893284940774631,2.456171876285917,0.1540263443998567,-310.1374134129539,-155.3607640000943,1.471557752796197,621.974281070857,-1241.629847488776,-0.0001830554026156127,-8.398381600083141e-06,0.9999999832100932,0.0003640585508715943,-0.9999999336959745,-8.331738298521301e-06,1
3,0.05999999865889549,19,0.9996166654461455,0.002478010468092301,1.001323914100364,-5.006300570880297e-05,51293.40270283695,0.001150840899573192,-0.002314225718565845,12820.23169192573,4.682661919174625,2.332358910899503,0.115623772438722,-296.4989437916094,-147.8922161514885,1.386778666513881,591.7167503206337,-1186.282304088212,-0.0001816498631961606,6.217688280753612e-06,0.9999999834823337,0.0003654671140999295,-0.9999999331971472,6.284075020472822e-06,1
3,0.05999999865889549,22,0.9992504667178322,1.002560077838691,1.001293563280126,-5.993097565934778e-05,56231.38601153741,0.001153373467558054,-0.002307642222430699,14040.7910492952,5.128448872377162,2.567560357567462,0.1998404728304632,-324.2098369474065,-162.0397566105465,1.554453707033302,648.9381469051874,-1298.418828544136,-0.0001830554006302256,-8.398360954232702e-06,0.9999999832100939,0.0003654698002999344,-0.9999999331812037,-8.331459312233111e-06,1
4,0.07999999821186066,13,0.9998162628746032,0.003130514771407929,0.001514343641004806,-5.775380691008053e-05,63911.01813794551,0.001439744244547097,-0.002870455940027389,15979.88172498632,9.617371313478241,4.801648202950605,0.246929250911555,-457.8673314243068,-229.1804340343606,2.777434424100462,916.6085294472383,-1831.220821251504,-0.0002998813608562629,9.84114018852049e-06,0.9999999549871597,0.0006012957290133818,-0.9999998191714922,1.002145624152731e-05,1
4,0.07999999821186066,16,0.9992163044166796,1.003283421603578,0.001560537099597242,-7.419750950117214e-05,72116.85656423439,0.001431932600088711,-0.002855972899166375,18007.5651420006,10.83758462565996,5.445364072638422,0.4139725508620328,-514.8142336578005,-257.8600178655617,3.272384553232115,1032.657168304664,-2061.744170605582,-0.0003027572877580782,-1.43596867729543e-05,0.999999954065911,0.0006013029621421282,-0.9999998191168548,-1.417763597283323e-05,1
4,0.07999999821186066,19,0.9995177665594257,0.003152465917278765,1.001693862339052,-6.596923037019437e-05,68006.36311937822,0.001424588064998166,-0.002865570899368546,16995.80125652229,10.26148984872551,5.106780042395856,0.3216404759312094,-486.7137864159739,-242.7586280529599,3.026974758734753,971.3748633043502,-1947.513438151554,-0.0002998813590851596,9.841155092293557e-06,0.9999999549871601,0.0006041871916250788,-0.9999998174286783,1.00223382228908e-05,1
4,0.07999999821186066,22,0.9989120815927272,1.003256938841347,1.001643133508802,-8.232033900267897e-05,76189.05124207395,0.001428356923907276,-0.002856876299364915,19015.24246885361,11.48063648164677,5.74996186697634,0.5268653557670879,-543.5988350043658,-271.7219703557871,3.509635222598896,1088.694126966058,-2178.069234495825,-0.0003027572806693892,-1.435962712187671e-05,0.9999999540659141,0.0006041945563449337,-0.999999817373963,-1.417670084972993e-05,1
5,0.1000000014901161,13,0.999863476309128,0.003744341519651888,0.001804458977586127,-6.957981180172756e-05,78594.08409458467,0.001681345939432369,-0.003350708271979609,19651.87915415623,17.25864724664327,8.615304383893346,0.5451914811380039,-657.0351277679071,-328.891659977427,4.98950341507169,1315.35815027648,-2627.682478881959,-0.0004373364514717234,1.380307916910528e-05,0.9999999042731471,0.0008772658253932912,-0.99999961510163,1.418673553735653e-05,1
5,0.1000000014901161,16,0.9989884671951894,1.003940281107427,0.001871457022900736,-9.365824889082949e-05,90606.23892197688,0.001669466426975709,-0.003331394531394893,22617.2834147094,19.86252789612078,9.988802740785726,0.8744032041521315,-754.2834712030228,-377.7451779322341,6.087152350663178,1513.219213516945,-3021.732261781332,-0.0004422302776261294,-2.159517747652193e-05,0.9999999019830101,0.0008772812503852213,-0.9999996149638568,-2.120721090937647e-05,1
5,0.1000000014901161,19,0.9994284857081619,0.003775861286310307,1.002039973653009,-8.160956885985832e-05,84588.61094878543,0.001661602477580371,-0.003343090864509917,21138.10462561415,18.63311274201448,9.266467276036876,0.691257179592049,-706.2075479652351,-352.2315093740427,5.546269846959405,1409.547207780746,-2826.029999190559,-0.000437336446865348,1.380311248815616e-05,0.9999999042731486,0.0008821928064628167,-0.9999996107671877,1.418892354126429e-05,1
5,0.1000000014901161,22,0.998543743051498,1.003900945175181,1.001965150917931,-0.0001055369154046226,96562.98641496809,0.00166657099708503,-0.0033321983832774,24089.5200041769,21.23440599702383,10.63866951051119,1.101949476296306,-803.2861638375898,-401.5800296570942,6.602198843237796,1609.681831546895,-3220.005499479612,-0.00044223025954836,-2.159504671553104e-05,0.9999999019830209,0.0008822085584500685,-0.99999961062913,-2.120490106560436e-05,1
6,0.119999997317791,13,0.9999338675101078,0.004315531367040134,0.002072158576240951,-8.073069912217626e-05,92942.98618351039,0.001893177690736979,-0.003771295007020105,23240.69347444923,27.56811066675143,13.75999040741581,1.013158553741562,-874.1960722350827,-437.6158585246143,7.983854719224543,1750.116689826326,-3496.025360210589,-0.0005904019912595398,1.796953204014529e-05,0.9999998255512771,0.001184722470193464,-0.9999992980418225,1.866898518827459e-05,1
6,0.119999997317791,16,0.998752540828467,1.004555691033295,0.002162187641939318,-0.0001133569709849143,109215.2514156414,0.001876570781563999,-0.003746776515965308,27254.66193783466,32.32855618706392,16.27065552285057,1.587854247367146,-1022.32288232372,-511.8809078888076,10.02263924057659,2051.118198590119,-4096.71558468958,-0.0005978285991164391,-2.996222450685055e-05,0.9999998208515996,0.001184750661892125,-0.9999992977547917,-2.925393087838926e-05,1
6,0.119999997317791,19,0.9993470083839197,0.004357495069978999,1.002366704256724,-9.703074120213745e-05,101062.9625742296,0.001868736516487613,-0.003760431020836795,25253.01359346251,30.08071260362982,14.95049073871941,1.267032066089409,-948.9968665731191,-473.3370777398356,9.026276484772568,1894.331835543842,-3797.885180361226,-0.0005904019815244012,1.79695948712854e-05,0.9999998255512816,0.001192209653226069,-0.9999992891434697,1.867346829684054e-05,1
6,0.119999997317791,22,0.9981509276482747,1.004501695784564,1.002264627296374,-0.000129435645992932,117279.8694086422,0.001874810873949826,-0.003747249829962322,29245.77227954405,34.8359378821437,17.45853944845941,1.990669843471226,-1096.776189021246,-548.3777400585277,10.95282261897006,2198.97204526022,-4398.288695390259,-0.0005978285616768794,-2.99619828697456e-05,0.9999998208516292,0.001192238516478083,-0.9999992888556488,-2.924921256458232e-05,1
7,0.1400000005960464,13,1.000023302707843,0.004851387065107367,0.002321242425277838,-9.131692860482546e-05,107012.264293718,0.002080411324678145,-0.004142611237839448,26759.99564931479,40.68116687140097,20.30323193109608,1.679825322174983,-1105.202634514263,-553.2734692699272,11.76680731678257,2212.557624769107,-4419.644114308241,-0.0007563107595387979,2.224968649691537e-05,0.9999997137494522,0.001518107370446592,-0.9999988474006124,2.339782848727833e-05,1
7,0.1400000005960464,16,0.9985099223486931,1.005136787091724,0.002436124963982007,-0.0001332547997444552,127923.9482473374,0.002058502706940757,-0.004112588436975489,31915.07452611652,48.51617792482003,24.43464627604704,2.600675272711939,-1314.064937396417,-657.8099197959576,15.10946443595396,2636.50679373064,-5267.199598283499,-0.0007667387877090349,-3.934294752864648e-05,0.9999997052818386,0.001518153771809507,-0.999998846875084,-3.817888603094458e-05,1
7,0.1400000005960464,19,0.9992719420703843,0.004904474887686349,1.002677466252211,-0.0001122685909218774,117446.8156901156,0.002051237786745566,-0.004128041609292303,29345.02832990131,44.81602283277336,22.26267902487174,2.085771495629772,-1210.56330596717,-603.8342993230227,13.49313945777673,2416.752541944139,-4844.981981110863,-0.0007563107416583177,2.224979210707478e-05,0.9999997137494634,0.001528634998945916,-0.9999988313629192,2.340589587523649e-05,1
7,0.1400000005960464,22,0.9977378694592426,1.005066548604608,1.002545405065702,-0.000153904359293225,138282.9408240258,0.002058290586959738,-0.004112496419638159,34470.28353948089,52.64168644986067,26.38940612780679,3.251683101950542,-1418.819123851971,-709.5010018798157,16.58060455124662,2846.096627512039,-5691.908274702439,-0.0007667387203365058,-3.934254959607054e-05,0.9999997052819058,0.001528682612235991,-0.999998830835562,-3.817041469690229e-05,1
8,0.1599999964237213,13,1.000129613151159,0.005350731095945938,0.002547785975411061,-0.0001012741768878937,120816.5500271992,0.002241951921808061,-0.0044676288549883,30213.5878670091,56.67732027763802,28.27870403589061,2.564721488509113,-1345.270730656838,-672.7628494638859,16.30416067370276,2690.260063723634,-5379.36904987811,-0.0009339324930424198,2.744511872746567e-05,0.9999995635083366,0.001874090503393705,-0.9999982434646653,2.919535727809325e-05,1
8,0.1599999964237213,16,0.9982590988418925,1.005685310088597,0.002691073214283633,-0.000153511332209922,146763.3630884337,0.002215103142136187,-0.004432897169822687,36606.78498464724,68.6680012897566,34.47123332476943,3.947200689728831,-1624.597917259764,-812.2354504424216,21.34490125572445,3256.132766877758,-6513.448969205479,-0.0009425101586098434,-5.082882127438593e-05,0.9999995545454168,0.001874163430385671,-0.9999982425506172,-4.90623357284477e-05,1
8,0.1599999964237213,19,0.9991995789550504,0.005417372946060183,1.002971164043104,-0.0001275420906042538,133800.924326775,0.002209121045759549,-0.004449751739842267,33429.62208496971,62.90375285033448,31.28654050348842,3.170895177443511,-1486.484400778817,-740.8231117904232,18.96011598452502,2965.179671106995,-5949.570334843678,-0.0009339324750204458,2.744528318368326e-05,0.999999563508349,0.001882820493766526,-0.9999982270654952,2.920367447624096e-05,1
8,0.1599999964237213,22,0.9973121777826612,1.005595203030106,1.00280438400029,-0.0001786211825864765,159458.4391275188,0.002216710925456617,-0.004431757049930015,39735.40313133001,74.7671904401786,37.41550063488835,4.919117170323516,-1762.663702286378,-880.7214771992068,23.40053853529798,3534.054033571167,-7073.732214360103,-0.0009425100930557537,-5.082822307216054e-05,0.9999995545455088,0.001882894684273467,-0.9999982261491074,-4.905350751672498e-05,1
9,0.1800000071525574,13,1.000229965295518,0.005715170199223791,0.00264597651744409,-0.0001085978532314523,134414.9498553876,0.00232296339545359,-0.004715940017146711,33619.96208818878,73.41639100716598,36.69515568430603,3.349755058687168,-1508.088068448413,-742.5818985118656,-12.39291801117264,2968.895381648643,-6029.432250134862,-0.001120205417115818,2.57557063288752e-05,0.9999993722380365,0.002208033455357206,-0.9999975618927165,2.822911215955228e-05,2
9,0.1800000071525574,16,0.9979623586688184,1.006160909342968,0.002842651442010038,-0.0001778041088140535,166491.1747487845,0.002307193675851685,-0.004705639423460311,41522.8476449847,90.7619061021434,42.17200898698025,5.183408991916157,-1863.015337640353,-916.2585820550032,-20.41923672661558,3673.34316245457,-7470.252674170167,-0.001003470516184336,-8.076851163639431e-05,0.9999994932615571,0.002208154407632267,-0.999997558938826,-7.855253645381236e-05,2
9,0.1800000071525574,19,0.999050675022823,0.005794276428743831,1.003213535927616,-0.000147707403609343,151473.8649370817,0.002319899049085365,-0.004700665291234566,37848.1094251398,79.72939992335142,41.39794754672406,4.081470495181036,-1697.050135271328,-837.3888564749846,-15.3100092437942,3351.374803814975,-6791.838617085794,-0.001120205644254523,2.57559136000134e-05,0.9999993722377766,0.002091452233785119,-0.9999978125166149,2.809873159638578e-05,2
9,0.1800000071525574,22,0.9970173428109398,1.006026660958707,1.002980879168903,-0.00019698511757416,178575.4151117788,0.002325957843089804,-0.004701972798578037,44490.27613390946,93.79907142453025,45.25650998857303,6.190073228268344,-1994.675638308883,-984.7393106620484,-27.02275305657461,3952.019490199456,-8006.518919556963,-0.001003471297065064,-8.07677990585916e-05,0.9999994932608308,0.002091549281199623,-0.9999978096140091,-7.866885212903397e-05,2
10,0.2000000029802322,13,1.000292713265877,0.005593213581741589,0.002659674369592654,-0.0001179973559155737,148491.9925139558,0.002333448892817558,-0.004559458310537474,37158.82745617754,89.9135460926135,47.01988304740237,4.054254977215033,-1622.000135073095,-835.5009139232438,27.27072146890575,3338.86211003258,-6481.688709047085,-0.001311630733293199,5.099706954556969e-05,0.9999991385116881,0.002459117864909505,-0.9999969748950523,5.422241614293193e-05,1
