increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.818819999694824,2.818808317184448,0,1.178703223558841e-05,0,2.656058073043823,12824.7347973772
2,0.03999999910593033,11.3669548034668,11.36665630340576,0,0.0002981342549901456,0,10.78683662414551,13149.97997192506
3,0.05999999865889549,25.84303092956543,25.84109497070312,0,0.001936200074851513,0,24.68713569641113,13475.7444907165
4,0.07999999821186066,46.47317504882812,46.4656982421875,0,0.007475895807147026,0,44.58991241455078,13802.03701358912
5,0.1000000014901161,73.47820281982422,73.45653533935547,0,0.02166243083775043,0,70.68309783935547,14128.86589835323
6,0.119999997317791,107.0618896484375,107.0096740722656,0,0.05221562460064888,0,103.121711730957,14456.23921045664
7,0.1400000005960464,147.4084625244141,147.2978057861328,0,0.110656313598156,0,142.0368347167969,14784.16473617948
8,0.1599999964237213,195.0290679931641,194.3841400146484,0.432219386100769,0.2127071470022202,0,187.85107421875,15112.67133251061
9,0.1800000071525574,259.2962341308594,245.5770416259766,13.34862232208252,0.370576798915863,1.820608019828796,249.5585327148438,15442.18421741708
10,0.2000000029802322,357.3222351074219,301.2259216308594,55.50040054321289,0.5958981513977051,1.820608019828796,342.1161193847656,15773.14724798184
11,0.2199999988079071,482.6502380371094,363.1194152832031,118.6168060302734,0.9140276908874512,1.820608019828796,461.2234802246094,16105.17307412973
12,0.239999994635582,661.7066040039062,430.7748718261719,229.5760650634766,1.355651259422302,1.820608019828796,632.8402099609375,16438.61250272938
13,0.2599999904632568,967.5567626953125,500.9068603515625,464.6925354003906,1.957397103309631,1.820608019828796,930.5234375,16774.53809034442
14,0.2800000011920929,1382.688598632812,573.5515747070312,806.384033203125,2.752988576889038,1.820608019828796,1336.8046875,17112.91055703597
15,0.300000011920929,1836.598510742188,652.7843627929688,1180.024047851562,3.790098428726196,1.820608019828796,1782.062133789062,17452.91140222863
16,0.3199999928474426,2327.116943359375,738.38037109375,1583.611328125,5.125297069549561,1.820608019828796,2263.967529296875,17794.54265920701
17,0.3400000035762787,2852.628662109375,830.1428833007812,2015.663330078125,6.82238245010376,1.820608019828796,2780.768798828125,18137.80518708787
18,0.3600000143051147,3411.96826171875,927.9118041992188,2475.103515625,8.95285701751709,1.820608019828796,3331.1904296875,18482.70057856432
19,0.3799999952316284,4004.328125,1031.5625,2961.169189453125,11.59642028808594,1.820608019828796,3914.34130859375,18829.23217587484
20,0.4000000059604645,4629.1650390625,1140.999877929688,3473.323974609375,14.84147930145264,1.820608019828796,4529.62060546875,19177.40519292959
