increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.610023260116577,2.610023260116577,0,0,0,2.270999908447266,25356.79514579678
2,0.03999999910593033,10.41923809051514,10.41923809051514,0,0,0,9.061551094055176,25714.16701489029
3,0.05999999865889549,23.42513465881348,23.42513465881348,0,0,0,20.36359977722168,26072.16067089365
4,0.07999999821186066,41.643310546875,41.643310546875,0,0,0,36.1832275390625,26430.80216577627
5,0.1000000014901161,65.09642028808594,65.09642028808594,0,0,0,56.53424453735352,26790.10628760169
6,0.119999997317791,93.81018829345703,93.81018829345703,0,0,0,81.43521881103516,27150.08070905098
7,0.1400000005960464,127.8118286132812,127.8118286132812,0,0,0,110.9079437255859,27510.72840046725
8,0.1599999964237213,167.1294860839844,167.1294860839844,0,0,0,144.9766387939453,27872.04917495134
9,0.1800000071525574,211.7920074462891,211.7920074462891,0,0,0,183.6674957275391,28234.04076798292
10,0.2000000029802322,261.8288879394531,261.8288879394531,0,0,0,227.0083312988281,28596.69963726493
11,0.2199999988079071,317.2702331542969,317.2702331542969,0,0,0,275.0285339355469,28960.02156898841
12,0.239999994635582,378.1468811035156,378.1468811035156,0,0,0,327.7588500976562,29324.00213286054
13,0.2599999904632568,444.490234375,444.490234375,0,0,0,385.2313232421875,29688.63701050753
14,0.2800000011920929,516.3325805664062,516.3325805664062,0,0,0,447.4792785644531,30053.92221590312
15,0.300000011920929,593.706787109375,593.706787109375,0,0,0,514.5372924804688,30419.85422519961
16,0.3199999928474426,676.6466674804688,676.6466674804688,0,0,0,586.4412231445312,30786.43003339214
17,0.3400000035762787,765.186767578125,765.186767578125,0,0,0,663.22802734375,31153.64715508192
18,0.3600000143051147,859.3623046875,859.3623046875,0,0,0,744.9359741210938,31521.50358567906
19,0.3799999952316284,959.2095336914062,959.2095336914062,0,0,0,831.6046142578125,31889.99773769172
20,0.4000000059604645,1064.765502929688,1064.765502929688,0,0,0,923.2747192382812,32259.12836444702
