increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,0.01999999955296516,2.631755828857422,2.631755828857422,0,0,0,2.488998174667358,12832.34224139706
2,0.03999999910593033,10.50151348114014,10.50151348114014,0,0,0,9.92556095123291,13165.06541485825
3,0.05999999865889549,23.59235382080078,23.59235382080078,0,0,0,22.28571319580078,13498.22569478221
4,0.07999999821186066,41.90184020996094,41.90184020996094,0,0,0,39.55604553222656,13831.86311863578
5,0.1000000014901161,65.43428039550781,65.43428039550781,0,0,0,61.72894287109375,14166.00792661409
6,0.119999997317791,94.19768524169922,94.19768524169922,0,0,0,88.80042266845703,14500.68393262197
7,0.1400000005960464,128.2024993896484,128.2024993896484,0,0,0,120.7691116333008,14835.91125395985
8,0.1599999964237213,167.4608917236328,167.4608917236328,0,0,0,157.6356658935547,15171.7072722321
9,0.1800000071525574,211.9865417480469,211.9865417480469,0,0,0,199.4025268554688,15508.08735251862
10,0.2000000029802322,261.7943420410156,261.7943420410156,0,0,0,246.0736236572266,15845.06530702502
