increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,-6.289586099510552e-41,-3.657135669712505e-42,-5.748940573100824e-42,-0.01009135142353864,366.8457319704983,313.3978859936873,18.34963660275903
1,0.01999999955296516,2,299.9998221017865,-0.0001421768811829516,-5.618132904361096e-05,-6.541865899704102e-05,0,0,0,0
1,0.01999999955296516,3,300,-3.373288434188118e-34,-4.372592488326298e-34,-2.469248819865234e-35,-0.0002228367648918744,531.6925876058773,123.4198339326584,97.33054023929175
1,0.01999999955296516,4,300.0003421144443,-0.0001406404654270042,-4.87680340311902e-05,-6.717894477906036e-05,0,0,0,0
1,0.01999999955296516,5,300,-3.109477382967408e-34,-5.550111368830164e-34,-3.034521575135383e-35,0.005833783077335191,541.7077012829229,111.0144537601501,103.569175923534
1,0.01999999955296516,6,300.0009139617216,-0.0001396139343369779,-4.143819229800446e-05,-6.905043332381147e-05,0,0,0,0
1,0.01999999955296516,7,300,-2.901180017525197e-34,-6.603135757098415e-34,-3.527461747721143e-35,0.002882486689792516,554.7682799209417,93.12971363796987,109.3351693785779
1,0.01999999955296516,8,300.0012077582625,-0.0001389289857858244,-3.412920904511451e-05,-7.087479745392787e-05,0,0,0,0
1,0.01999999955296516,9,300,-2.719222217727946e-34,-7.495660373584276e-34,-3.959005305353652e-35,0.0006488515497964776,564.1936899160742,73.63876018431927,114.2731235403036
1,0.01999999955296516,10,300.0013395955897,-0.0001384976393049586,-2.680584010485927e-05,-7.250098331103962e-05,0,0,0,0
1,0.01999999955296516,11,300,-2.525992381167963e-34,-8.187794035510872e-34,-4.318189400818353e-35,-0.0002507202635391241,568.5891961597371,51.9186987395492,118.0969255236178
1,0.01999999955296516,12,300.0014050601052,-0.0001382063589249972,-1.945785605179993e-05,-7.379196613436814e-05,0,0,0,0
1,0.01999999955296516,13,300,-2.294509176294337e-34,-8.632736191005585e-34,-4.579569447309717e-35,-0.0005574021717525746,568.2877121711995,26.68802526541776,120.4794277458294
1,0.01999999955296516,14,300.0014417524677,-0.0001379029939962483,-1.210117397903566e-05,-7.462769335680699e-05,0,0,0,0
1,0.01999999955296516,15,300,-2.011699860309143e-34,-8.786825120366093e-34,-4.721054776933227e-35,-0.0006488908708448869,563.663325765543,-2.314430348611381,121.0898087672923
1,0.01999999955296516,16,300.0014612144936,-0.0001374226408864117,-4.775410085107976e-06,-7.491352304115988e-05,0,0,0,0
1,0.01999999955296516,17,300,-1.677187550634372e-34,-8.621233909480613e-34,-4.737762241230438e-35,-0.0006559355614173955,554.9567875775006,-34.12806114693944,119.6876838194053
1,0.01999999955296516,18,300.0014660310159,-0.0001366195458093854,2.463206517503227e-06,-7.459263435639091e-05,0,0,0,0
1,0.01999999955296516,19,300,-1.301325894972721e-34,-8.130713365055241e-34,-4.649093244043611e-35,-0.0006076203994499599,542.5156933685925,-66.86875843253461,116.2063953953664
1,0.01999999955296516,20,300.0014559629431,-0.0001353944580935171,9.55187460304234e-06,-7.365793413880593e-05,0,0,0,0
1,0.01999999955296516,21,300,-9.037677990667694e-35,-7.337855741681376e-34,-4.50084724458541e-35,-0.000476736326664726,527.0795148682647,-98.13264663130838,110.8091657667451
1,0.01999999955296516,22,300.0014294042514,-0.0001337142465521719,1.643193179786978e-05,-7.215973094825757e-05,0,0,0,0
1,0.01999999955296516,23,300,-5.13649423507035e-35,-6.293491567892429e-34,-4.363738917554483e-35,-0.0001470551513501587,510.0571907566424,-125.2876515310865,103.9004216522229
1,0.01999999955296516,24,300.0013821725069,-0.0001316236683987375,2.305837329509871e-05,-7.020742915643467e-05,0,0,0,0
1,0.01999999955296516,25,300,-1.738362111431055e-35,-5.076366184315025e-34,-4.328382057035193e-35,0.0006998776471718628,493.9583637158916,-145.4181649802329,96.09586881023485
1,0.01999999955296516,26,300.0013021710524,-0.0001292521104586678,2.940734369391934e-05,-6.796504243089505e-05,0,0,0,0
1,0.01999999955296516,27,300,4.418431522907049e-36,-3.799590594419186e-34,-4.497250197795145e-35,0.002632786032870402,483.4763440891006,-154.4803635078143,88.20448019056225
1,0.01999999955296516,28,300.0011550151778,-0.0001268233352260638,3.548218229099902e-05,-6.56404967785836e-05,0,0,0,0
1,0.01999999955296516,29,300,-2.099082028423444e-37,-2.640518252360736e-34,-4.971290697435357e-35,0.00489181486509855,488.4394247380816,-144.6492965858655,81.30294999381856
1,0.01999999955296516,30,300.0008596394201,-0.0001246879959394265,4.132076587089645e-05,-6.346651065113282e-05,0,0,0,0
1,0.01999999955296516,31,300,-5.796994240779338e-35,-1.89302441506254e-34,-5.808703368345438e-35,-0.000817616965655011,525.7221478355502,-101.310186652247,76.95051408881594
1,0.01999999955296516,32,300.0003309977445,-0.0001234265955909343,4.701147389029909e-05,-6.166276706808237e-05,0,0,0,0
