increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.01999999955296516,1,1,0.1056624327025306,0.2113248654050814,0.2113248654050814,300,-3.159585693079947e-07,5.495603971894525e-14,-3.713696017371149e-13,3.066251973361977e-05,0.0001192715355162213,0.0001192715355162213,-4.599377960067587e-05,-4.599377960067588e-05,-5.916456789157589e-22,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010795012955347e-13,6.440833337188815e-13,6.440833337188816e-13,-9.812006314810852e-13,-9.812006314810856e-13,-1.262177448353619e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006962
1,0.01999999955296516,1,2,0.3943375672971765,0.2113248654047981,0.2113248654047981,300.0000000105319,-3.159586475820456e-07,-1.319777620537055e-13,6.140921105022573e-13,-3.066251973361986e-05,0.0001499340552486598,0.0001499340552486598,-4.599377960024961e-05,-4.599377960024964e-05,-1.183291357821133e-21,-9.129774172745927e-13,1.013154533183388e-12,1.013154533183387e-12,-9.811858716141557e-13,-9.811858716141561e-13,-6.999817803455334e-17,-9.55213255615628e-13,9.711502108789282e-13,9.711502108789286e-13,-9.812006314806031e-13,-9.812006314806039e-13,-2.524354896707238e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,1,3,0.1056624327025306,0.7886751345949188,0.2113248654050814,300,-3.159583261691523e-07,5.495603971894525e-14,-5.995204332975845e-14,3.066251973361986e-05,0.0001192715355162212,0.0001192715355162212,4.599377960067586e-05,-4.599377960067584e-05,3.845696912952433e-21,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010795012955335e-13,6.440833337188809e-13,6.44083333718881e-13,9.81200631481085e-13,-9.812006314810846e-13,8.204153414298523e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006962
1,0.01999999955296516,1,4,0.3943375672971765,0.788675134595202,0.2113248654047981,300.0000000105319,-3.159584294232212e-07,-1.319777620537055e-13,8.743006319015188e-13,-3.066251973361975e-05,0.0001499340552486597,0.0001499340552486597,4.599377960024967e-05,-4.599377960024962e-05,1.064962222039019e-20,-9.12977417274592e-13,1.013154533183388e-12,1.013154533183387e-12,9.811858716141567e-13,-9.811858716141551e-13,6.999817803435139e-17,-9.552132556156268e-13,9.711502108789276e-13,9.711502108789278e-13,9.812006314806045e-13,-9.812006314806033e-13,2.271919407036514e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006961
1,0.01999999955296516,1,5,0.1056624327025306,0.2113248654050813,0.7886751345949186,300,-3.15958715857434e-07,-4.862776847858186e-13,-3.713696017371149e-13,3.06625197336198e-05,0.0001192715355162213,0.0001192715355162213,-4.599377960067593e-05,4.599377960067585e-05,1.479114197289397e-21,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010795012955344e-13,6.440833337188814e-13,6.440833337188814e-13,-9.812006314810866e-13,9.812006314810848e-13,3.155443620884047e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000006961
1,0.01999999955296516,1,6,0.3943375672971765,0.2113248654047981,0.788675134595202,300.0000000105319,-3.159588191115029e-07,3.230749001693231e-13,-2.073341498509316e-13,-3.066251973361986e-05,0.0001499340552486597,0.0001499340552486597,-4.599377960024967e-05,4.599377960024964e-05,2.366582715642265e-21,-9.12977417274592e-13,1.013154533183387e-12,1.013154533183388e-12,-9.811858716141565e-13,9.811858716141561e-13,6.999817803475528e-17,-9.552132556156278e-13,9.71150210878928e-13,9.711502108789282e-13,-9.812006314806045e-13,9.812006314806037e-13,5.048709793414476e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,1,7,0.1056624327025306,0.7886751345949188,0.7886751345949188,300,-3.159582995237997e-07,-1.332267629550188e-13,2.930988785010413e-13,3.066251973361987e-05,0.0001192715355162212,0.0001192715355162212,4.599377960067582e-05,4.599377960067588e-05,5.916456789157589e-21,-2.5890400934262e-13,6.861178292181114e-13,6.861178292181114e-13,0,0,0,-3.010795012955335e-13,6.44083333718881e-13,6.44083333718881e-13,9.812006314810842e-13,9.812006314810856e-13,1.262177448353619e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,1,8,0.3943375672971765,0.7886751345952021,0.7886751345952019,300.0000000105319,-3.159582728817748e-07,3.230749001693231e-13,4.662936703474767e-13,-3.066251973361973e-05,0.0001499340552486597,0.0001499340552486597,4.599377960024962e-05,4.599377960024967e-05,1.419949629385359e-20,-9.129774172745923e-13,1.013154533183387e-12,1.013154533183387e-12,9.811858716141555e-13,9.811858716141561e-13,-6.999817803414944e-17,-9.552132556156268e-13,9.711502108789278e-13,9.711502108789278e-13,9.812006314806035e-13,9.812006314806045e-13,3.029225876048685e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625000000000696
1,0.01999999955296516,2,1,0.6056624327027325,0.21132486540453,0.21132486540453,300.0000000105319,-2.664590001660999e-05,-1.332267030190682e-13,-5.595523444796183e-13,4.863681421206617e-05,-0.0001226000793717651,-0.0001226000793717651,-7.295522134514037e-05,-7.295522134514029e-05,-3.549874073463397e-21,4.614399069898624e-12,2.787946991953106e-12,2.787946991953103e-12,-1.556342459541025e-12,-1.556342459541025e-12,-9.013496340534572e-17,9.774404888440338e-13,-8.490863760661969e-13,-8.490863760661973e-13,-1.556378055376654e-12,-1.556378055376652e-12,-7.573064690121713e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063695
1,0.01999999955296516,2,2,0.8943375672987297,0.2113248654040807,0.2113248654040807,300.0000008987286,-2.664589985209392e-05,4.032796180465255e-14,2.222657601275166e-13,-4.863681421213515e-05,-7.396326508691999e-05,-7.396326508691999e-05,-7.295522129108474e-05,-7.295522129108469e-05,6.508102463199166e-21,3.576694496126008e-12,3.306688256538099e-12,3.306688256538099e-12,0,0,0,-6.014488140721114e-14,-3.302936909405749e-13,-3.302936909405749e-13,-1.556378055375442e-12,-1.556378055375441e-12,1.388395193188981e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063692
1,0.01999999955296516,2,3,0.6056624327027323,0.78867513459547,0.21132486540453,300.0000000105319,-2.664590017659515e-05,-1.332267030190682e-13,6.974154876781145e-13,4.863681421206616e-05,-0.0001226000793717651,-0.0001226000793717651,7.295522134514037e-05,-7.295522134514036e-05,1.656607900949586e-20,4.614399069898623e-12,2.787946991953105e-12,2.787946991953103e-12,1.556342459541024e-12,-1.556342459541024e-12,9.013496340494183e-17,9.774404888440338e-13,-8.490863760661973e-13,-8.490863760661969e-13,1.556378055376654e-12,-1.556378055376654e-12,3.534096855390133e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250000000063692
