increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
1,0.01999999955296516,1,300,-2.367378234394998e-53,8.804636509316575e-46,8.804636509201872e-46,-7.898966712322214e-08,0,-9.08028078807019e-06,-9.080280788070188e-06
1,0.01999999955296516,2,300.0000000105319,-2.930092388414731e-13,-8.497446730718502e-13,-8.497446730718507e-13,0,0,0,0
1,0.01999999955296516,3,300.0000008987286,1.754835819769539e-12,-2.197607606924937e-12,-2.197607606924936e-12,0,0,0,0
1,0.01999999955296516,4,300,-2.360642909384387e-53,-8.804636509265596e-46,8.804636509010701e-46,-7.898958504084541e-08,0,9.080280788070186e-06,-9.080280788070191e-06
1,0.01999999955296516,5,300.0000000105319,-2.930092388414715e-13,8.497446730718501e-13,-8.497446730718498e-13,0,0,0,0
1,0.01999999955296516,6,300.0000008987286,1.754835819769542e-12,2.197607606924935e-12,-2.197607606924935e-12,0,0,0,0
1,0.01999999955296516,7,300,-2.36250727808902e-53,8.804636509201872e-46,-8.804636509469512e-46,-7.898965931824321e-08,0,-9.080280788070178e-06,9.080280788070191e-06
1,0.01999999955296516,8,300.0000000105319,-2.930092388414726e-13,-8.497446730718512e-13,8.497446730718499e-13,0,0,0,0
1,0.01999999955296516,9,300.0000008987286,1.75483581976954e-12,-2.197607606924937e-12,2.197607606924935e-12,0,0,0,0
1,0.01999999955296516,10,300,-2.356037769176003e-53,-8.804636509265596e-46,-8.804636509380299e-46,-7.898959850034193e-08,0,9.080280788070196e-06,9.080280788070181e-06
1,0.01999999955296516,11,300.0000000105319,-2.930092388414716e-13,8.497446730718496e-13,8.497446730718506e-13,0,0,0,0
1,0.01999999955296516,12,300.0000008987286,1.754835819769542e-12,2.197607606924934e-12,2.197607606924936e-12,0,0,0,0
1,0.01999999955296516,13,300.0000238998758,-4.067540348837756e-05,1.539284827382747e-07,1.539284827382787e-07,0,0,0,0
1,0.01999999955296516,14,300.0015751431466,-4.076894868714815e-05,-3.895234803870567e-07,-3.895234803870557e-07,0,0,0,0
1,0.01999999955296516,15,300.2,-4e-05,-4.619555224679335e-41,-4.619555234301288e-41,63.50486836318244,2.284482075731731e-09,13.95425540383345,13.95425540383347
1,0.01999999955296516,16,300.0000238998758,-4.067540348837757e-05,-1.539284827382803e-07,1.539284827382755e-07,0,0,0,0
1,0.01999999955296516,17,300.0015751431466,-4.076894868714815e-05,3.895234803870543e-07,-3.895234803870576e-07,0,0,0,0
1,0.01999999955296516,18,300.2,-4e-05,4.619555180578717e-41,-4.619555190467947e-41,63.50486836318252,2.284467170987625e-09,-13.95425540383343,13.95425540383347
1,0.01999999955296516,19,300.0000238998758,-4.067540348837756e-05,1.539284827382785e-07,-1.539284827382787e-07,0,0,0,0
1,0.01999999955296516,20,300.0015751431466,-4.076894868714815e-05,-3.895234803870532e-07,3.895234803870563e-07,0,0,0,0
1,0.01999999955296516,21,300.2,-4e-05,-4.619555216928317e-41,4.619555184587864e-41,63.50486836318246,2.284473055169656e-09,13.95425540383345,-13.95425540383344
1,0.01999999955296516,22,300.0000238998758,-4.067540348837756e-05,-1.539284827382773e-07,-1.539284827382801e-07,0,0,0,0
1,0.01999999955296516,23,300.0015751431466,-4.076894868714815e-05,3.895234803870561e-07,3.895234803870512e-07,0,0,0,0
1,0.01999999955296516,24,300.2,-4e-05,4.619555207840917e-41,4.619555221472017e-41,63.50486836318245,2.28448948647042e-09,-13.95425540383343,-13.95425540383342
2,0.03999999910593033,1,300,-1.99088912826421e-52,-2.217324216737839e-47,-2.217324219414233e-47,-4.621894200319471e-07,0,-4.369863030794832e-05,-4.369863030794829e-05
2,0.03999999910593033,2,300.0000000616253,-1.401455547440072e-12,-4.167174111962712e-12,-4.167174111962714e-12,0,0,0,0
2,0.03999999910593033,3,300.0000043810273,8.600701786053957e-12,-1.0731530239054e-11,-1.0731530239054e-11,0,0,0,0
2,0.03999999910593033,4,300,-1.992469653719717e-52,2.217324220306365e-47,-2.217324208581208e-47,-4.62189437908748e-07,0,4.369863030794824e-05,-4.36986303079483e-05
2,0.03999999910593033,5,300.0000000616253,-1.401455547440077e-12,4.167174111962721e-12,-4.167174111962713e-12,0,0,0,0
