increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,0.01999999955296516,1,1,0.1056508773449116,0.2113223917880758,0.2113223880756366,300,-4.026015616387379e-05,-1.241839964194469e-11,-4.996003610813204e-14,-13625.09905906874,-2567.505001769508,-2567.404299057293,-1097.827026843477,-1099.072502432021,0.05034184632754909,-0.0001015613063210737,1.638677521073606e-05,1.638784978406204e-05,-2.341892973569813e-05,-2.344549730412991e-05,1.348414069180529e-09,-0.0001015610371236436,1.638663282088152e-05,1.638770698314514e-05,-2.342030990599417e-05,-2.344688005188311e-05,1.073959388321047e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027647
1,0.01999999955296516,1,2,0.3942944421154427,0.2113156337404548,0.2113156198854433,300.0000013418577,-4.026015492393226e-05,-4.356556787838418e-11,6.149247785894002e-13,-15090.33376196331,-1835.025197890876,-1834.649379063648,-1098.911212578282,-1099.059615263584,0.1878739234643279,-0.0001171904766581216,2.419989309119563e-05,2.420390224033636e-05,-2.344178638193719e-05,-2.344494756232271e-05,4.282426690827891e-09,-0.0001171902074678441,2.419975070703278e-05,2.420375944119436e-05,-2.344343922788482e-05,-2.344660515184146e-05,4.007977038387442e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027644
1,0.01999999955296516,1,3,0.1056508723992904,0.7886776150166862,0.2113223886957512,300,-4.026021918512868e-05,-1.172895114365247e-11,1.332267629550188e-13,-13627.95761033375,-2565.975023472991,-2566.075726088796,1100.042890365561,-1098.797415497904,0.05034189382072615,-0.0001015917982206222,1.640309573332259e-05,1.640202116085923e-05,2.346619615763013e-05,-2.343962860560842e-05,7.98819713339078e-10,-0.0001015915283371371,1.64029525893777e-05,1.640187842814244e-05,2.346758166113196e-05,-2.344101153062194e-05,1.073960401508825e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027647
1,0.01999999955296516,1,4,0.3942944236581329,0.7886843916552624,0.2113156221997425,300.0000013418613,-4.02602210277216e-05,-4.355640853841888e-11,-3.547162568437175e-13,-15093.00890256652,-1833.311808941354,-1833.68762740989,1098.932940486844,-1098.784538409677,0.1878741012585612,-0.0001172190121773709,2.421816999655113e-05,2.421416085449847e-05,2.344224038110928e-05,-2.343907921586416e-05,3.732847912410231e-09,-0.0001172187423009775,2.421802685584804e-05,2.421401812551251e-05,2.344390275660139e-05,-2.344073684561829e-05,4.007980831331099e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027646
1,0.01999999955296516,1,5,0.1056508773449128,0.2113223917880752,0.7886776119243621,300,-4.026015563263208e-05,-1.129762949858559e-11,-3.33066907387547e-14,-13625.09905836747,-2567.505002073881,-2567.404299454191,-1097.827027243207,1099.072502139537,-0.05034198942613562,-0.0001015613063136848,1.638677520766257e-05,1.638784977941436e-05,-2.34189297442366e-05,2.344549729776847e-05,-1.348416565108797e-09,-0.0001015610371161634,1.638663281763487e-05,1.638770697891156e-05,-2.342030991452176e-05,2.344688004564345e-05,-1.073962441090893e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027646
1,0.01999999955296516,1,6,0.3942944421154473,0.2113156337404528,0.7886843801145526,300.0000013418577,-4.026015637277332e-05,-4.36783942934131e-11,5.803690869015734e-13,-15090.3337613463,-1835.025198026731,-1834.6493795448,-1098.911213384608,1099.059615520148,-0.1878744575033275,-0.000117190476651584,2.41998930907713e-05,2.420390223422378e-05,-2.344178639915225e-05,2.344494756749797e-05,-4.282436155282664e-09,-0.0001171902074612627,2.419975070558367e-05,2.420375943606208e-05,-2.344343924508644e-05,2.344660515731484e-05,-4.007988431219446e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027644
1,0.01999999955296516,1,7,0.1056508723992898,0.7886776150166862,0.7886776113042471,300,-4.026022083714054e-05,-1.139754957080186e-11,-2.065014825802791e-13,-13627.95761071683,-2565.975023235188,-2566.075725943519,1100.042890218618,1098.797414627615,-0.05034194439746213,-0.0001015917982246917,1.640309573551364e-05,1.640202116284852e-05,2.346619615439393e-05,2.34396285870756e-05,-7.988213071162716e-10,-0.0001015915283412233,1.640295259191426e-05,1.640187842969208e-05,2.346758165799718e-05,2.344101151205579e-05,-1.073961480479192e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027644
1,0.01999999955296516,1,8,0.3942944236581308,0.7886843916552624,0.788684377800251,300.0000013418613,-4.026022058474261e-05,-4.307387785569368e-11,-2.298161664057888e-13,-15093.00890303385,-1833.311808535038,-1833.68762734887,1098.932939933297,1098.784537275238,-0.1878742900093381,-0.0001172190121824661,2.421817000007939e-05,2.421416085617614e-05,2.344224036903345e-05,2.343907919171191e-05,-3.732853814620511e-09,-0.0001172187423059624,2.421802686018207e-05,2.421401812616337e-05,2.34439027447924e-05,2.344073682141693e-05,-4.007984858014346e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249570098027644
1,0.01999999955296516,2,1,0.6055949337470057,0.2113137696225601,0.2113137456317067,300.0000013418577,-0.003394453337841553,-5.883694774758225e-09,-3.994155727367221e-13,-14536.43706219248,448.2613348826026,448.6972963992957,268.3147185681885,267.5534555643258,0.2179934288332863,-0.0001232294324654149,3.660737559607274e-05,3.661202558591911e-05,5.723582750432781e-06,5.707350888851982e-06,4.666900058324921e-09,-0.0001232298791290592,3.660690395180684e-05,3.661155420799009e-05,5.724047335855402e-06,5.707807058421505e-06,4.650526486977063e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119989
1,0.01999999955296516,2,2,0.894235047778197,0.2113154348053811,0.2113153932654654,300.000114476197,-0.003394453722355881,-2.143538550066412e-08,1.886909208087569e-13,-14179.76215363379,269.9798454792799,270.305163155087,267.80098930506,267.5541942984211,0.1626776583038888,-0.0001194249143613017,3.470570659822294e-05,3.47091764801202e-05,5.712639472860798e-06,5.707383476655357e-06,3.486919280326964e-09,-0.0001194253610265627,3.47052350008804e-05,3.470870505642005e-05,5.7130883168518e-06,5.70782335620791e-06,3.470457041553564e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119986
1,0.01999999955296516,2,3,0.6055949080248129,0.788686275674133,0.2113137483167207,300.0000013418613,-0.003394484445927404,-5.883751395003421e-09,-1.079509271961073e-13,-14537.51844451701,449.2379894039004,448.8020242025677,-266.6815471643418,267.4428144309184,0.2179935504965321,-0.0001232409668499682,3.661779280359739e-05,3.661314276286611e-05,-5.688758749715353e-06,5.704990700465094e-06,4.634505036546976e-09,-0.0001232414138738675,3.661732160004566e-05,3.661267130455958e-05,-5.689206345867729e-06,5.705446714239523e-06,4.650529082459655e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119986
1,0.01999999955296516,2,4,0.8942350157196631,0.7886846462708337,0.2113153952691066,300.000114477992,-0.00339448483037372,-2.143447431760803e-08,9.952983386697272e-13,-14180.91729470234,270.8827410413328,270.5574086819806,-267.1967524176443,267.4435519304591,0.1626775172010112,-0.000119437235507241,3.471533712234444e-05,3.471186710201352e-05,-5.699767153541262e-06,5.705023245092941e-06,3.454370138112446e-09,-0.0001194376825326956,3.471486588779872e-05,3.471139567563458e-05,-5.70019792869909e-06,5.70546298547475e-06,3.470454031363747e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119985
1,0.01999999955296516,2,5,0.6055949337470126,0.2113137696225588,0.788686254368284,300.0000013418577,-0.003394453337293137,-5.883466591416685e-09,1.234993909987556e-13,-14536.43706155032,448.2613346846329,448.6972959551003,268.3147183528563,-267.5534562814304,-0.2179937664076064,-0.0001232294324584319,3.660737554784956e-05,3.661202562749346e-05,5.72358274540181e-06,-5.7073509070037e-06,-4.666995943985986e-09,-0.0001232298791222095,3.660690394969516e-05,3.661155420325202e-05,5.724047331261648e-06,-5.707807073719735e-06,-4.650533688562565e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119988
1,0.01999999955296516,2,6,0.8942350477782074,0.2113154348053835,0.7886846067345138,300.0001144761969,-0.003394453720458281,-2.143526518222418e-08,1.07797958600588e-12,-14179.76215281715,269.9798449323589,270.3051628853646,267.8009887921833,-267.5541944723936,-0.1626770681269596,-0.0001194249143526568,3.470570660975268e-05,3.4709176459836e-05,5.712639462079848e-06,-5.707383479235157e-06,-3.486872842972135e-09,-0.0001194253610178519,3.470523499504659e-05,3.470870505354301e-05,5.713088305910429e-06,-5.707823359919322e-06,-3.470444451111206e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119986
1,0.01999999955296516,2,7,0.60559490802481,0.7886862756741333,0.7886862516832683,300.0000013418613,-0.003394484444968935,-5.883458557532526e-09,5.858262281099109e-14,-14537.51844466837,449.237989602691,448.8020241551339,-266.6815479031323,-267.4428161144008,-0.2179936418425039,-0.0001232409668515963,3.661779282619982e-05,3.661314274178035e-05,-5.68875876672929e-06,-5.704990736181899e-06,-4.634468128075634e-09,-0.000123241413875482,3.66173216021661e-05,3.661267130405363e-05,-5.689206361628594e-06,-5.705446750153815e-06,-4.650531031173723e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119985
1,0.01999999955296516,2,8,0.8942350157196599,0.7886846462708346,0.7886846047308751,300.000114477992,-0.003394484829548764,-2.143515008193088e-08,-5.552776996464298e-14,-14180.91729467923,270.882740891177,270.5574088090243,-267.1967534539829,-267.4435536659025,-0.1626772042148894,-0.0001194372355070355,3.471533712992933e-05,3.471186709400093e-05,-5.699767176256958e-06,-5.705023282030525e-06,-3.454345301785061e-09,-0.0001194376825324491,3.471486588619707e-05,3.471139567698971e-05,-5.700197950807646e-06,-5.705463022497544e-06,-3.470447354325844e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249687445119985
1,0.01999999955296516,3,1,1.105515332431192,0.2113189444707755,0.2113149895303822,300.0023904676126,-3.133817700713536,-1.588875419394573e-07,-2.305589222720359e-11,-12550.88735878396,2751.401202078982,2751.162256818343,-2711.744097977993,-2712.065980443488,-0.119626263142908,-0.0001412119895576261,5.772172422950492e-05,5.77186202114626e-05,-7.049842928864668e-05,-7.0506786243251e-05,-6.266279342000158e-10,-0.0001420167337077328,5.691325535133349e-05,5.691014905923245e-05,-7.050543081790226e-05,-7.051379977200797e-05,-3.11028655923525e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249838929293563
1,0.01999999955296516,3,2,1.394142921403567,0.211298608837671,0.2112946352779154,300.1590551723652,-3.134308658157769,-8.399143201878515e-08,-8.57741486907492e-11,-16165.25917586259,4558.91915122307,4558.568237204192,-2711.073432952801,-2711.757939772326,-0.175584031338265,-0.000188215341913206,8.122412838459844e-05,8.121956841263082e-05,-7.048403144982924e-05,-7.050181506103763e-05,-2.082122165327806e-09,-0.0001890200862351061,8.04156595915045e-05,8.041109734643476e-05,-7.049351543589698e-05,-7.051131402868373e-05,-4.56554790179912e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624983892929356
1,0.01999999955296516,3,3,1.105515300023855,0.7886889672046329,0.2113149877357484,300.0023904675718,-3.133817550853075,-1.588877886709188e-07,-7.233597925064446e-12,-12550.07936609371,2750.758259483079,2750.997206723852,2712.499827845401,-2712.177944513678,-0.1196255658578287,-0.0001412014903930434,5.771337061645863e-05,5.771647465981652e-05,7.051805444687976e-05,-7.050969746852723e-05,-5.598680589672018e-09,-0.0001420062297902015,5.690489708759595e-05,5.690800340543878e-05,7.052507981793859e-05,-7.051671084131088e-05,-3.110268429801457e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249838929293561
1,0.01999999955296516,3,4,1.394142894440376,0.7887093409170742,0.2112946326426725,300.1590551644703,-3.134308508262075,-8.399182099035235e-08,-4.308450455840108e-11,-16164.5259043586,4558.201601173855,4558.55251572158,2712.554390079735,-2711.869882846686,-0.1755838124831406,-0.0001882058133772341,8.121480414198547e-05,8.12193641187777e-05,7.052250938629752e-05,-7.050472576286294e-05,-7.053719808849382e-09,-0.000189010552946565,8.040633069872646e-05,8.041089295067176e-05,7.053202338336294e-05,-7.051422477982375e-05,-4.565542211095297e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624983892929356
1,0.01999999955296516,3,5,1.105515332431203,0.2113189444707657,0.7886850104696181,300.0023904676128,-3.133817700836754,-1.58872261419315e-07,-2.293850687560352e-11,-12550.88736038082,2751.401203577501,2751.162256916689,-2711.744098115289,2712.065981234093,0.1196244487313686,-0.0001412119895783563,5.772172424915509e-05,5.771862021264869e-05,-7.049842929228902e-05,7.050678626379361e-05,6.265804557400501e-10,-0.000142016733728492,5.691325537081426e-05,5.691014906051095e-05,-7.050543082147195e-05,7.051379979256374e-05,3.110239384478842e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624983892929356
1,0.01999999955296516,3,6,1.394142921403572,0.2112986088376681,0.7887053647220796,300.1590551723779,-3.134308658282215,-8.394881508743389e-08,-8.474126398677574e-11,-16165.25917713963,4558.919152082277,4558.568237622064,-2711.073432695649,2711.757939715454,0.1755835291268381,-0.0001882153419297334,8.122412839557978e-05,8.121956841783972e-05,-7.048403144309965e-05,7.050181505951484e-05,2.082109084658988e-09,-0.0001890200862517101,8.041565960267547e-05,8.041109735186789e-05,-7.049351542921095e-05,7.051131402720539e-05,4.565534843263538e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249838929293559
1,0.01999999955296516,3,7,1.10551530002385,0.7886889672046338,0.7886850122642443,300.002390467571,-3.133817550924241,-1.588728531748583e-07,-7.508748116257931e-12,-12550.07936663835,2750.758260455484,2750.997206296082,2712.499826749204,2712.177943947082,0.119625151557862,-0.0001412014904001683,5.771337062912403e-05,5.771647465427618e-05,7.051805441840985e-05,7.050969745382805e-05,5.598669953926533e-09,-0.0001420062297972818,5.69048971002372e-05,5.690800339987774e-05,7.052507978943739e-05,7.051671082657933e-05,3.110257657989446e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249838929293559
1,0.01999999955296516,3,8,1.394142894440371,0.7887093409170748,0.7887053673573206,300.159055164474,-3.134308508333046,-8.394956521957044e-08,-4.281115381187986e-11,-16164.5259045836,4558.201601507027,4558.552515613418,2712.554389378138,2711.869882221675,0.1755837516083358,-0.000188205813380021,8.121480414606626e-05,8.121936411792832e-05,7.052250936801619e-05,7.05047257467861e-05,7.053719044920531e-09,-0.0001890105529494907,8.040633070305817e-05,8.041089294926567e-05,7.053202336512011e-05,7.051422476357231e-05,4.565540628224499e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06249838929293559
1,0.01999999955296516,4,1,1.605452930114032,0.211299132411105,0.2112951478889214,300.1590551723652,-396.8724490098737,-1.347377340521154e-05,-8.346955649766525e-11,-16353.05127650857,-10288.46372278755,-10288.77300467017,2898.267725146352,2898.070079119657,-0.1545421184152838,-1.014463910879492e-06,7.783570652177152e-05,7.783168405929477e-05,7.535798058210148e-05,7.535284426910044e-05,-1.177761471465519e-09,-0.00010180689903965,-2.296099041648342e-05,-2.296501140073669e-05,7.536095412857942e-05,7.535581492317675e-05,-4.018414653615061e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06250966655537819
