increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,1000,6.182557937828292e-12,6.182557937828292e-12,0,0,0,-0,0.07365445799857018
2,2000,1.000349039714798e-10,1.000349039714798e-10,0,0,0,-0,0.07401519573046417
3,3000,0.0009469510987401009,0.0009469510987401009,0,0,0,-1.129479977107654e-31,0.06447445503496177
4,4000,0.005145175382494926,0.005145175382494926,0,0,0,-6.037623455456168e-31,0.05640810648390665
5,5000,0.01251593790948391,0.01251593790948391,0,0,0.001169653609395027,-1.43450569130846e-30,0.05261787884920299
6,6000,0.02307584881782532,0.02307584881782532,0,0,0.002617193618789315,-2.584967560791569e-30,0.04957325157098114
7,7000,0.03681786358356476,0.03681786358356476,0,0,0.004272325430065393,-4.036934985582624e-30,0.0471727594413085
8,8000,0.05263565853238106,0.05263565853238106,0,0,0.008277674205601215,-5.749974439476618e-30,0.04563030147896163
9,9000,0.07051084935665131,0.07051084935665131,0,0,0.01371689885854721,-7.710200230885253e-30,0.04424649676481973
10,10000,0.09062665700912476,0.09062665700912476,0,0,0.01979551464319229,-9.912149790540483e-30,0.04297946528301244
