increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,1000,6.443454913096502e-05,6.443454913096502e-05,0,0,0,-6.882369548534764e-33,0.07508238716889856
2,2000,0.0002496080414857715,0.0002496080414857715,0,0,0,-2.667365953202289e-32,0.07554460010007225
3,3000,0.001762242405675352,0.001762242405675352,0,0,8.179616088455077e-06,-1.512273482332873e-31,0.06608185466611893
4,4000,0.007523341104388237,0.007523341104388237,0,0,0.0005915198707953095,-5.71353590135254e-31,0.05719616012139291
5,5000,0.01768614538013935,0.01768614538013935,0,0,0.001964136259630322,-1.280706643554218e-30,0.05343765725166022
6,6000,0.03215603902935982,0.03215603902935982,0,0,0.004197572823613882,-2.281907249635451e-30,0.05070141139454254
7,7000,0.05114349722862244,0.05114349722862244,0,0,0.006868902593851089,-3.590873435660273e-30,0.04846034692718756
8,8000,0.07477561384439468,0.07477561384439468,0,0,0.009919984266161919,-5.221864512341448e-30,0.04663834904100195
9,9000,0.1031747832894325,0.1031747832894325,0,0,0.01330893207341433,-7.189079699120524e-30,0.04512417952672293
10,10000,0.136455774307251,0.136455774307251,0,0,0.01700448431074619,-9.506114105382275e-30,0.04384354275883506
