increment,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl1_w_m2,hfl2_w_m2,hfl3_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
1,1000,1,1,0.001308223936053209,7.207214856612496e-05,0.002114390322162041,660,12052.76035172332,1586.764427308488,0.001529800367578105,-2446393.161018876,-6676183.487451037,-8297609.193873151,397829.9732713075,-15673.0476020039,-985.0781967470629,0.0005800794364542486,0.0005525857916516257,0.0005420465265086109,5.171760917960228e-06,-2.037465428770072e-07,-1.280566069639142e-08,1.02287232168919e-05,-1.726491390491715e-05,-2.780418099666089e-05,5.171789652526998e-06,-2.037496188260507e-07,-1.280601655771182e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.401863458003162e-10
1,1000,1,2,0.002168510719955947,0.0001194667231501557,0.002114390304267449,653.9701302635991,12052.76114412501,1586.750043964168,0.001796283638260121,-3001216.513821684,-5552975.625307852,-8865993.703213692,240008.3299077902,-29359.2837355228,-1739.070052092469,0.0005764730826631388,0.000559886645063456,0.0005383520268881809,3.120097937162162e-06,-3.816642246381422e-07,-2.26073400130774e-08,6.6223714236739e-06,-9.964062800986201e-06,-3.149868030737416e-05,3.120108288801273e-06,-3.816706885617964e-07,-2.26079106772021e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061160518759755e-09
1,1000,1,3,0.001282300931071656,0.0002689769202594342,0.002114390322162038,660,12052.75489474349,1586.763708883664,0.001528986083854988,-2530819.029130302,-6591756.549949566,-8297610.26326325,712919.7950026048,-15393.95658890977,-3104.981739217512,0.0005795306606133849,0.0005531345744439105,0.0005420465195575798,9.267986061212125e-06,-2.001183724011882e-07,-4.036431023042408e-08,9.679955074167715e-06,-1.671613881115751e-05,-2.780418794769645e-05,9.267957335033863e-06,-2.001214356558271e-07,-4.036476260982766e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.401863458003161e-10
1,1000,1,4,0.002125540772206884,0.0004458558806101517,0.002114390304267469,653.9701364861984,12052.75785202604,1586.74961055097,0.00179324640551215,-3052149.420244622,-5502042.07480252,-8865994.347295869,430097.4648849911,-28808.99529287979,-5918.933539381654,0.000576142015957255,0.0005602177159559829,0.0005383520227016582,5.591277695349864e-06,-3.745105474543121e-07,-7.69450142268706e-08,6.291307531924471e-06,-9.632994722701864e-06,-3.149868449390863e-05,5.591267043504884e-06,-3.745169388074373e-07,-7.69461360119615e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061160518759755e-09
1,1000,1,5,0.001308222878343404,7.207209029505259e-05,0.007891012109340761,660,12052.76212951777,1586.764637500462,0.001529800699643147,-2527038.751240725,-6698267.733803649,-8194879.357298691,392321.9715995649,-20013.09897596589,-1556.458979090072,0.0005795552399950339,0.0005524422441175344,0.0005427142705010822,5.100157690257758e-06,-2.601683646124284e-07,-2.02336974115311e-08,9.704526880449887e-06,-1.740846150620912e-05,-2.71364370589269e-05,5.100185630794345e-06,-2.601702866875566e-07,-2.023396672817093e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.401863458003161e-10
1,1000,1,6,0.002168508634443718,0.0001194666082557282,0.007891012042557235,653.9701411972326,12052.76292355315,1586.750224496449,0.001796284301494921,-3074174.542096258,-5590604.731380492,-8755406.568866368,236685.4467496117,-33699.34417491782,-2310.435511555546,0.000575998855409367,0.0005596420558840519,0.000539070843321173,3.076900743001449e-06,-4.38086267668322e-07,-3.003520721090909e-08,6.148144239889004e-06,-1.020865199045852e-05,-3.077986393411672e-05,3.076910807744952e-06,-4.380914742739316e-07,-3.00356616502221e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061160518759754e-09
1,1000,1,7,0.001282299894320731,0.0002689767027888315,0.007891012109340751,660,12052.7566612838,1586.763917594409,0.001528986409823574,-2610295.71322929,-6615009.699608816,-8194880.429504904,703049.3978665894,-19734.00181089505,-3676.363000243306,0.0005790140622553652,0.0005529834288272064,0.0005427142635317031,9.139670115760674e-06,-2.56540097250974e-07,-4.779248167657559e-08,9.163356627524136e-06,-1.686728428394279e-05,-2.713644402826737e-05,9.139642172265662e-06,-2.565420235416357e-07,-4.779271900316298e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.401863458003162e-10
1,1000,1,8,0.002125538728019856,0.0004458554518183108,0.007891012042557309,653.9701474420617,12052.75962466418,1586.749790189663,0.001793247013921473,-3124402.268178831,-5540376.359516639,-8755407.214647595,424142.82588403,-33149.05179262257,-6490.301021178407,0.0005756723724529338,0.0005599685430379603,0.0005390708391236037,5.513867099942696e-06,-4.309325264887489e-07,-8.437300464118536e-08,5.821664020352196e-06,-9.882167573343559e-06,-3.077986813169477e-05,5.513856736492391e-06,-4.309376733040935e-07,-8.437391327531929e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061160518759754e-09
1,1000,2,1,0.002798260239067299,0.0001541606311782469,0.002114390283335587,653.9701302635991,6306.054513096514,830.2573492476535,0.02010174855948839,-1620731.229120927,6708198.785206228,4216319.435525252,-783371.7245009178,-38942.13244340795,-2412.444969044008,0.0004994373301156562,0.0005535753576901047,0.0005373781512745187,-1.018394614556956e-05,-5.062556560505677e-07,-3.136321585533271e-08,-2.449043347670186e-05,2.964761161642466e-05,1.345039584349831e-05,-1.018383241851193e-05,-5.062477217643034e-07,-3.136178459757211e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369219543327161e-09
1,1000,2,2,0.003658481137418873,0.0002015515760400849,0.002114390244043269,650.8156057207462,6306.046562819731,830.4016594432762,0.07658594794045007,-971744.2427704819,5398777.365254436,4876753.869126436,-599189.6521598704,-46243.26320885516,-2814.676575129607,0.0005036557414594768,0.0005450641222271762,0.0005416709753934071,-7.789532123863881e-06,-6.011721840770378e-07,-3.659223018898933e-08,-2.027201806542372e-05,2.113637238673825e-05,1.774321966190625e-05,-7.789465478078316e-06,-6.011624217151171e-07,-3.65907954766849e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.790158220855444e-09
1,1000,2,3,0.002742811540914532,0.0005753353080841116,0.002114390283335628,653.9701364861984,6306.146889700993,830.2695108582694,0.02010830403910798,-1454498.219107009,6541959.648936398,4216325.561781,-1403808.68890011,-38239.59386562243,-7748.729567694638,0.0005005178150767388,0.0005524948329086497,0.0005373781910951303,-1.824940571194589e-05,-4.971227546425194e-07,-1.007341554559568e-07,-2.340991891161114e-05,2.856705723067101e-05,1.345043566416092e-05,-1.824951295570143e-05,-4.971147202530916e-07,-1.007334843800303e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369219543327161e-09
1,1000,2,4,0.003585986801915726,0.0007522007221271883,0.002114390244043344,650.8155255513054,6306.117218856931,830.4109614869758,0.07662080941400028,-844598.5235525128,5271626.958130728,4876758.557032337,-1073739.831448853,-45396.03781695308,-9249.886507659045,0.0005044821713256395,0.0005442376618892562,0.000541671005864929,-1.395855526102374e-05,-5.901582926777625e-07,-1.202496655811664e-07,-1.944557089050716e-05,2.030989474043391e-05,1.774325013329436e-05,-1.395861780883509e-05,-5.901484916203901e-07,-1.202485245995676e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.790158220855444e-09
1,1000,2,5,0.002798257576670404,0.0001541604845021936,0.007891011964438465,653.9701411972326,6306.431084209765,830.3070150990501,0.02010192334727342,-1637657.789286044,6643647.584449608,4297797.196446987,-778892.4308108439,-48472.22086434148,-3667.083515398407,0.0004993273073442235,0.0005531557749707956,0.0005379077567649296,-1.012571403455297e-05,-6.301444985847106e-07,-4.76734575159995e-08,-2.460045611777512e-05,2.922802881150663e-05,1.398000128948959e-05,-1.012560160054097e-05,-6.301388712364393e-07,-4.767208570017929e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369219543327162e-09
1,1000,2,6,0.003658477926746182,0.0002015513991583702,0.007891011817797538,650.8152939089041,6306.42311884521,830.4515992865338,0.07658615874432198,-992376.1438481836,5341718.64468741,4954444.490771381,-595763.4497027677,-55773.35449211722,-4069.307158656931,0.0005035216340197181,0.0005446932405841127,0.0005421759644758963,-7.744990736609554e-06,-7.250611031402416e-07,-5.290231025494852e-08,-2.040612542242911e-05,2.076549070305226e-05,1.824820870259807e-05,-7.74492484613598e-06,-7.250536083975239e-07,-5.29009930625401e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.790158220855444e-09
1,1000,2,7,0.002742808931274382,0.0005753347606816284,0.007891011964438616,653.9701474420617,6306.523636180798,830.3191997971805,0.02010847893073361,-1472375.264864659,6478358.980689645,4297803.275785513,-1395781.775227382,-47769.67687610174,-9003.369132313734,0.000500401614486715,0.000552081428312526,0.0005379077962809595,-1.814505706239254e-05,-6.210115900539962e-07,-1.170439301420146e-07,-2.352611970903604e-05,2.815365288706695e-05,1.398004080519009e-05,-1.814516307795596e-05,-6.210057993893226e-07,-1.170437987200785e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.369219543327161e-09
1,1000,2,8,0.003585983654865017,0.0007522000619956421,0.007891011817797819,650.8152134785669,6306.493909009834,830.460918988619,0.07662102035960519,-865957.4219045569,5215295.270723794,4954449.142791261,-1067600.163290108,-54926.12486313755,-10504.51862027826,0.0005043433386013387,0.0005438715057644117,0.0005421759947139747,-1.387874029324441e-05,-7.140472034867234e-07,-1.365594096860407e-07,-1.958440372979537e-05,1.994373877228892e-05,1.824823894072745e-05,-1.387880212277141e-05,-7.140396232207882e-07,-1.365587420636174e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.790158220855444e-09
