increment,time_s,allie_j,allse_j,allpd_j,allcd_j,allfd_j,allwk_j,boundary_heat_rate_w
1,500,1.668190088821575e-05,1.668190088821575e-05,0,0,0,-2.192874058541423e-33,0.07371251074686556
2,1000,6.269072036957368e-05,6.269072036957368e-05,0,0,0,-8.243157073877168e-33,0.07441146046024492
3,1500,0.000138061324832961,0.000138061324832961,0,0,0,-1.815902791529507e-32,0.07448230873272714
4,2000,0.0002428461593808606,0.0002428461593808606,0,0,0,-3.195095913543499e-32,0.07454685685917747
5,2500,0.0005140203866176307,0.0005140203866176307,0,0,0,-6.247081855093314e-32,0.07013980565682934
6,3000,0.001697454135864973,0.001697454135864973,0,0,0,-1.750727683572318e-31,0.06056493428967133
7,3500,0.003948119934648275,0.003948119934648275,0,0,3.411938814679161e-05,-3.744039550236259e-31,0.05754431661109083
8,4000,0.007295966148376465,0.007295966148376465,0,0,0.0002577885752543807,-6.582454742712011e-31,0.055315460247541
9,4500,0.01176397409290075,0.01176397409290075,0,0,0.0006372586940415204,-1.027382438776872e-30,0.05341870993756501
10,5000,0.01722452044487,0.01722452044487,0,0,0.001476147677749395,-1.475620439999657e-30,0.05205019300600833
11,5500,0.02378061041235924,0.02378061041235924,0,0,0.002424311591312289,-2.008810571600437e-30,0.05064116292877585
12,6000,0.03145186230540276,0.03145186230540276,0,0,0.003470276948064566,-2.628846790077256e-30,0.049391172156735
13,6500,0.04025772586464882,0.04025772586464882,0,0,0.004604799672961235,-3.33780624096779e-30,0.04827487526066937
14,7000,0.05021718516945839,0.05021718516945839,0,0,0.005820307414978743,-4.137855219301285e-30,0.04727113833033697
15,7500,0.06134859472513199,0.06134859472513199,0,0,0.007110524922609329,-5.03119218163242e-30,0.04636316280792463
16,8000,0.07366957515478134,0.07366957515478134,0,0,0.008470199070870876,-6.020009001747514e-30,0.04553741760725893
17,8500,0.08719697594642639,0.08719697594642639,0,0,0.009894889779388905,-7.10646708461931e-30,0.04478286947822629
18,9000,0.1019469127058983,0.1019469127058983,0,0,0.0113808149471879,-8.292682696237482e-30,0.0440904232703575
19,9500,0.1179347336292267,0.1179347336292267,0,0,0.0129247298464179,-9.580715302704668e-30,0.04345250777341458
20,10000,0.1350722461938858,0.1350722461938858,0,0,0.0147037161514163,-1.097170165407789e-29,0.04291682976662592
