input_local_node,output_local_node,node,temperature_k,reaction_heat_flux_w
1,1,1,301,866183.6897818568
1,2,2,300,0.1185756465926379
1,3,3,300,-0.3415157078432616
1,4,4,300,-0.1318371671786251
1,5,5,300,0.008086311689618167
1,6,6,300,-0.2378280339535859
1,7,7,300,-0.3602118436758173
1,8,8,300,-0.4533843960605418
2,1,9,300,0.1185756465926878
2,2,10,301,930355.5456008466
2,3,11,300,-0.1302368824117512
2,4,12,300,-0.3187171332708861
2,5,13,300,-0.3071951694098224
2,6,14,300,0.06456983021621006
2,7,15,300,-0.4024040268060925
2,8,16,300,-0.4035264445968652
3,1,17,300,-0.3415157078432549
3,2,18,300,-0.1302368824118257
3,3,19,301,869376.5107329782
3,4,20,300,0.2024718588713838
3,5,21,300,-0.4618000139004195
3,6,22,300,-0.4387049233265119
3,7,23,300,0.02090012617888196
3,8,24,300,-0.3618474357516941
4,1,25,300,-0.1318371671786245
4,2,26,300,-0.318717133270861
4,3,27,300,0.2024718588713525
4,4,28,301,820230.5242234888
4,5,29,300,-0.4518615334141739
4,6,30,300,-0.3145827174448853
4,7,31,300,-0.2529756578200124
4,8,32,300,-0.09005447177851925
5,1,33,300,0.008086311689654124
5,2,34,300,-0.307195169409923
5,3,35,300,-0.461800013900673
5,4,36,300,-0.4518615334142095
5,5,37,301,884313.955069136
5,6,38,300,-0.01290184029647805
5,7,39,300,-0.3282140823077663
5,8,40,300,0.0988171915887899
6,1,41,300,-0.2378280339535416
6,2,42,300,0.06456983021615428
6,3,43,300,-0.4387049233266162
6,4,44,300,-0.3145827174448307
6,5,45,300,-0.01290184029635412
6,6,46,301,956511.7201907339
6,7,47,300,-0.07029656273565997
6,8,48,300,-0.2937798203336655
7,1,49,300,-0.3602118436758299
7,2,50,300,-0.4024040268061891
7,3,51,300,0.02090012617880524
7,4,52,300,-0.2529756578199951
7,5,53,300,-0.3282140823076188
7,6,54,300,-0.0702965627355786
7,7,55,301,893246.1407228397
7,8,56,300,0.04414587458709072
8,1,57,300,-0.45338439606056
8,2,58,300,-0.4035264445969552
8,3,59,300,-0.3618474357518031
8,4,60,300,-0.0900544717785479
8,5,61,300,0.09881719158875217
8,6,62,300,-0.2937798203337534
8,7,63,300,0.04414587458703267
8,8,64,301,835980.6262961694
